Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1789546033779021824,1789546043779021824,Active Decode Throughput,tokens/sec,avg,242.60
0,1789546033779021824,1789546043779021824,Active Decode Throughput,tokens/sec,min,0.00
0,1789546033779021824,1789546043779021824,Active Decode Throughput,tokens/sec,max,1007.15
0,1789546033779021824,1789546043779021824,Active Decode Throughput,tokens/sec,p50,242.40
0,1789546033779021824,1789546043779021824,Active Decode Throughput,tokens/sec,p90,253.53
0,1789546033779021824,1789546043779021824,Active Decode Throughput,tokens/sec,p95,255.03
0,1789546033779021824,1789546043779021824,Active Decode Throughput,tokens/sec,p99,259.53
0,1789546033779021824,1789546043779021824,Active Decode Throughput,tokens/sec,std,21.11
0,1789546033779021824,1789546043779021824,Active Decode Throughput Per User,tokens/sec/user,avg,242.60
0,1789546033779021824,1789546043779021824,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1789546033779021824,1789546043779021824,Active Decode Throughput Per User,tokens/sec/user,max,1007.15
0,1789546033779021824,1789546043779021824,Active Decode Throughput Per User,tokens/sec/user,p50,242.40
0,1789546033779021824,1789546043779021824,Active Decode Throughput Per User,tokens/sec/user,p90,253.53
0,1789546033779021824,1789546043779021824,Active Decode Throughput Per User,tokens/sec/user,p95,255.03
0,1789546033779021824,1789546043779021824,Active Decode Throughput Per User,tokens/sec/user,p99,259.53
0,1789546033779021824,1789546043779021824,Active Decode Throughput Per User,tokens/sec/user,std,21.11
0,1789546033779021824,1789546043779021824,Active Prefill Throughput,tokens/sec,avg,20953.19
0,1789546033779021824,1789546043779021824,Active Prefill Throughput,tokens/sec,min,13585.02
0,1789546033779021824,1789546043779021824,Active Prefill Throughput,tokens/sec,max,24664.54
0,1789546033779021824,1789546043779021824,Active Prefill Throughput,tokens/sec,p50,24061.09
0,1789546033779021824,1789546043779021824,Active Prefill Throughput,tokens/sec,p90,24664.54
0,1789546033779021824,1789546043779021824,Active Prefill Throughput,tokens/sec,p95,24664.54
0,1789546033779021824,1789546043779021824,Active Prefill Throughput,tokens/sec,p99,24664.54
0,1789546033779021824,1789546043779021824,Active Prefill Throughput,tokens/sec,std,4924.83
0,1789546033779021824,1789546043779021824,Active Prefill Throughput Per User,tokens/sec/user,avg,20953.19
0,1789546033779021824,1789546043779021824,Active Prefill Throughput Per User,tokens/sec/user,min,13585.02
0,1789546033779021824,1789546043779021824,Active Prefill Throughput Per User,tokens/sec/user,max,24664.54
0,1789546033779021824,1789546043779021824,Active Prefill Throughput Per User,tokens/sec/user,p50,24061.09
0,1789546033779021824,1789546043779021824,Active Prefill Throughput Per User,tokens/sec/user,p90,24664.54
0,1789546033779021824,1789546043779021824,Active Prefill Throughput Per User,tokens/sec/user,p95,24664.54
0,1789546033779021824,1789546043779021824,Active Prefill Throughput Per User,tokens/sec/user,p99,24664.54
0,1789546033779021824,1789546043779021824,Active Prefill Throughput Per User,tokens/sec/user,std,4924.83
0,1789546033779021824,1789546043779021824,Active Total Throughput,tokens/sec,avg,755.90
0,1789546033779021824,1789546043779021824,Active Total Throughput,tokens/sec,min,242.50
0,1789546033779021824,1789546043779021824,Active Total Throughput,tokens/sec,max,24664.54
0,1789546033779021824,1789546043779021824,Active Total Throughput,tokens/sec,p50,242.62
0,1789546033779021824,1789546043779021824,Active Total Throughput,tokens/sec,p90,242.69
0,1789546033779021824,1789546043779021824,Active Total Throughput,tokens/sec,p95,242.69
0,1789546033779021824,1789546043779021824,Active Total Throughput,tokens/sec,p99,24061.09
0,1789546033779021824,1789546043779021824,Active Total Throughput,tokens/sec,std,3311.78
0,1789546033779021824,1789546043779021824,Benchmark Duration,sec,avg,10.79
0,1789546033779021824,1789546043779021824,Decode Duration,ms,avg,2106.16
0,1789546033779021824,1789546043779021824,Decode Duration,ms,min,2105.58
0,1789546033779021824,1789546043779021824,Decode Duration,ms,max,2107.23
0,1789546033779021824,1789546043779021824,Decode Duration,ms,sum,10530.78
0,1789546033779021824,1789546043779021824,Decode Duration,ms,p1,2105.58
0,1789546033779021824,1789546043779021824,Decode Duration,ms,p5,2105.59
0,1789546033779021824,1789546043779021824,Decode Duration,ms,p10,2105.60
0,1789546033779021824,1789546043779021824,Decode Duration,ms,p25,2105.62
0,1789546033779021824,1789546043779021824,Decode Duration,ms,p50,2106.14
0,1789546033779021824,1789546043779021824,Decode Duration,ms,p75,2106.21
0,1789546033779021824,1789546043779021824,Decode Duration,ms,p90,2106.82
0,1789546033779021824,1789546043779021824,Decode Duration,ms,p95,2107.02
0,1789546033779021824,1789546043779021824,Decode Duration,ms,p99,2107.19
0,1789546033779021824,1789546043779021824,Decode Duration,ms,std,0.59
0,1789546033779021824,1789546043779021824,E2E Output Token Throughput,tokens/sec/user,avg,237.52
0,1789546033779021824,1789546043779021824,E2E Output Token Throughput,tokens/sec/user,min,234.65
0,1789546033779021824,1789546043779021824,E2E Output Token Throughput,tokens/sec/user,max,238.40
0,1789546033779021824,1789546043779021824,E2E Output Token Throughput,tokens/sec/user,sum,1187.62
0,1789546033779021824,1789546043779021824,E2E Output Token Throughput,tokens/sec/user,p1,234.79
0,1789546033779021824,1789546043779021824,E2E Output Token Throughput,tokens/sec/user,p5,235.35
0,1789546033779021824,1789546043779021824,E2E Output Token Throughput,tokens/sec/user,p10,236.04
0,1789546033779021824,1789546043779021824,E2E Output Token Throughput,tokens/sec/user,p25,238.13
0,1789546033779021824,1789546043779021824,E2E Output Token Throughput,tokens/sec/user,p50,238.22
0,1789546033779021824,1789546043779021824,E2E Output Token Throughput,tokens/sec/user,p75,238.22
0,1789546033779021824,1789546043779021824,E2E Output Token Throughput,tokens/sec/user,p90,238.33
0,1789546033779021824,1789546043779021824,E2E Output Token Throughput,tokens/sec/user,p95,238.37
0,1789546033779021824,1789546043779021824,E2E Output Token Throughput,tokens/sec/user,p99,238.40
0,1789546033779021824,1789546043779021824,E2E Output Token Throughput,tokens/sec/user,std,1.44
