Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1789553722730453504,1789553732730453504,Active Decode Throughput,tokens/sec,avg,12504.83
0,1789553722730453504,1789553732730453504,Active Decode Throughput,tokens/sec,min,65.03
0,1789553722730453504,1789553732730453504,Active Decode Throughput,tokens/sec,max,54142.42
0,1789553722730453504,1789553732730453504,Active Decode Throughput,tokens/sec,p50,9199.71
0,1789553722730453504,1789553732730453504,Active Decode Throughput,tokens/sec,p90,27581.12
0,1789553722730453504,1789553732730453504,Active Decode Throughput,tokens/sec,p95,33924.39
0,1789553722730453504,1789553732730453504,Active Decode Throughput,tokens/sec,p99,44272.73
0,1789553722730453504,1789553732730453504,Active Decode Throughput,tokens/sec,std,9718.76
0,1789553722730453504,1789553732730453504,Active Decode Throughput Per User,tokens/sec/user,avg,203.11
0,1789553722730453504,1789553732730453504,Active Decode Throughput Per User,tokens/sec/user,min,47.19
0,1789553722730453504,1789553732730453504,Active Decode Throughput Per User,tokens/sec/user,max,845.98
0,1789553722730453504,1789553732730453504,Active Decode Throughput Per User,tokens/sec/user,p50,151.20
0,1789553722730453504,1789553732730453504,Active Decode Throughput Per User,tokens/sec/user,p90,430.97
0,1789553722730453504,1789553732730453504,Active Decode Throughput Per User,tokens/sec/user,p95,540.68
0,1789553722730453504,1789553732730453504,Active Decode Throughput Per User,tokens/sec/user,p99,693.46
0,1789553722730453504,1789553732730453504,Active Decode Throughput Per User,tokens/sec/user,std,148.63
0,1789553722730453504,1789553732730453504,Active Prefill Throughput,tokens/sec,avg,180278.84
0,1789553722730453504,1789553732730453504,Active Prefill Throughput,tokens/sec,min,2060.28
0,1789553722730453504,1789553732730453504,Active Prefill Throughput,tokens/sec,max,356808.66
0,1789553722730453504,1789553732730453504,Active Prefill Throughput,tokens/sec,p50,205159.16
0,1789553722730453504,1789553732730453504,Active Prefill Throughput,tokens/sec,p90,340540.83
0,1789553722730453504,1789553732730453504,Active Prefill Throughput,tokens/sec,p95,356808.66
0,1789553722730453504,1789553732730453504,Active Prefill Throughput,tokens/sec,p99,356808.66
