metric,mean,std,min,max,cv,se,ci_low,ci_high,t_critical,unit
prefill_throughput_per_user_sum,17686801.32,218553.94,17532260.34,17841342.29,0.0124,154540.9714,15723172.09,19650430.54,12.7062,tokens/sec/user
osl_mismatch_diff_pct_p25,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
inter_chunk_latency_p5,20.65,0.09,20.59,20.71,0.0041,0.0604,19.88,21.42,12.7062,ms
http_req_data_sent_p90,4.97,0.00,4.97,4.97,0.0001,0.0004,4.97,4.98,12.7062,KB
active_decode_throughput_avg,12114.59,49.68,12079.46,12149.72,0.0041,35.1299,11668.22,12560.96,12.7062,tokens/sec
time_to_first_token_p75,502.77,0.98,502.08,503.46,0.0019,0.6908,493.99,511.54,12.7062,ms
time_to_first_output_token_p50,415.49,0.04,415.46,415.51,0.0001,0.0253,415.17,415.81,12.7062,ms
time_to_second_token_max,341.22,351.69,92.54,589.89,1.0307,248.6797,-2818.56,3500.99,12.7062,ms
effective_prefill_throughput_per_user_p50,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens/sec/user
http_req_dns_lookup_avg,0.01,0.00,0.01,0.01,0.0848,0.0005,0.00,0.01,12.7062,ms
effective_decode_throughput_avg,11802.06,50.29,11766.50,11837.62,0.0043,35.5577,11350.26,12253.86,12.7062,tokens/sec
prefill_throughput_per_user_p5,1581.49,10.10,1574.35,1588.64,0.0064,7.1441,1490.72,1672.27,12.7062,tokens/sec/user
http_req_receiving_p95,5270.49,15.42,5259.59,5281.39,0.0029,10.9013,5131.98,5409.00,12.7062,ms
tokens_in_flight_p90,193806.08,75.69,193752.56,193859.61,0.0004,53.5234,193126.00,194486.16,12.7062,tokens
http_req_connecting_avg,0.04,0.00,0.04,0.05,0.0714,0.0023,0.02,0.07,12.7062,ms
http_req_connection_overhead_max,32.12,9.75,25.22,39.01,0.3036,6.8941,-55.48,119.72,12.7062,ms
request_latency_max,6565.78,1156.20,5748.22,7383.34,0.1761,817.5576,-3822.28,16953.83,12.7062,ms
osl_mismatch_diff_pct_p75,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
total_usage_completion_tokens_avg,3571712.00,46340.95,3538944.00,3604480.00,0.0130,32768.0000,3155355.08,3988068.92,12.7062,tokens
inter_chunk_latency_p10,23.52,0.02,23.50,23.53,0.0008,0.0136,23.34,23.69,12.7062,ms
http_req_receiving_min,4770.50,18.70,4757.28,4783.72,0.0039,13.2211,4602.51,4938.49,12.7062,ms
nvidia_total_gpu_power_avg,558.82,2.17,557.28,560.35,0.0039,1.5347,539.32,578.32,12.7062,W
prefill_throughput_per_user_p95,3843.54,101.24,3771.95,3915.13,0.0263,71.5877,2933.93,4753.15,12.7062,tokens/sec/user
http_req_data_sent_p1,4.27,0.04,4.24,4.30,0.0093,0.0280,3.92,4.63,12.7062,KB
output_sequence_length_sum,3571712.00,46340.95,3538944.00,3604480.00,0.0130,32768.0000,3155355.08,3988068.92,12.7062,tokens
output_sequence_length_p99,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
effective_concurrency_p99,128.00,0.00,128.00,128.00,0.0000,0.0000,128.00,128.00,12.7062,requests
active_total_throughput_p95,197335.90,1222.52,196471.45,198200.35,0.0062,864.4495,186352.03,208319.78,12.7062,tokens/sec
output_sequence_length_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
