Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1789558256263308032,1789558266263308032,Active Decode Throughput,tokens/sec,avg,5258.05
0,1789558256263308032,1789558266263308032,Active Decode Throughput,tokens/sec,min,0.00
0,1789558256263308032,1789558266263308032,Active Decode Throughput,tokens/sec,max,22693.32
0,1789558256263308032,1789558266263308032,Active Decode Throughput,tokens/sec,p50,3912.29
0,1789558256263308032,1789558266263308032,Active Decode Throughput,tokens/sec,p90,12016.72
0,1789558256263308032,1789558266263308032,Active Decode Throughput,tokens/sec,p95,12939.56
0,1789558256263308032,1789558266263308032,Active Decode Throughput,tokens/sec,p99,13742.79
0,1789558256263308032,1789558266263308032,Active Decode Throughput,tokens/sec,std,3512.97
0,1789558256263308032,1789558266263308032,Active Decode Throughput Per User,tokens/sec/user,avg,166.55
0,1789558256263308032,1789558266263308032,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1789558256263308032,1789558266263308032,Active Decode Throughput Per User,tokens/sec/user,max,709.17
0,1789558256263308032,1789558266263308032,Active Decode Throughput Per User,tokens/sec/user,p50,122.26
0,1789558256263308032,1789558266263308032,Active Decode Throughput Per User,tokens/sec/user,p90,375.52
0,1789558256263308032,1789558266263308032,Active Decode Throughput Per User,tokens/sec/user,p95,404.36
0,1789558256263308032,1789558266263308032,Active Decode Throughput Per User,tokens/sec/user,p99,429.46
0,1789558256263308032,1789558266263308032,Active Decode Throughput Per User,tokens/sec/user,std,107.79
0,1789558256263308032,1789558266263308032,Active Prefill Throughput,tokens/sec,avg,226488.89
0,1789558256263308032,1789558266263308032,Active Prefill Throughput,tokens/sec,min,7056.33
0,1789558256263308032,1789558266263308032,Active Prefill Throughput,tokens/sec,max,277750.52
0,1789558256263308032,1789558266263308032,Active Prefill Throughput,tokens/sec,p50,255385.70
0,1789558256263308032,1789558266263308032,Active Prefill Throughput,tokens/sec,p90,264209.88
0,1789558256263308032,1789558266263308032,Active Prefill Throughput,tokens/sec,p95,277750.52
0,1789558256263308032,1789558266263308032,Active Prefill Throughput,tokens/sec,p99,277750.52
0,1789558256263308032,1789558266263308032,Active Prefill Throughput,tokens/sec,std,59915.55
0,1789558256263308032,1789558266263308032,Active Prefill Throughput Per User,tokens/sec/user,avg,8028.16
0,1789558256263308032,1789558266263308032,Active Prefill Throughput Per User,tokens/sec/user,min,7054.82
0,1789558256263308032,1789558266263308032,Active Prefill Throughput Per User,tokens/sec/user,max,14466.87
0,1789558256263308032,1789558266263308032,Active Prefill Throughput Per User,tokens/sec/user,p50,7987.76
0,1789558256263308032,1789558266263308032,Active Prefill Throughput Per User,tokens/sec/user,p90,8679.70
0,1789558256263308032,1789558266263308032,Active Prefill Throughput Per User,tokens/sec/user,p95,8679.70
0,1789558256263308032,1789558266263308032,Active Prefill Throughput Per User,tokens/sec/user,p99,8696.49
0,1789558256263308032,1789558266263308032,Active Prefill Throughput Per User,tokens/sec/user,std,426.21
0,1789558256263308032,1789558266263308032,Active Total Throughput,tokens/sec,avg,18221.53
0,1789558256263308032,1789558266263308032,Active Total Throughput,tokens/sec,min,161.28
0,1789558256263308032,1789558266263308032,Active Total Throughput,tokens/sec,max,277750.52
0,1789558256263308032,1789558266263308032,Active Total Throughput,tokens/sec,p50,5263.15
0,1789558256263308032,1789558266263308032,Active Total Throughput,tokens/sec,p90,5270.60
0,1789558256263308032,1789558266263308032,Active Total Throughput,tokens/sec,p95,172869.66
0,1789558256263308032,1789558266263308032,Active Total Throughput,tokens/sec,p99,264209.88
0,1789558256263308032,1789558266263308032,Active Total Throughput,tokens/sec,std,53938.71
0,1789558256263308032,1789558266263308032,Benchmark Duration,sec,avg,12.95
0,1789558256263308032,1789558266263308032,Decode Duration,ms,avg,3106.31
0,1789558256263308032,1789558266263308032,Decode Duration,ms,min,3086.96
0,1789558256263308032,1789558266263308032,Decode Duration,ms,max,3168.37
0,1789558256263308032,1789558266263308032,Decode Duration,ms,sum,397607.53
0,1789558256263308032,1789558266263308032,Decode Duration,ms,p1,3086.97
0,1789558256263308032,1789558266263308032,Decode Duration,ms,p5,3087.01
0,1789558256263308032,1789558266263308032,Decode Duration,ms,p10,3091.45
0,1789558256263308032,1789558266263308032,Decode Duration,ms,p25,3094.86
0,1789558256263308032,1789558266263308032,Decode Duration,ms,p50,3100.72
0,1789558256263308032,1789558266263308032,Decode Duration,ms,p75,3111.79
0,1789558256263308032,1789558266263308032,Decode Duration,ms,p90,3130.75
0,1789558256263308032,1789558266263308032,Decode Duration,ms,p95,3139.35
0,1789558256263308032,1789558266263308032,Decode Duration,ms,p99,3159.36
0,1789558256263308032,1789558266263308032,Decode Duration,ms,std,16.59
0,1789558256263308032,1789558266263308032,E2E Output Token Throughput,tokens/sec/user,avg,158.32
0,1789558256263308032,1789558266263308032,E2E Output Token Throughput,tokens/sec/user,min,157.74
0,1789558256263308032,1789558266263308032,E2E Output Token Throughput,tokens/sec/user,max,159.15
