metric,mean,std,min,max,cv,se,ci_low,ci_high,t_critical,unit
e2e_output_token_throughput_max,58.82,0.05,58.79,58.86,0.0009,0.0356,58.37,59.28,12.7062,tokens/sec/user
osl_mismatch_diff_pct_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
effective_concurrency_std,2.00,0.10,1.93,2.07,0.0496,0.0702,1.11,2.89,12.7062,requests
effective_decode_throughput_avg,7245.93,5.02,7242.38,7249.48,0.0007,3.5499,7200.82,7291.03,12.7062,tokens/sec
time_to_second_token_p95,31.77,0.21,31.62,31.92,0.0066,0.1492,29.88,33.67,12.7062,ms
effective_decode_throughput_per_user_p50,59.29,0.05,59.26,59.32,0.0008,0.0326,58.88,59.71,12.7062,tokens/sec/user
http_req_sending_std,0.91,0.09,0.85,0.98,0.0968,0.0625,0.12,1.71,12.7062,ms
request_throughput_avg,14.18,0.01,14.17,14.19,0.0007,0.0069,14.09,14.27,12.7062,requests/sec
request_latency_p10,8888.92,10.45,8881.53,8896.32,0.0012,7.3924,8794.99,8982.85,12.7062,ms
input_sequence_length_p99,1039.00,0.00,1039.00,1039.00,0.0000,0.0000,1039.00,1039.00,12.7062,tokens
prefill_throughput_per_user_p10,3303.37,70.20,3253.73,3353.00,0.0213,49.6384,2672.65,3934.08,12.7062,tokens/sec/user
reasoning_token_count_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
usage_prompt_tokens_avg,1039.00,0.00,1039.00,1039.00,0.0000,0.0000,1039.00,1039.00,12.7062,tokens
tokens_in_flight_std,19075.99,458.70,18751.64,19400.34,0.0240,324.3470,14954.77,23197.21,12.7062,tokens
effective_latency_std,639.10,6.18,634.73,643.47,0.0097,4.3726,583.54,694.66,12.7062,ms
e2e_output_token_throughput_min,40.18,0.11,40.11,40.26,0.0027,0.0758,39.22,41.15,12.7062,tokens/sec/user
request_latency_p1,8803.99,102.69,8731.38,8876.61,0.0117,72.6157,7881.32,9726.66,12.7062,ms
input_sequence_length_p10,1039.00,0.00,1039.00,1039.00,0.0000,0.0000,1039.00,1039.00,12.7062,tokens
prefill_throughput_per_user_p1,269.90,3.76,267.24,272.56,0.0139,2.6622,236.08,303.73,12.7062,tokens/sec/user
effective_decode_concurrency_avg,123.10,0.01,123.10,123.11,0.0001,0.0065,123.02,123.18,12.7062,requests
http_req_chunks_received_avg,510.99,0.01,510.98,511.00,0.0000,0.0069,510.90,511.08,12.7062,count
time_to_first_token_p10,222.15,1.57,221.04,223.26,0.0071,1.1102,208.04,236.26,12.7062,ms
http_req_dns_lookup_std,0.23,0.05,0.20,0.27,0.2098,0.0346,-0.21,0.67,12.7062,ms
http_req_data_received_p95,139.05,0.00,139.05,139.05,0.0000,0.0020,139.03,139.08,12.7062,KB
time_to_first_output_token_p95,326.58,6.86,321.73,331.42,0.0210,4.8476,264.98,388.17,12.7062,ms
http_req_data_sent_p5,4.29,0.00,4.29,4.29,0.0000,0.0000,4.29,4.29,12.7062,KB
usage_total_tokens_p1,1551.00,0.00,1551.00,1551.00,0.0000,0.0000,1551.00,1551.00,12.7062,tokens
e2e_output_token_throughput_p5,57.31,0.05,57.28,57.34,0.0008,0.0327,56.89,57.73,12.7062,tokens/sec/user
output_sequence_length_sum,2228224.00,0.00,2228224.00,2228224.00,0.0000,0.0000,2228224.00,2228224.00,12.7062,tokens
http_req_data_sent_p75,4.64,0.00,4.64,4.64,0.0000,0.0000,4.64,4.64,12.7062,KB
usage_prompt_cache_read_tokens_p99,1024.00,0.00,1024.00,1024.00,0.0000,0.0000,1024.00,1024.00,12.7062,tokens
time_to_first_token_p1,142.95,82.15,84.86,201.05,0.5747,58.0921,-595.18,881.08,12.7062,ms
http_req_duration_p75,8916.07,6.14,8911.73,8920.42,0.0007,4.3434,8860.89,8971.26,12.7062,ms
http_req_chunks_sent_p50,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
usage_prompt_cache_read_tokens_p10,1024.00,0.00,1024.00,1024.00,0.0000,0.0000,1024.00,1024.00,12.7062,tokens
credit_to_start_latency_sum,19958.23,648.04,19499.99,20416.46,0.0325,458.2360,14135.79,25780.67,12.7062,ms
decode_duration_p95,8688.90,7.84,8683.36,8694.44,0.0009,5.5429,8618.47,8759.33,12.7062,ms
