Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1789562769611093248,1789562779611093248,Active Decode Throughput,tokens/sec,avg,1793.22
0,1789562769611093248,1789562779611093248,Active Decode Throughput,tokens/sec,min,1.65
0,1789562769611093248,1789562779611093248,Active Decode Throughput,tokens/sec,max,5818.51
0,1789562769611093248,1789562779611093248,Active Decode Throughput,tokens/sec,p50,2375.55
0,1789562769611093248,1789562779611093248,Active Decode Throughput,tokens/sec,p90,2423.97
0,1789562769611093248,1789562779611093248,Active Decode Throughput,tokens/sec,p95,2437.68
0,1789562769611093248,1789562779611093248,Active Decode Throughput,tokens/sec,p99,2475.70
0,1789562769611093248,1789562779611093248,Active Decode Throughput,tokens/sec,std,1034.35
0,1789562769611093248,1789562779611093248,Active Decode Throughput Per User,tokens/sec/user,avg,56.45
0,1789562769611093248,1789562779611093248,Active Decode Throughput Per User,tokens/sec/user,min,1.45
0,1789562769611093248,1789562779611093248,Active Decode Throughput Per User,tokens/sec/user,max,181.83
0,1789562769611093248,1789562779611093248,Active Decode Throughput Per User,tokens/sec/user,p50,74.24
0,1789562769611093248,1789562779611093248,Active Decode Throughput Per User,tokens/sec/user,p90,75.75
0,1789562769611093248,1789562779611093248,Active Decode Throughput Per User,tokens/sec/user,p95,76.18
0,1789562769611093248,1789562779611093248,Active Decode Throughput Per User,tokens/sec/user,p99,77.37
0,1789562769611093248,1789562779611093248,Active Decode Throughput Per User,tokens/sec/user,std,31.66
0,1789562769611093248,1789562779611093248,Active Prefill Throughput,tokens/sec,avg,25147.96
0,1789562769611093248,1789562779611093248,Active Prefill Throughput,tokens/sec,min,782.09
0,1789562769611093248,1789562779611093248,Active Prefill Throughput,tokens/sec,max,59186.59
0,1789562769611093248,1789562779611093248,Active Prefill Throughput,tokens/sec,p50,25192.74
0,1789562769611093248,1789562779611093248,Active Prefill Throughput,tokens/sec,p90,45598.39
0,1789562769611093248,1789562779611093248,Active Prefill Throughput,tokens/sec,p95,46725.52
0,1789562769611093248,1789562779611093248,Active Prefill Throughput,tokens/sec,p99,58352.80
0,1789562769611093248,1789562779611093248,Active Prefill Throughput,tokens/sec,std,13133.95
0,1789562769611093248,1789562779611093248,Active Prefill Throughput Per User,tokens/sec/user,avg,1117.74
0,1789562769611093248,1789562779611093248,Active Prefill Throughput Per User,tokens/sec/user,min,782.09
0,1789562769611093248,1789562779611093248,Active Prefill Throughput Per User,tokens/sec/user,max,12461.06
0,1789562769611093248,1789562779611093248,Active Prefill Throughput Per User,tokens/sec/user,p50,1007.71
0,1789562769611093248,1789562779611093248,Active Prefill Throughput Per User,tokens/sec/user,p90,1507.27
0,1789562769611093248,1789562779611093248,Active Prefill Throughput Per User,tokens/sec/user,p95,1507.27
0,1789562769611093248,1789562779611093248,Active Prefill Throughput Per User,tokens/sec/user,p99,2860.37
0,1789562769611093248,1789562779611093248,Active Prefill Throughput Per User,tokens/sec/user,std,956.56
0,1789562769611093248,1789562779611093248,Active Total Throughput,tokens/sec,avg,8492.77
0,1789562769611093248,1789562779611093248,Active Total Throughput,tokens/sec,min,1480.52
0,1789562769611093248,1789562779611093248,Active Total Throughput,tokens/sec,max,59186.59
0,1789562769611093248,1789562779611093248,Active Total Throughput,tokens/sec,p50,2283.37
0,1789562769611093248,1789562779611093248,Active Total Throughput,tokens/sec,p90,25648.06
0,1789562769611093248,1789562779611093248,Active Total Throughput,tokens/sec,p95,34796.20
0,1789562769611093248,1789562779611093248,Active Total Throughput,tokens/sec,p99,46789.12
0,1789562769611093248,1789562779611093248,Active Total Throughput,tokens/sec,std,12230.44
0,1789562769611093248,1789562779611093248,Benchmark Duration,sec,avg,16.36
0,1789562769611093248,1789562779611093248,Decode Duration,ms,avg,7217.59
0,1789562769611093248,1789562779611093248,Decode Duration,ms,min,6860.21
0,1789562769611093248,1789562779611093248,Decode Duration,ms,max,8045.07
0,1789562769611093248,1789562779611093248,Decode Duration,ms,sum,461925.96
0,1789562769611093248,1789562779611093248,Decode Duration,ms,p1,6860.22
0,1789562769611093248,1789562779611093248,Decode Duration,ms,p5,6860.27
0,1789562769611093248,1789562779611093248,Decode Duration,ms,p10,6860.31
0,1789562769611093248,1789562779611093248,Decode Duration,ms,p25,6886.13
0,1789562769611093248,1789562779611093248,Decode Duration,ms,p50,7222.39
0,1789562769611093248,1789562779611093248,Decode Duration,ms,p75,7455.69
0,1789562769611093248,1789562779611093248,Decode Duration,ms,p90,7826.86
0,1789562769611093248,1789562779611093248,Decode Duration,ms,p95,7826.88
0,1789562769611093248,1789562779611093248,Decode Duration,ms,p99,8038.84
0,1789562769611093248,1789562779611093248,Decode Duration,ms,std,342.69
0,1789562769611093248,1789562779611093248,E2E Output Token Throughput,tokens/sec/user,avg,62.77
0,1789562769611093248,1789562779611093248,E2E Output Token Throughput,tokens/sec/user,min,62.52
0,1789562769611093248,1789562779611093248,E2E Output Token Throughput,tokens/sec/user,max,63.08
0,1789562769611093248,1789562779611093248,E2E Output Token Throughput,tokens/sec/user,sum,4017.31
0,1789562769611093248,1789562779611093248,E2E Output Token Throughput,tokens/sec/user,p1,62.52
0,1789562769611093248,1789562779611093248,E2E Output Token Throughput,tokens/sec/user,p5,62.52
0,1789562769611093248,1789562779611093248,E2E Output Token Throughput,tokens/sec/user,p10,62.53
0,1789562769611093248,1789562779611093248,E2E Output Token Throughput,tokens/sec/user,p25,62.69
0,1789562769611093248,1789562779611093248,E2E Output Token Throughput,tokens/sec/user,p50,62.77
0,1789562769611093248,1789562779611093248,E2E Output Token Throughput,tokens/sec/user,p75,62.81
0,1789562769611093248,1789562779611093248,E2E Output Token Throughput,tokens/sec/user,p90,63.05
