metric,mean,std,min,max,cv,se,ci_low,ci_high,t_critical,unit
time_to_first_output_token_p10,4410.06,12.05,4401.54,4418.58,0.0027,8.5194,4301.81,4518.31,12.7062,ms
effective_concurrency_p50,128.00,0.00,128.00,128.00,0.0000,0.0000,128.00,128.00,12.7062,requests
request_latency_p95,10889.89,2.87,10887.86,10891.91,0.0003,2.0265,10864.14,10915.64,12.7062,ms
usage_total_tokens_p90,1577.00,0.00,1577.00,1577.00,0.0000,0.0000,1577.00,1577.00,12.7062,tokens
tokens_in_flight_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_connecting_p99,1.52,0.14,1.42,1.62,0.0929,0.1001,0.25,2.80,12.7062,ms
usage_prompt_tokens_std,0.41,0.00,0.41,0.41,0.0000,0.0000,0.41,0.41,12.7062,tokens
nvidia_output_tps_per_watt_avg,5.75,0.00,5.75,5.75,0.0000,0.0002,5.74,5.75,12.7062,tokens/sec/W
prefill_throughput_per_user_std,368.25,3.50,365.78,370.73,0.0095,2.4767,336.78,399.72,12.7062,tokens/sec/user
total_usage_total_tokens_avg,5850892.00,0.00,5850892.00,5850892.00,0.0000,0.0000,5850892.00,5850892.00,12.7062,tokens
http_req_connecting_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_chunks_sent_p50,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
osl_mismatch_diff_pct_p99,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
effective_decode_throughput_per_user_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens/sec/user
http_req_data_received_p90,130.11,0.01,130.10,130.12,0.0001,0.0073,130.02,130.20,12.7062,KB
http_req_waiting_p90,1530.60,0.68,1530.12,1531.09,0.0004,0.4824,1524.47,1536.73,12.7062,ms
usage_completion_tokens_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_blocked_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_data_sent_p1,4.27,0.00,4.27,4.27,0.0000,0.0000,4.27,4.27,12.7062,KB
usage_total_tokens_p5,1576.00,0.00,1576.00,1576.00,0.0000,0.0000,1576.00,1576.00,12.7062,tokens
decode_duration_p95,9961.94,0.37,9961.68,9962.21,0.0000,0.2636,9958.59,9965.29,12.7062,ms
output_sequence_length_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
request_latency_std,204.64,9.57,197.87,211.41,0.0468,6.7678,118.65,290.63,12.7062,ms
http_req_connection_reused_avg,0.97,0.00,0.97,0.97,0.0000,0.0000,0.97,0.97,12.7062,ratio
osl_mismatch_diff_pct_p10,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
http_req_connection_overhead_p95,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
output_token_count_std,77.53,1.35,76.58,78.48,0.0174,0.9513,65.44,89.62,12.7062,tokens
tokens_in_flight_p50,162725.04,0.71,162724.54,162725.54,0.0000,0.5000,162718.68,162731.39,12.7062,tokens
http_req_chunks_received_sum,1893308.50,9.19,1893302.00,1893315.00,0.0000,6.5000,1893225.91,1893391.09,12.7062,count
http_req_data_sent_avg,4.60,0.00,4.60,4.60,0.0000,0.0000,4.60,4.60,12.7062,KB
http_req_connection_reused_p10,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,ratio
http_req_data_received_p5,129.54,0.01,129.53,129.55,0.0001,0.0066,129.46,129.62,12.7062,KB
http_req_waiting_p5,629.25,1.46,628.22,630.28,0.0023,1.0312,616.15,642.35,12.7062,ms
input_token_throughput_avg,12849.27,2.83,12847.26,12851.27,0.0002,2.0010,12823.84,12874.69,12.7062,tokens/sec
effective_decode_concurrency_p90,128.00,0.00,128.00,128.00,0.0000,0.0000,128.00,128.00,12.7062,requests
http_req_connecting_p50,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_total_p1,10014.87,6.43,10010.32,10019.41,0.0006,4.5471,9957.09,10072.64,12.7062,ms
credit_to_start_latency_p95,6.69,1.72,5.48,7.91,0.2572,1.2175,-8.78,22.16,12.7062,ms
http_req_sending_p10,0.06,0.00,0.06,0.07,0.0409,0.0019,0.04,0.09,12.7062,ms
http_req_chunks_received_max,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,count
usage_total_tokens_p25,1576.00,0.00,1576.00,1576.00,0.0000,0.0000,1576.00,1576.00,12.7062,tokens
effective_decode_throughput_per_user_p50,64.01,0.04,63.98,64.04,0.0006,0.0273,63.66,64.36,12.7062,tokens/sec/user
decode_duration_std,337.43,6.08,333.13,341.73,0.0180,4.2990,282.80,392.05,12.7062,ms
usage_reasoning_tokens_p95,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
output_token_throughput_per_user_p75,56.33,0.02,56.31,56.34,0.0003,0.0136,56.15,56.50,12.7062,tokens/sec/user
time_to_second_token_avg,254.73,0.03,254.71,254.75,0.0001,0.0216,254.45,255.00,12.7062,ms
http_req_chunks_received_p75,510.00,0.00,510.00,510.00,0.0000,0.0000,510.00,510.00,12.7062,count
http_req_connection_overhead_std,1.16,0.03,1.14,1.18,0.0249,0.0204,0.90,1.42,12.7062,ms
effective_decode_throughput_p99,8553.22,8.77,8547.02,8559.42,0.0010,6.1987,8474.46,8631.98,12.7062,tokens/sec
inter_token_latency_p95,19.49,0.00,19.49,19.50,0.0000,0.0005,19.49,19.50,12.7062,ms
total_reasoning_tokens_avg,943759.50,12973.29,934586.00,952933.00,0.0137,9173.5000,827199.13,1060319.87,12.7062,tokens
active_prefill_throughput_per_user_p99,1777.37,1.17,1776.55,1778.20,0.0007,0.8253,1766.89,1787.86,12.7062,tokens/sec/user
active_total_throughput_p90,58917.89,62.66,58873.58,58962.19,0.0011,44.3072,58354.91,59480.86,12.7062,tokens/sec
active_prefill_throughput_max,100960.92,2311.85,99326.19,102595.65,0.0229,1634.7270,80189.75,121732.10,12.7062,tokens/sec
http_req_data_received_p25,129.70,0.00,129.70,129.70,0.0000,0.0005,129.69,129.71,12.7062,KB
http_req_waiting_p25,1008.19,105.34,933.71,1082.68,0.1045,74.4859,61.76,1954.63,12.7062,ms
inter_chunk_latency_p10,15.25,0.01,15.24,15.26,0.0009,0.0100,15.12,15.38,12.7062,ms
effective_decode_throughput_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens/sec
