Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1789566389383518464,1789566399383518464,Active Decode Throughput,tokens/sec,avg,153.17
0,1789566389383518464,1789566399383518464,Active Decode Throughput,tokens/sec,min,0.00
0,1789566389383518464,1789566399383518464,Active Decode Throughput,tokens/sec,max,333.72
0,1789566389383518464,1789566399383518464,Active Decode Throughput,tokens/sec,p50,153.72
0,1789566389383518464,1789566399383518464,Active Decode Throughput,tokens/sec,p90,157.92
0,1789566389383518464,1789566399383518464,Active Decode Throughput,tokens/sec,p95,158.22
0,1789566389383518464,1789566399383518464,Active Decode Throughput,tokens/sec,p99,160.00
0,1789566389383518464,1789566399383518464,Active Decode Throughput,tokens/sec,std,9.88
0,1789566389383518464,1789566399383518464,Active Decode Throughput Per User,tokens/sec/user,avg,153.17
0,1789566389383518464,1789566399383518464,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1789566389383518464,1789566399383518464,Active Decode Throughput Per User,tokens/sec/user,max,333.72
0,1789566389383518464,1789566399383518464,Active Decode Throughput Per User,tokens/sec/user,p50,153.72
0,1789566389383518464,1789566399383518464,Active Decode Throughput Per User,tokens/sec/user,p90,157.92
0,1789566389383518464,1789566399383518464,Active Decode Throughput Per User,tokens/sec/user,p95,158.22
0,1789566389383518464,1789566399383518464,Active Decode Throughput Per User,tokens/sec/user,p99,160.00
0,1789566389383518464,1789566399383518464,Active Decode Throughput Per User,tokens/sec/user,std,9.88
0,1789566389383518464,1789566399383518464,Active Prefill Throughput,tokens/sec,avg,8371.75
0,1789566389383518464,1789566399383518464,Active Prefill Throughput,tokens/sec,min,7950.41
0,1789566389383518464,1789566399383518464,Active Prefill Throughput,tokens/sec,max,8626.61
0,1789566389383518464,1789566399383518464,Active Prefill Throughput,tokens/sec,p50,8572.80
0,1789566389383518464,1789566399383518464,Active Prefill Throughput,tokens/sec,p90,8626.61
0,1789566389383518464,1789566399383518464,Active Prefill Throughput,tokens/sec,p95,8626.61
0,1789566389383518464,1789566399383518464,Active Prefill Throughput,tokens/sec,p99,8626.61
0,1789566389383518464,1789566399383518464,Active Prefill Throughput,tokens/sec,std,310.62
0,1789566389383518464,1789566399383518464,Active Prefill Throughput Per User,tokens/sec/user,avg,8371.75
0,1789566389383518464,1789566399383518464,Active Prefill Throughput Per User,tokens/sec/user,min,7950.41
0,1789566389383518464,1789566399383518464,Active Prefill Throughput Per User,tokens/sec/user,max,8626.61
0,1789566389383518464,1789566399383518464,Active Prefill Throughput Per User,tokens/sec/user,p50,8572.80
0,1789566389383518464,1789566399383518464,Active Prefill Throughput Per User,tokens/sec/user,p90,8626.61
0,1789566389383518464,1789566399383518464,Active Prefill Throughput Per User,tokens/sec/user,p95,8626.61
0,1789566389383518464,1789566399383518464,Active Prefill Throughput Per User,tokens/sec/user,p99,8626.61
0,1789566389383518464,1789566399383518464,Active Prefill Throughput Per User,tokens/sec/user,std,310.62
0,1789566389383518464,1789566399383518464,Active Total Throughput,tokens/sec,avg,466.78
0,1789566389383518464,1789566399383518464,Active Total Throughput,tokens/sec,min,153.15
0,1789566389383518464,1789566399383518464,Active Total Throughput,tokens/sec,max,8626.61
0,1789566389383518464,1789566399383518464,Active Total Throughput,tokens/sec,p50,153.19
0,1789566389383518464,1789566399383518464,Active Total Throughput,tokens/sec,p90,153.23
0,1789566389383518464,1789566399383518464,Active Total Throughput,tokens/sec,p95,153.23
0,1789566389383518464,1789566399383518464,Active Total Throughput,tokens/sec,p99,8626.61
0,1789566389383518464,1789566399383518464,Active Total Throughput,tokens/sec,std,1575.62
0,1789566389383518464,1789566399383518464,Benchmark Duration,sec,avg,10.40
0,1789566389383518464,1789566399383518464,Decode Duration,ms,avg,3335.74
0,1789566389383518464,1789566399383518464,Decode Duration,ms,min,3334.87
0,1789566389383518464,1789566399383518464,Decode Duration,ms,max,3336.51
0,1789566389383518464,1789566399383518464,Decode Duration,ms,sum,10007.21
0,1789566389383518464,1789566399383518464,Decode Duration,ms,p1,3334.89
0,1789566389383518464,1789566399383518464,Decode Duration,ms,p5,3334.97
0,1789566389383518464,1789566399383518464,Decode Duration,ms,p10,3335.06
0,1789566389383518464,1789566399383518464,Decode Duration,ms,p25,3335.35
0,1789566389383518464,1789566399383518464,Decode Duration,ms,p50,3335.83
0,1789566389383518464,1789566399383518464,Decode Duration,ms,p75,3336.17
0,1789566389383518464,1789566399383518464,Decode Duration,ms,p90,3336.37
0,1789566389383518464,1789566399383518464,Decode Duration,ms,p95,3336.44
0,1789566389383518464,1789566399383518464,Decode Duration,ms,p99,3336.50
0,1789566389383518464,1789566399383518464,Decode Duration,ms,std,0.67
0,1789566389383518464,1789566399383518464,E2E Output Token Throughput,tokens/sec/user,avg,147.86
0,1789566389383518464,1789566399383518464,E2E Output Token Throughput,tokens/sec/user,min,147.61
0,1789566389383518464,1789566399383518464,E2E Output Token Throughput,tokens/sec/user,max,147.98
0,1789566389383518464,1789566399383518464,E2E Output Token Throughput,tokens/sec/user,sum,443.57
0,1789566389383518464,1789566399383518464,E2E Output Token Throughput,tokens/sec/user,p1,147.61
0,1789566389383518464,1789566399383518464,E2E Output Token Throughput,tokens/sec/user,p5,147.64
0,1789566389383518464,1789566399383518464,E2E Output Token Throughput,tokens/sec/user,p10,147.68
0,1789566389383518464,1789566399383518464,E2E Output Token Throughput,tokens/sec/user,p25,147.79
0,1789566389383518464,1789566399383518464,E2E Output Token Throughput,tokens/sec/user,p50,147.98
0,1789566389383518464,1789566399383518464,E2E Output Token Throughput,tokens/sec/user,p75,147.98
0,1789566389383518464,1789566399383518464,E2E Output Token Throughput,tokens/sec/user,p90,147.98
0,1789566389383518464,1789566399383518464,E2E Output Token Throughput,tokens/sec/user,p95,147.98
0,1789566389383518464,1789566399383518464,E2E Output Token Throughput,tokens/sec/user,p99,147.98
0,1789566389383518464,1789566399383518464,E2E Output Token Throughput,tokens/sec/user,std,0.18
0,1789566389383518464,1789566399383518464,Effective Concurrency,requests,avg,1.00
0,1789566389383518464,1789566399383518464,Effective Concurrency,requests,min,0.00
0,1789566389383518464,1789566399383518464,Effective Concurrency,requests,max,1.00
0,1789566389383518464,1789566399383518464,Effective Concurrency,requests,p50,1.00
0,1789566389383518464,1789566399383518464,Effective Concurrency,requests,p90,1.00
0,1789566389383518464,1789566399383518464,Effective Concurrency,requests,p95,1.00
0,1789566389383518464,1789566399383518464,Effective Concurrency,requests,p99,1.00
0,1789566389383518464,1789566399383518464,Effective Concurrency,requests,std,0.03
0,1789566389383518464,1789566399383518464,Effective Decode Concurrency,requests,avg,0.96
0,1789566389383518464,1789566399383518464,Effective Decode Concurrency,requests,min,0.00
0,1789566389383518464,1789566399383518464,Effective Decode Concurrency,requests,max,1.00
0,1789566389383518464,1789566399383518464,Effective Decode Concurrency,requests,p50,1.00
0,1789566389383518464,1789566399383518464,Effective Decode Concurrency,requests,p90,1.00
0,1789566389383518464,1789566399383518464,Effective Decode Concurrency,requests,p95,1.00
0,1789566389383518464,1789566399383518464,Effective Decode Concurrency,requests,p99,1.00
0,1789566389383518464,1789566399383518464,Effective Decode Concurrency,requests,std,0.19
0,1789566389383518464,1789566399383518464,Effective Decode Throughput,tokens/sec,avg,147.22
0,1789566389383518464,1789566399383518464,Effective Decode Throughput,tokens/sec,min,0.00
0,1789566389383518464,1789566399383518464,Effective Decode Throughput,tokens/sec,max,333.72
0,1789566389383518464,1789566399383518464,Effective Decode Throughput,tokens/sec,p50,153.70
0,1789566389383518464,1789566399383518464,Effective Decode Throughput,tokens/sec,p90,157.91
0,1789566389383518464,1789566399383518464,Effective Decode Throughput,tokens/sec,p95,158.18
0,1789566389383518464,1789566399383518464,Effective Decode Throughput,tokens/sec,p99,160.00
0,1789566389383518464,1789566399383518464,Effective Decode Throughput,tokens/sec,std,31.15
0,1789566389383518464,1789566399383518464,Effective Decode Throughput Per User,tokens/sec/user,avg,147.22
0,1789566389383518464,1789566399383518464,Effective Decode Throughput Per User,tokens/sec/user,min,0.00
0,1789566389383518464,1789566399383518464,Effective Decode Throughput Per User,tokens/sec/user,max,333.72
0,1789566389383518464,1789566399383518464,Effective Decode Throughput Per User,tokens/sec/user,p50,153.70
0,1789566389383518464,1789566399383518464,Effective Decode Throughput Per User,tokens/sec/user,p90,157.91
0,1789566389383518464,1789566399383518464,Effective Decode Throughput Per User,tokens/sec/user,p95,158.18
0,1789566389383518464,1789566399383518464,Effective Decode Throughput Per User,tokens/sec/user,p99,160.00
0,1789566389383518464,1789566399383518464,Effective Decode Throughput Per User,tokens/sec/user,std,31.15
0,1789566389383518464,1789566399383518464,Effective Prefill Concurrency,requests,avg,0.04
0,1789566389383518464,1789566399383518464,Effective Prefill Concurrency,requests,min,0.00
0,1789566389383518464,1789566399383518464,Effective Prefill Concurrency,requests,max,1.00
0,1789566389383518464,1789566399383518464,Effective Prefill Concurrency,requests,p50,0.00
0,1789566389383518464,1789566399383518464,Effective Prefill Concurrency,requests,p90,0.00
0,1789566389383518464,1789566399383518464,Effective Prefill Concurrency,requests,p95,0.00
0,1789566389383518464,1789566399383518464,Effective Prefill Concurrency,requests,p99,1.00
0,1789566389383518464,1789566399383518464,Effective Prefill Concurrency,requests,std,0.19
0,1789566389383518464,1789566399383518464,Effective Prefill Throughput,tokens/sec,avg,319.20
0,1789566389383518464,1789566399383518464,Effective Prefill Throughput,tokens/sec,min,0.00
0,1789566389383518464,1789566399383518464,Effective Prefill Throughput,tokens/sec,max,8626.61
0,1789566389383518464,1789566399383518464,Effective Prefill Throughput,tokens/sec,p50,0.00
0,1789566389383518464,1789566399383518464,Effective Prefill Throughput,tokens/sec,p90,0.00
0,1789566389383518464,1789566399383518464,Effective Prefill Throughput,tokens/sec,p95,0.00
0,1789566389383518464,1789566399383518464,Effective Prefill Throughput,tokens/sec,p99,8626.61
0,1789566389383518464,1789566399383518464,Effective Prefill Throughput,tokens/sec,std,1604.39
0,1789566389383518464,1789566399383518464,Effective Prefill Throughput Per User,tokens/sec/user,avg,319.20
0,1789566389383518464,1789566399383518464,Effective Prefill Throughput Per User,tokens/sec/user,min,0.00
0,1789566389383518464,1789566399383518464,Effective Prefill Throughput Per User,tokens/sec/user,max,8626.61
0,1789566389383518464,1789566399383518464,Effective Prefill Throughput Per User,tokens/sec/user,p50,0.00
0,1789566389383518464,1789566399383518464,Effective Prefill Throughput Per User,tokens/sec/user,p90,0.00
0,1789566389383518464,1789566399383518464,Effective Prefill Throughput Per User,tokens/sec/user,p95,0.00
0,1789566389383518464,1789566399383518464,Effective Prefill Throughput Per User,tokens/sec/user,p99,8626.61
0,1789566389383518464,1789566399383518464,Effective Prefill Throughput Per User,tokens/sec/user,std,1604.39
0,1789566389383518464,1789566399383518464,Effective Total Throughput,tokens/sec,avg,466.44
0,1789566389383518464,1789566399383518464,Effective Total Throughput,tokens/sec,min,0.00
0,1789566389383518464,1789566399383518464,Effective Total Throughput,tokens/sec,max,8626.61
