metric,mean,std,min,max,cv,se,ci_low,ci_high,t_critical,unit
http_req_sending_max,10.87,12.46,2.06,19.68,1.1462,8.8113,-101.09,122.83,12.7062,ms
prefill_throughput_per_user_p5,2039.73,0.49,2039.38,2040.08,0.0002,0.3452,2035.34,2044.12,12.7062,tokens/sec/user
usage_completion_tokens_p90,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
usage_reasoning_tokens_p1,129.38,3.71,126.75,132.00,0.0287,2.6250,96.02,162.73,12.7062,tokens
total_usage_completion_tokens_avg,704512.00,0.00,704512.00,704512.00,0.0000,0.0000,704512.00,704512.00,12.7062,tokens
effective_decode_throughput_per_user_p50,78.64,0.04,78.61,78.66,0.0005,0.0262,78.30,78.97,12.7062,tokens/sec/user
prefill_throughput_per_user_p75,2240.75,14.58,2230.44,2251.06,0.0065,10.3077,2109.78,2371.72,12.7062,tokens/sec/user
credit_to_start_latency_p10,1.04,0.01,1.04,1.05,0.0101,0.0075,0.95,1.14,12.7062,ms
effective_decode_throughput_per_user_std,24.27,0.05,24.24,24.30,0.0019,0.0319,23.86,24.67,12.7062,tokens/sec/user
http_req_blocked_p95,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
active_total_throughput_max,68905.17,492.45,68556.95,69253.38,0.0071,348.2163,64480.66,73329.67,12.7062,tokens/sec
usage_prompt_tokens_avg,1040.00,0.00,1040.00,1040.00,0.0000,0.0000,1040.00,1040.00,12.7062,tokens
time_to_first_output_token_min,1495.20,55.98,1455.62,1534.78,0.0374,39.5806,992.28,1998.12,12.7062,ms
output_token_count_max,426.50,4.95,423.00,430.00,0.0116,3.5000,382.03,470.97,12.7062,tokens
usage_total_tokens_p99,1552.00,0.00,1552.00,1552.00,0.0000,0.0000,1552.00,1552.00,12.7062,tokens
output_sequence_length_p95,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
decode_duration_p1,6369.22,22.22,6353.51,6384.93,0.0035,15.7127,6169.57,6568.87,12.7062,ms
http_req_receiving_p25,6536.68,3.79,6533.99,6539.36,0.0006,2.6804,6502.62,6570.73,12.7062,ms
tokens_in_flight_max,49609.90,10.98,49602.13,49617.66,0.0002,7.7658,49511.22,49708.57,12.7062,tokens
usage_total_tokens_p10,1552.00,0.00,1552.00,1552.00,0.0000,0.0000,1552.00,1552.00,12.7062,tokens
http_req_duration_p90,7071.25,0.26,7071.07,7071.43,0.0000,0.1812,7068.95,7073.55,12.7062,ms
http_req_data_received_min,125.56,1.16,124.74,126.38,0.0092,0.8184,115.16,135.96,12.7062,KB
time_to_first_output_token_avg,5374.50,81.04,5317.19,5431.80,0.0151,57.3029,4646.39,6102.60,12.7062,ms
usage_completion_tokens_avg,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
effective_total_throughput_p95,38203.05,266.86,38014.35,38391.76,0.0070,188.7012,35805.38,40600.73,12.7062,tokens/sec
http_req_chunks_sent_p95,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
active_prefill_throughput_per_user_p95,2334.83,29.93,2313.67,2355.99,0.0128,21.1616,2065.95,2603.71,12.7062,tokens/sec/user
http_req_receiving_p1,6388.10,48.80,6353.59,6422.60,0.0076,34.5073,5949.64,6826.55,12.7062,ms
inter_token_latency_sum,17670.06,1.13,17669.25,17670.86,0.0001,0.8017,17659.87,17680.24,12.7062,ms
http_req_duration_min,6744.23,51.69,6707.68,6780.78,0.0077,36.5494,6279.83,7208.63,12.7062,ms
nvidia_average_gpu_power_avg,923.89,1.53,922.81,924.98,0.0017,1.0836,910.13,937.66,12.7062,W
http_req_data_received_avg,137.07,0.11,136.99,137.15,0.0008,0.0802,136.05,138.09,12.7062,KB
prefill_throughput_per_user_p99,3220.15,39.63,3192.13,3248.18,0.0123,28.0261,2864.05,3576.26,12.7062,tokens/sec/user
usage_reasoning_tokens_sum,642177.00,4497.20,638997.00,645357.00,0.0070,3180.0000,601771.27,682582.73,12.7062,tokens
active_decode_throughput_p95,2739.62,3.49,2737.15,2742.08,0.0013,2.4669,2708.27,2770.96,12.7062,tokens/sec
prefill_throughput_per_user_p10,2044.25,0.61,2043.82,2044.67,0.0003,0.4293,2038.79,2049.70,12.7062,tokens/sec/user
total_reasoning_tokens_avg,642177.00,4497.20,638997.00,645357.00,0.0070,3180.0000,601771.27,682582.73,12.7062,tokens
http_req_duration_avg,7048.10,5.24,7044.40,7051.81,0.0007,3.7069,7001.00,7095.20,12.7062,ms
effective_decode_throughput_p99,3478.53,0.34,3478.29,3478.77,0.0001,0.2429,3475.44,3481.62,12.7062,tokens/sec
request_latency_p50,7044.79,1.41,7043.79,7045.79,0.0002,0.9985,7032.10,7057.48,12.7062,ms
active_prefill_throughput_p95,67958.44,462.77,67631.21,68285.67,0.0068,327.2308,63800.58,72116.30,12.7062,tokens/sec
output_token_throughput_per_user_p90,78.39,0.01,78.39,78.40,0.0001,0.0041,78.34,78.44,12.7062,tokens/sec/user
request_latency_std,62.19,22.08,46.58,77.80,0.3550,15.6101,-136.16,260.54,12.7062,ms
http_req_sending_p90,0.15,0.00,0.15,0.15,0.0253,0.0027,0.12,0.18,12.7062,ms
time_to_second_token_p50,78.42,0.36,78.17,78.67,0.0045,0.2515,75.22,81.61,12.7062,ms
time_to_second_token_std,99.48,0.85,98.87,100.08,0.0086,0.6039,91.80,107.15,12.7062,ms
input_sequence_length_p50,1040.00,0.00,1040.00,1040.00,0.0000,0.0000,1040.00,1040.00,12.7062,tokens
decode_duration_sum,9029398.39,579.35,9028988.72,9029808.05,0.0001,409.6610,9024193.15,9034603.62,12.7062,ms
active_total_throughput_p90,2521.87,18.37,2508.88,2534.86,0.0073,12.9922,2356.79,2686.95,12.7062,tokens/sec
effective_decode_throughput_per_user_p99,108.74,0.04,108.72,108.77,0.0004,0.0287,108.38,109.11,12.7062,tokens/sec/user
input_sequence_length_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_chunks_received_sum,684955.50,538.11,684575.00,685336.00,0.0008,380.5000,680120.79,689790.21,12.7062,count
effective_concurrency_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,requests
output_token_count_p90,339.20,5.94,335.00,343.40,0.0175,4.2000,285.83,392.57,12.7062,tokens
e2e_output_token_throughput_max,75.92,0.58,75.51,76.33,0.0077,0.4115,70.69,81.15,12.7062,tokens/sec/user
request_latency_p5,7001.87,9.93,6994.85,7008.90,0.0014,7.0204,6912.67,7091.08,12.7062,ms
effective_latency_p50,7046.44,1.76,7045.20,7047.68,0.0002,1.2410,7030.67,7062.21,12.7062,ms
tokens_in_flight_p90,47883.87,0.47,47883.53,47884.20,0.0000,0.3351,47879.61,47888.13,12.7062,tokens
effective_latency_std,58.77,23.33,42.28,75.27,0.3969,16.4962,-150.83,268.38,12.7062,ms
request_latency_p75,7056.13,6.86,7051.27,7060.98,0.0010,4.8540,6994.45,7117.80,12.7062,ms
benchmark_duration_avg,303.22,0.22,303.06,303.38,0.0007,0.1573,301.22,305.22,12.7062,sec
http_req_waiting_min,307.81,5.06,304.23,311.38,0.0164,3.5763,262.37,353.25,12.7062,ms
http_req_dns_lookup_p25,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
time_to_second_token_p75,200.82,1.06,200.07,201.58,0.0053,0.7513,191.28,210.37,12.7062,ms
input_sequence_length_p5,1040.00,0.00,1040.00,1040.00,0.0000,0.0000,1040.00,1040.00,12.7062,tokens
input_sequence_length_p75,1040.00,0.00,1040.00,1040.00,0.0000,0.0000,1040.00,1040.00,12.7062,tokens
tokens_in_flight_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
effective_decode_throughput_max,20106.61,1290.52,19194.07,21019.15,0.0642,912.5387,8511.71,31701.52,12.7062,tokens/sec
active_decode_throughput_per_user_p50,78.64,0.03,78.62,78.66,0.0004,0.0238,78.34,78.94,12.7062,tokens/sec/user
active_decode_throughput_per_user_std,24.14,0.08,24.09,24.20,0.0033,0.0555,23.44,24.85,12.7062,tokens/sec/user
http_req_waiting_avg,483.37,5.04,479.81,486.93,0.0104,3.5621,438.11,528.63,12.7062,ms
effective_latency_p5,7008.28,7.53,7002.95,7013.60,0.0011,5.3225,6940.65,7075.91,12.7062,ms
http_req_dns_lookup_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
effective_latency_p75,7058.04,7.57,7052.69,7063.39,0.0011,5.3496,6990.07,7126.02,12.7062,ms
output_token_count_avg,125.10,5.83,120.97,129.22,0.0466,4.1248,72.69,177.51,12.7062,tokens
time_to_first_token_p95,509.87,0.12,509.79,509.96,0.0002,0.0863,508.77,510.97,12.7062,ms
http_req_connection_reused_p25,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,ratio
input_token_throughput_avg,4719.40,3.46,4716.95,4721.84,0.0007,2.4483,4688.29,4750.50,12.7062,tokens/sec
http_req_connecting_p75,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
credit_to_start_latency_min,0.82,0.01,0.81,0.83,0.0167,0.0097,0.70,0.95,12.7062,ms
tokens_in_flight_avg,41031.01,3.06,41028.84,41033.17,0.0001,2.1645,41003.50,41058.51,12.7062,tokens
effective_prefill_throughput_per_user_p99,2303.38,14.35,2293.24,2313.53,0.0062,10.1450,2174.48,2432.29,12.7062,tokens/sec/user
http_req_connection_overhead_p25,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_receiving_p50,6559.41,3.31,6557.07,6561.75,0.0005,2.3376,6529.71,6589.11,12.7062,ms
http_req_receiving_std,52.39,2.21,50.82,53.95,0.0423,1.5658,32.49,72.28,12.7062,ms
http_req_data_sent_p75,4.53,0.00,4.53,4.53,0.0000,0.0000,4.53,4.53,12.7062,KB
credit_to_start_latency_avg,1.34,0.04,1.31,1.37,0.0303,0.0288,0.98,1.71,12.7062,ms
request_latency_p99,7432.35,267.65,7243.09,7621.61,0.0360,189.2591,5027.59,9837.11,12.7062,ms
