Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1789569995168594176,1789570005168594176,Active Decode Throughput,tokens/sec,avg,2214.66
0,1789569995168594176,1789570005168594176,Active Decode Throughput,tokens/sec,min,3.03
0,1789569995168594176,1789570005168594176,Active Decode Throughput,tokens/sec,max,17101.56
0,1789569995168594176,1789570005168594176,Active Decode Throughput,tokens/sec,p50,2533.63
0,1789569995168594176,1789570005168594176,Active Decode Throughput,tokens/sec,p90,2714.67
0,1789569995168594176,1789570005168594176,Active Decode Throughput,tokens/sec,p95,2806.29
0,1789569995168594176,1789570005168594176,Active Decode Throughput,tokens/sec,p99,3633.41
0,1789569995168594176,1789570005168594176,Active Decode Throughput,tokens/sec,std,986.40
0,1789569995168594176,1789570005168594176,Active Decode Throughput Per User,tokens/sec/user,avg,69.69
0,1789569995168594176,1789570005168594176,Active Decode Throughput Per User,tokens/sec/user,min,2.55
0,1789569995168594176,1789570005168594176,Active Decode Throughput Per User,tokens/sec/user,max,551.66
0,1789569995168594176,1789570005168594176,Active Decode Throughput Per User,tokens/sec/user,p50,79.18
0,1789569995168594176,1789570005168594176,Active Decode Throughput Per User,tokens/sec/user,p90,84.83
0,1789569995168594176,1789570005168594176,Active Decode Throughput Per User,tokens/sec/user,p95,87.70
0,1789569995168594176,1789570005168594176,Active Decode Throughput Per User,tokens/sec/user,p99,113.54
0,1789569995168594176,1789570005168594176,Active Decode Throughput Per User,tokens/sec/user,std,29.92
0,1789569995168594176,1789570005168594176,Active Prefill Throughput,tokens/sec,avg,37431.89
0,1789569995168594176,1789570005168594176,Active Prefill Throughput,tokens/sec,min,1059.63
0,1789569995168594176,1789570005168594176,Active Prefill Throughput,tokens/sec,max,60914.77
0,1789569995168594176,1789570005168594176,Active Prefill Throughput,tokens/sec,p50,40612.17
0,1789569995168594176,1789570005168594176,Active Prefill Throughput,tokens/sec,p90,60358.82
0,1789569995168594176,1789570005168594176,Active Prefill Throughput,tokens/sec,p95,60914.77
0,1789569995168594176,1789570005168594176,Active Prefill Throughput,tokens/sec,p99,60914.77
0,1789569995168594176,1789570005168594176,Active Prefill Throughput,tokens/sec,std,14163.52
0,1789569995168594176,1789570005168594176,Active Prefill Throughput Per User,tokens/sec/user,avg,1570.72
0,1789569995168594176,1789570005168594176,Active Prefill Throughput Per User,tokens/sec/user,min,1059.63
0,1789569995168594176,1789570005168594176,Active Prefill Throughput Per User,tokens/sec/user,max,2934.34
0,1789569995168594176,1789570005168594176,Active Prefill Throughput Per User,tokens/sec/user,p50,1372.87
0,1789569995168594176,1789570005168594176,Active Prefill Throughput Per User,tokens/sec/user,p90,2115.12
0,1789569995168594176,1789570005168594176,Active Prefill Throughput Per User,tokens/sec/user,p95,2115.12
0,1789569995168594176,1789570005168594176,Active Prefill Throughput Per User,tokens/sec/user,p99,2115.12
0,1789569995168594176,1789570005168594176,Active Prefill Throughput Per User,tokens/sec/user,std,380.37
0,1789569995168594176,1789570005168594176,Active Total Throughput,tokens/sec,avg,8783.10
0,1789569995168594176,1789570005168594176,Active Total Throughput,tokens/sec,min,1573.76
0,1789569995168594176,1789570005168594176,Active Total Throughput,tokens/sec,max,60990.91
0,1789569995168594176,1789570005168594176,Active Total Throughput,tokens/sec,p50,2447.93
0,1789569995168594176,1789570005168594176,Active Total Throughput,tokens/sec,p90,35084.21
0,1789569995168594176,1789570005168594176,Active Total Throughput,tokens/sec,p95,43931.77
0,1789569995168594176,1789570005168594176,Active Total Throughput,tokens/sec,p99,60990.91
0,1789569995168594176,1789570005168594176,Active Total Throughput,tokens/sec,std,14772.91
0,1789569995168594176,1789570005168594176,Benchmark Duration,sec,avg,14.82
0,1789569995168594176,1789570005168594176,Decode Duration,ms,avg,6618.93
0,1789569995168594176,1789570005168594176,Decode Duration,ms,min,6525.06
0,1789569995168594176,1789570005168594176,Decode Duration,ms,max,7020.36
0,1789569995168594176,1789570005168594176,Decode Duration,ms,sum,423611.48
0,1789569995168594176,1789570005168594176,Decode Duration,ms,p1,6525.08
0,1789569995168594176,1789570005168594176,Decode Duration,ms,p5,6525.13
0,1789569995168594176,1789570005168594176,Decode Duration,ms,p10,6525.22
0,1789569995168594176,1789570005168594176,Decode Duration,ms,p25,6572.54
0,1789569995168594176,1789570005168594176,Decode Duration,ms,p50,6642.57
0,1789569995168594176,1789570005168594176,Decode Duration,ms,p75,6688.27
0,1789569995168594176,1789570005168594176,Decode Duration,ms,p90,6688.38
0,1789569995168594176,1789570005168594176,Decode Duration,ms,p95,6688.40
0,1789569995168594176,1789570005168594176,Decode Duration,ms,p99,6877.55
0,1789569995168594176,1789570005168594176,Decode Duration,ms,std,83.46
0,1789569995168594176,1789570005168594176,E2E Output Token Throughput,tokens/sec/user,avg,70.31
0,1789569995168594176,1789570005168594176,E2E Output Token Throughput,tokens/sec/user,min,65.85
0,1789569995168594176,1789570005168594176,E2E Output Token Throughput,tokens/sec/user,max,72.91
0,1789569995168594176,1789570005168594176,E2E Output Token Throughput,tokens/sec/user,sum,4499.80
0,1789569995168594176,1789570005168594176,E2E Output Token Throughput,tokens/sec/user,p1,66.68
0,1789569995168594176,1789570005168594176,E2E Output Token Throughput,tokens/sec/user,p5,67.17
0,1789569995168594176,1789570005168594176,E2E Output Token Throughput,tokens/sec/user,p10,67.18
0,1789569995168594176,1789570005168594176,E2E Output Token Throughput,tokens/sec/user,p25,69.05
0,1789569995168594176,1789570005168594176,E2E Output Token Throughput,tokens/sec/user,p50,70.78
0,1789569995168594176,1789570005168594176,E2E Output Token Throughput,tokens/sec/user,p75,71.99
0,1789569995168594176,1789570005168594176,E2E Output Token Throughput,tokens/sec/user,p90,72.83
0,1789569995168594176,1789570005168594176,E2E Output Token Throughput,tokens/sec/user,p95,72.83
0,1789569995168594176,1789570005168594176,E2E Output Token Throughput,tokens/sec/user,p99,72.86
0,1789569995168594176,1789570005168594176,E2E Output Token Throughput,tokens/sec/user,std,2.17
0,1789569995168594176,1789570005168594176,Effective Concurrency,requests,avg,31.98
0,1789569995168594176,1789570005168594176,Effective Concurrency,requests,min,1.00
0,1789569995168594176,1789570005168594176,Effective Concurrency,requests,max,32.00
0,1789569995168594176,1789570005168594176,Effective Concurrency,requests,p50,32.00
0,1789569995168594176,1789570005168594176,Effective Concurrency,requests,p90,32.00
0,1789569995168594176,1789570005168594176,Effective Concurrency,requests,p95,32.00
0,1789569995168594176,1789570005168594176,Effective Concurrency,requests,p99,32.00
