metric,mean,std,min,max,cv,se,ci_low,ci_high,t_critical,unit
request_latency_p95,14585.94,19.53,14572.13,14599.75,0.0013,13.8075,14410.50,14761.38,12.7062,ms
http_req_chunks_received_max,510.00,0.00,510.00,510.00,0.0000,0.0000,510.00,510.00,12.7062,count
active_decode_throughput_avg,9319.13,58.29,9277.91,9360.35,0.0063,41.2171,8795.42,9842.84,12.7062,tokens/sec
http_req_blocked_p5,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
output_sequence_length_p5,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
time_to_second_token_sum,1415130.63,46029.55,1382582.82,1447678.44,0.0325,32547.8102,1001571.49,1828689.77,12.7062,ms
time_to_second_token_p1,15.41,0.18,15.28,15.53,0.0115,0.1253,13.82,17.00,12.7062,ms
http_req_data_received_p90,140.52,0.15,140.41,140.63,0.0011,0.1084,139.14,141.90,12.7062,KB
nvidia_energy_per_user_avg,978.73,31.05,956.77,1000.68,0.0317,21.9554,699.76,1257.70,12.7062,joules/user
usage_prompt_tokens_p75,1040.00,0.00,1040.00,1040.00,0.0000,0.0000,1040.00,1040.00,12.7062,tokens
active_total_throughput_std,30527.95,69.02,30479.15,30576.76,0.0023,48.8019,29907.87,31148.04,12.7062,tokens/sec
credit_to_start_latency_std,4.51,0.11,4.43,4.59,0.0245,0.0783,3.52,5.51,12.7062,ms
http_req_data_received_p25,133.51,0.02,133.49,133.52,0.0002,0.0150,133.32,133.70,12.7062,KB
effective_total_throughput_p95,107057.33,138.88,106959.13,107155.54,0.0013,98.2013,105809.57,108305.10,12.7062,tokens/sec
credit_to_start_latency_p10,1.87,0.01,1.86,1.88,0.0065,0.0086,1.76,1.98,12.7062,ms
http_req_total_p75,14478.98,55.56,14439.69,14518.26,0.0038,39.2857,13979.81,14978.15,12.7062,ms
output_token_throughput_per_user_p95,53.18,0.60,52.75,53.60,0.0112,0.4217,47.82,58.53,12.7062,tokens/sec/user
effective_prefill_throughput_per_user_avg,128.13,0.82,127.55,128.71,0.0064,0.5768,120.80,135.46,12.7062,tokens/sec/user
usage_completion_tokens_p99,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
prefill_throughput_per_user_avg,509.32,0.98,508.63,510.02,0.0019,0.6928,500.52,518.13,12.7062,tokens/sec/user
effective_prefill_throughput_p50,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens/sec
time_to_first_token_p75,3746.77,0.01,3746.76,3746.77,0.0000,0.0064,3746.69,3746.85,12.7062,ms
output_sequence_length_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
effective_prefill_concurrency_max,256.00,0.00,256.00,256.00,0.0000,0.0000,256.00,256.00,12.7062,requests
usage_prompt_tokens_p1,1040.00,0.00,1040.00,1040.00,0.0000,0.0000,1040.00,1040.00,12.7062,tokens
output_sequence_length_p10,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_connection_reused_p75,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,ratio
http_req_chunks_received_avg,486.55,0.09,486.49,486.61,0.0002,0.0618,485.76,487.33,12.7062,count
credit_to_start_latency_sum,31769.67,1032.90,31039.30,32500.04,0.0325,730.3694,22489.45,41049.89,12.7062,ms
decode_duration_min,9130.56,265.03,8943.16,9317.97,0.0290,187.4044,6749.36,11511.76,12.7062,ms
effective_decode_throughput_std,6603.72,66.91,6556.41,6651.03,0.0101,47.3116,6002.57,7204.87,12.7062,tokens/sec
inter_chunk_latency_p99,272.20,0.19,272.07,272.34,0.0007,0.1327,270.52,273.89,12.7062,ms
http_req_total_sum,78896914.00,2095648.11,77415067.01,80378760.99,0.0266,1481846.9884,60068262.78,97725565.23,12.7062,ms
