Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1789573574726486528,1789573584726486528,Active Decode Throughput,tokens/sec,avg,1322.48
0,1789573574726486528,1789573584726486528,Active Decode Throughput,tokens/sec,min,0.00
0,1789573574726486528,1789573584726486528,Active Decode Throughput,tokens/sec,max,12892.44
0,1789573574726486528,1789573584726486528,Active Decode Throughput,tokens/sec,p50,1363.34
0,1789573574726486528,1789573584726486528,Active Decode Throughput,tokens/sec,p90,1453.60
0,1789573574726486528,1789573584726486528,Active Decode Throughput,tokens/sec,p95,1480.50
0,1789573574726486528,1789573584726486528,Active Decode Throughput,tokens/sec,p99,1547.46
0,1789573574726486528,1789573584726486528,Active Decode Throughput,tokens/sec,std,205.30
0,1789573574726486528,1789573584726486528,Active Decode Throughput Per User,tokens/sec/user,avg,331.33
0,1789573574726486528,1789573584726486528,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1789573574726486528,1789573584726486528,Active Decode Throughput Per User,tokens/sec/user,max,3223.11
0,1789573574726486528,1789573584726486528,Active Decode Throughput Per User,tokens/sec/user,p50,340.84
0,1789573574726486528,1789573584726486528,Active Decode Throughput Per User,tokens/sec/user,p90,363.40
0,1789573574726486528,1789573584726486528,Active Decode Throughput Per User,tokens/sec/user,p95,370.12
0,1789573574726486528,1789573584726486528,Active Decode Throughput Per User,tokens/sec/user,p99,386.87
0,1789573574726486528,1789573584726486528,Active Decode Throughput Per User,tokens/sec/user,std,49.42
0,1789573574726486528,1789573584726486528,Active Prefill Throughput,tokens/sec,avg,16526.09
0,1789573574726486528,1789573584726486528,Active Prefill Throughput,tokens/sec,min,2341.32
0,1789573574726486528,1789573584726486528,Active Prefill Throughput,tokens/sec,max,19933.86
0,1789573574726486528,1789573584726486528,Active Prefill Throughput,tokens/sec,p50,19748.91
0,1789573574726486528,1789573584726486528,Active Prefill Throughput,tokens/sec,p90,19933.86
0,1789573574726486528,1789573584726486528,Active Prefill Throughput,tokens/sec,p95,19933.86
0,1789573574726486528,1789573584726486528,Active Prefill Throughput,tokens/sec,p99,19933.86
0,1789573574726486528,1789573584726486528,Active Prefill Throughput,tokens/sec,std,4896.17
0,1789573574726486528,1789573584726486528,Active Prefill Throughput Per User,tokens/sec/user,avg,4188.13
0,1789573574726486528,1789573584726486528,Active Prefill Throughput Per User,tokens/sec/user,min,2341.26
0,1789573574726486528,1789573584726486528,Active Prefill Throughput Per User,tokens/sec/user,max,4994.80
0,1789573574726486528,1789573584726486528,Active Prefill Throughput Per User,tokens/sec/user,p50,4937.23
0,1789573574726486528,1789573584726486528,Active Prefill Throughput Per User,tokens/sec/user,p90,4983.47
0,1789573574726486528,1789573584726486528,Active Prefill Throughput Per User,tokens/sec/user,p95,4983.47
0,1789573574726486528,1789573584726486528,Active Prefill Throughput Per User,tokens/sec/user,p99,4983.47
