metric,mean,std,min,max,cv,se,ci_low,ci_high,t_critical,unit
http_req_blocked_p5,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_waiting_p5,2943.74,1.23,2942.87,2944.61,0.0004,0.8725,2932.66,2954.83,12.7062,ms
input_sequence_length_p5,1036.00,0.00,1036.00,1036.00,0.0000,0.0000,1036.00,1036.00,12.7062,tokens
http_req_duration_max,15040.68,12.04,15032.16,15049.19,0.0008,8.5135,14932.50,15148.85,12.7062,ms
http_req_receiving_p75,10548.45,6.88,10543.59,10553.31,0.0007,4.8629,10486.66,10610.24,12.7062,ms
usage_reasoning_tokens_p25,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
decode_duration_std,1544.21,67.46,1496.50,1591.91,0.0437,47.7036,938.07,2150.34,12.7062,ms
effective_latency_max,15042.65,12.33,15033.93,15051.37,0.0008,8.7201,14931.85,15153.45,12.7062,ms
usage_prompt_cache_read_tokens_p5,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_data_received_min,115.83,1.02,115.11,116.55,0.0088,0.7212,106.67,124.99,12.7062,KB
http_req_chunks_received_p99,498.50,6.36,494.00,503.00,0.0128,4.5000,441.32,555.68,12.7062,count
http_req_blocked_sum,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_waiting_sum,6484270.68,66261.99,6437416.38,6531124.98,0.0102,46854.3017,5888930.33,7079611.03,12.7062,ms
usage_prompt_tokens_p95,1037.00,0.00,1037.00,1037.00,0.0000,0.0000,1037.00,1037.00,12.7062,tokens
http_req_chunks_sent_p1,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
time_to_first_token_p99,6726.01,1.00,6725.30,6726.72,0.0001,0.7077,6717.02,6735.00,12.7062,ms
usage_prompt_cache_read_tokens_sum,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_blocked_p95,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_waiting_p95,6608.51,1.93,6607.15,6609.87,0.0003,1.3618,6591.21,6625.82,12.7062,ms
input_sequence_length_p95,1037.00,0.00,1037.00,1037.00,0.0000,0.0000,1037.00,1037.00,12.7062,tokens
decode_duration_p75,10548.45,6.87,10543.59,10553.31,0.0007,4.8599,10486.70,10610.20,12.7062,ms
effective_decode_throughput_per_user_p99,110.23,27.71,90.63,129.82,0.2514,19.5949,-138.75,359.21,12.7062,tokens/sec/user
http_req_data_sent_p90,4.84,0.00,4.84,4.84,0.0000,0.0000,4.84,4.84,12.7062,KB
credit_to_start_latency_p50,2.21,0.03,2.18,2.23,0.0148,0.0230,1.91,2.50,12.7062,ms
time_to_first_token_p90,6599.01,0.21,6598.86,6599.15,0.0000,0.1485,6597.12,6600.89,12.7062,ms
usage_prompt_cache_read_tokens_p95,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
effective_decode_throughput_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens/sec
overall_usage_prompt_cache_read_pct_avg,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
effective_prefill_throughput_per_user_p95,232.47,0.14,232.37,232.57,0.0006,0.1018,231.18,233.76,12.7062,tokens/sec/user
http_req_dns_lookup_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
osl_mismatch_diff_pct_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
usage_completion_tokens_p99,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
time_to_first_output_token_p50,5978.43,16.53,5966.74,5990.12,0.0028,11.6894,5829.90,6126.96,12.7062,ms
output_sequence_length_avg,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
usage_total_tokens_p99,1549.00,0.00,1549.00,1549.00,0.0000,0.0000,1549.00,1549.00,12.7062,tokens
time_to_second_token_p25,135.69,1.22,134.83,136.55,0.0090,0.8628,124.73,146.65,12.7062,ms
usage_reasoning_tokens_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
output_sequence_length_p10,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
usage_completion_tokens_p90,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
effective_decode_concurrency_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,requests
effective_total_throughput_p90,14198.27,2.90,14196.22,14200.32,0.0002,2.0523,14172.19,14224.35,12.7062,tokens/sec
active_decode_throughput_per_user_std,31.46,0.78,30.90,32.01,0.0249,0.5533,24.43,38.49,12.7062,tokens/sec/user
http_req_duration_p25,14984.25,3.34,14981.89,14986.61,0.0002,2.3598,14954.27,15014.23,12.7062,ms
output_token_throughput_per_user_std,8.36,0.85,7.76,8.96,0.1014,0.5990,0.75,15.97,12.7062,tokens/sec/user
tokens_in_flight_p99,98519.31,6.76,98514.53,98524.09,0.0001,4.7796,98458.58,98580.04,12.7062,tokens
usage_total_tokens_max,1549.00,0.00,1549.00,1549.00,0.0000,0.0000,1549.00,1549.00,12.7062,tokens
active_prefill_throughput_per_user_p99,304.09,59.82,261.80,346.39,0.1967,42.2986,-233.36,841.55,12.7062,tokens/sec/user
http_req_sending_p75,0.14,0.00,0.14,0.14,0.0042,0.0004,0.14,0.15,12.7062,ms
http_req_connection_reused_p99,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,ratio
active_prefill_throughput_p95,14890.31,2.05,14888.86,14891.76,0.0001,1.4468,14871.93,14908.69,12.7062,tokens/sec
http_req_receiving_p25,8417.31,7.89,8411.73,8422.88,0.0009,5.5774,8346.44,8488.17,12.7062,ms
credit_to_start_latency_p10,1.16,0.11,1.08,1.24,0.0945,0.0776,0.18,2.15,12.7062,ms
request_count_avg,1296.00,21.21,1281.00,1311.00,0.0164,15.0000,1105.41,1486.59,12.7062,requests
osl_mismatch_diff_pct_max,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
http_req_connection_overhead_p99,3.49,0.04,3.46,3.52,0.0119,0.0293,3.12,3.86,12.7062,ms
tokens_in_flight_max,98961.36,1.67,98960.18,98962.54,0.0000,1.1790,98946.38,98976.34,12.7062,tokens
http_req_connecting_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
inter_token_latency_p90,23.57,0.00,23.57,23.57,0.0001,0.0015,23.55,23.59,12.7062,ms
http_req_data_received_std,1.94,0.13,1.85,2.03,0.0650,0.0891,0.81,3.07,12.7062,KB
http_req_data_sent_p1,4.20,0.07,4.15,4.25,0.0160,0.0475,3.60,4.81,12.7062,KB
time_to_first_output_token_avg,5003.85,30.78,4982.09,5025.61,0.0062,21.7612,4727.35,5280.35,12.7062,ms
output_token_count_p99,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
e2e_output_token_throughput_p5,34.10,0.00,34.09,34.10,0.0001,0.0023,34.07,34.12,12.7062,tokens/sec/user
time_to_first_output_token_p10,2948.75,1.50,2947.69,2949.81,0.0005,1.0583,2935.30,2962.20,12.7062,ms
http_req_total_p5,14968.02,1.94,14966.65,14969.39,0.0001,1.3716,14950.60,14985.45,12.7062,ms
active_decode_throughput_per_user_max,258.00,14.43,247.80,268.20,0.0559,10.2017,128.38,387.62,12.7062,tokens/sec/user
http_req_dns_lookup_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
request_latency_std,604.25,423.22,304.99,903.51,0.7004,299.2630,-3198.25,4406.75,12.7062,ms
prefill_throughput_per_user_p5,156.76,0.05,156.73,156.80,0.0003,0.0328,156.35,157.18,12.7062,tokens/sec/user
output_token_throughput_per_user_max,110.80,30.52,89.22,132.38,0.2754,21.5786,-163.38,384.99,12.7062,tokens/sec/user
total_osl_avg,663552.00,10861.16,655872.00,671232.00,0.0164,7680.0000,565968.35,761135.65,12.7062,tokens
inter_chunk_latency_p75,17.73,0.19,17.59,17.86,0.0107,0.1339,16.02,19.43,12.7062,ms
decode_duration_p25,8417.30,7.88,8411.73,8422.88,0.0009,5.5743,8346.48,8488.13,12.7062,ms
e2e_output_token_throughput_sum,44642.37,1153.57,43826.67,45458.07,0.0258,815.6977,34277.95,55006.79,12.7062,tokens/sec/user
output_token_count_max,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
