Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1789583162625148928,1789583172625148928,Active Decode Throughput,tokens/sec,avg,27.58
0,1789583162625148928,1789583172625148928,Active Decode Throughput,tokens/sec,min,0.76
0,1789583162625148928,1789583172625148928,Active Decode Throughput,tokens/sec,max,58.44
0,1789583162625148928,1789583172625148928,Active Decode Throughput,tokens/sec,p50,23.92
0,1789583162625148928,1789583172625148928,Active Decode Throughput,tokens/sec,p90,58.44
0,1789583162625148928,1789583172625148928,Active Decode Throughput,tokens/sec,p95,58.44
0,1789583162625148928,1789583172625148928,Active Decode Throughput,tokens/sec,p99,58.44
0,1789583162625148928,1789583172625148928,Active Decode Throughput,tokens/sec,std,18.82
0,1789583162625148928,1789583172625148928,Active Decode Throughput Per User,tokens/sec/user,avg,0.77
0,1789583162625148928,1789583172625148928,Active Decode Throughput Per User,tokens/sec/user,min,0.74
0,1789583162625148928,1789583172625148928,Active Decode Throughput Per User,tokens/sec/user,max,0.81
0,1789583162625148928,1789583172625148928,Active Decode Throughput Per User,tokens/sec/user,p50,0.77
0,1789583162625148928,1789583172625148928,Active Decode Throughput Per User,tokens/sec/user,p90,0.77
0,1789583162625148928,1789583172625148928,Active Decode Throughput Per User,tokens/sec/user,p95,0.77
0,1789583162625148928,1789583172625148928,Active Decode Throughput Per User,tokens/sec/user,p99,0.77
0,1789583162625148928,1789583172625148928,Active Decode Throughput Per User,tokens/sec/user,std,0.01
0,1789583162625148928,1789583172625148928,Active Prefill Throughput,tokens/sec,avg,12349.55
0,1789583162625148928,1789583172625148928,Active Prefill Throughput,tokens/sec,min,359.25
0,1789583162625148928,1789583172625148928,Active Prefill Throughput,tokens/sec,max,20553.93
0,1789583162625148928,1789583172625148928,Active Prefill Throughput,tokens/sec,p50,10864.54
0,1789583162625148928,1789583172625148928,Active Prefill Throughput,tokens/sec,p90,20553.93
0,1789583162625148928,1789583172625148928,Active Prefill Throughput,tokens/sec,p95,20553.93
0,1789583162625148928,1789583172625148928,Active Prefill Throughput,tokens/sec,p99,20553.93
0,1789583162625148928,1789583172625148928,Active Prefill Throughput,tokens/sec,std,5719.80
0,1789583162625148928,1789583172625148928,Active Prefill Throughput Per User,tokens/sec/user,avg,120.59
0,1789583162625148928,1789583172625148928,Active Prefill Throughput Per User,tokens/sec/user,min,86.08
0,1789583162625148928,1789583172625148928,Active Prefill Throughput Per User,tokens/sec/user,max,359.25
0,1789583162625148928,1789583172625148928,Active Prefill Throughput Per User,tokens/sec/user,p50,112.01
0,1789583162625148928,1789583172625148928,Active Prefill Throughput Per User,tokens/sec/user,p90,160.58
0,1789583162625148928,1789583172625148928,Active Prefill Throughput Per User,tokens/sec/user,p95,160.58
0,1789583162625148928,1789583172625148928,Active Prefill Throughput Per User,tokens/sec/user,p99,160.58
0,1789583162625148928,1789583172625148928,Active Prefill Throughput Per User,tokens/sec/user,std,26.87
0,1789583162625148928,1789583172625148928,Active Total Throughput,tokens/sec,avg,13084.18
0,1789583162625148928,1789583172625148928,Active Total Throughput,tokens/sec,min,359.25
0,1789583162625148928,1789583172625148928,Active Total Throughput,tokens/sec,max,20553.93
0,1789583162625148928,1789583172625148928,Active Total Throughput,tokens/sec,p50,11557.84
0,1789583162625148928,1789583172625148928,Active Total Throughput,tokens/sec,p90,20553.93
0,1789583162625148928,1789583172625148928,Active Total Throughput,tokens/sec,p95,20553.93
0,1789583162625148928,1789583172625148928,Active Total Throughput,tokens/sec,p99,20553.93
0,1789583162625148928,1789583172625148928,Active Total Throughput,tokens/sec,std,5109.07
0,1789583162625148928,1789583172625148928,Benchmark Duration,sec,avg,26.59
0,1789583162625148928,1789583172625148928,Decode Duration,ms,avg,18094.86
0,1789583162625148928,1789583172625148928,Decode Duration,ms,min,13259.02
0,1789583162625148928,1789583172625148928,Decode Duration,ms,max,25101.49
0,1789583162625148928,1789583172625148928,Decode Duration,ms,sum,2316142.57
0,1789583162625148928,1789583172625148928,Decode Duration,ms,p1,13259.09
0,1789583162625148928,1789583172625148928,Decode Duration,ms,p5,13355.23
0,1789583162625148928,1789583172625148928,Decode Duration,ms,p10,13521.62
0,1789583162625148928,1789583172625148928,Decode Duration,ms,p25,14412.90
0,1789583162625148928,1789583172625148928,Decode Duration,ms,p50,17526.03
0,1789583162625148928,1789583172625148928,Decode Duration,ms,p75,20538.11
0,1789583162625148928,1789583172625148928,Decode Duration,ms,p90,23534.14
0,1789583162625148928,1789583172625148928,Decode Duration,ms,p95,23537.94
0,1789583162625148928,1789583172625148928,Decode Duration,ms,p99,23539.46
0,1789583162625148928,1789583172625148928,Decode Duration,ms,std,3517.50
0,1789583162625148928,1789583172625148928,E2E Output Token Throughput,tokens/sec/user,avg,19.30
0,1789583162625148928,1789583172625148928,E2E Output Token Throughput,tokens/sec/user,min,19.25
0,1789583162625148928,1789583172625148928,E2E Output Token Throughput,tokens/sec/user,max,19.38
0,1789583162625148928,1789583172625148928,E2E Output Token Throughput,tokens/sec/user,sum,2470.07
0,1789583162625148928,1789583172625148928,E2E Output Token Throughput,tokens/sec/user,p1,19.25
0,1789583162625148928,1789583172625148928,E2E Output Token Throughput,tokens/sec/user,p5,19.26
0,1789583162625148928,1789583172625148928,E2E Output Token Throughput,tokens/sec/user,p10,19.26
0,1789583162625148928,1789583172625148928,E2E Output Token Throughput,tokens/sec/user,p25,19.26
0,1789583162625148928,1789583172625148928,E2E Output Token Throughput,tokens/sec/user,p50,19.27
0,1789583162625148928,1789583172625148928,E2E Output Token Throughput,tokens/sec/user,p75,19.33
0,1789583162625148928,1789583172625148928,E2E Output Token Throughput,tokens/sec/user,p90,19.38
0,1789583162625148928,1789583172625148928,E2E Output Token Throughput,tokens/sec/user,p95,19.38
0,1789583162625148928,1789583172625148928,E2E Output Token Throughput,tokens/sec/user,p99,19.38
0,1789583162625148928,1789583172625148928,E2E Output Token Throughput,tokens/sec/user,std,0.04
0,1789583162625148928,1789583172625148928,Effective Concurrency,requests,avg,127.96
0,1789583162625148928,1789583172625148928,Effective Concurrency,requests,min,1.00
0,1789583162625148928,1789583172625148928,Effective Concurrency,requests,max,128.00
0,1789583162625148928,1789583172625148928,Effective Concurrency,requests,p50,128.00
