metric,mean,std,min,max,cv,se,ci_low,ci_high,t_critical,unit
inter_chunk_latency_p50,11.00,0.05,10.97,11.04,0.0046,0.0354,10.55,11.45,12.7062,ms
http_req_data_sent_avg,4.64,0.00,4.64,4.64,0.0000,0.0000,4.64,4.64,12.7062,KB
http_req_dns_lookup_p99,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_data_sent_sum,16040.77,0.00,16040.77,16040.77,0.0000,0.0000,16040.77,16040.77,12.7062,KB
http_req_data_sent_p75,4.73,0.00,4.73,4.73,0.0000,0.0000,4.73,4.73,12.7062,KB
usage_prompt_cache_read_tokens_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
output_token_count_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_total_p10,5578.83,1.73,5577.61,5580.06,0.0003,1.2229,5563.29,5594.37,12.7062,ms
http_req_data_received_avg,87.35,0.45,87.03,87.67,0.0051,0.3178,83.31,91.39,12.7062,KB
http_req_data_received_sum,301882.67,1553.45,300784.22,302981.12,0.0051,1098.4531,287925.50,315839.84,12.7062,KB
http_req_data_received_p75,88.92,0.56,88.52,89.31,0.0063,0.3934,83.92,93.92,12.7062,KB
e2e_output_token_throughput_p25,91.24,0.03,91.22,91.26,0.0003,0.0210,90.97,91.51,12.7062,tokens/sec/user
active_decode_throughput_std,3694.45,14.49,3684.21,3704.70,0.0039,10.2436,3564.29,3824.61,12.7062,tokens/sec
time_to_first_output_token_p5,500.69,0.38,500.42,500.96,0.0008,0.2687,497.27,504.10,12.7062,ms
http_req_connection_reused_p10,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,ratio
input_sequence_length_avg,1036.11,0.00,1036.11,1036.11,0.0000,0.0000,1036.11,1036.11,12.7062,tokens
input_sequence_length_sum,3580799.00,0.00,3580799.00,3580799.00,0.0000,0.0000,3580799.00,3580799.00,12.7062,tokens
input_sequence_length_p75,1036.00,0.00,1036.00,1036.00,0.0000,0.0000,1036.00,1036.00,12.7062,tokens
usage_total_tokens_avg,1548.11,0.00,1548.11,1548.11,0.0000,0.0000,1548.11,1548.11,12.7062,tokens
usage_total_tokens_sum,5350271.00,0.00,5350271.00,5350271.00,0.0000,0.0000,5350271.00,5350271.00,12.7062,tokens
output_token_count_p1,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_duration_min,5536.38,13.81,5526.62,5546.15,0.0025,9.7641,5412.32,5660.45,12.7062,ms
usage_total_tokens_p75,1548.00,0.00,1548.00,1548.00,0.0000,0.0000,1548.00,1548.00,12.7062,tokens
osl_mismatch_count_avg,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,requests
usage_completion_tokens_p50,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
output_sequence_length_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
osl_mismatch_diff_pct_p10,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
http_req_connection_reused_max,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,ratio
effective_decode_concurrency_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,requests
http_req_connection_reused_p95,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,ratio
usage_reasoning_tokens_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
usage_prompt_tokens_p25,1036.00,0.00,1036.00,1036.00,0.0000,0.0000,1036.00,1036.00,12.7062,tokens
http_req_blocked_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
output_sequence_length_p1,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
credit_to_start_latency_min,0.45,0.01,0.44,0.45,0.0141,0.0045,0.39,0.51,12.7062,ms
osl_mismatch_diff_pct_p95,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
effective_latency_p10,5581.58,1.33,5580.65,5582.52,0.0002,0.9386,5569.66,5593.51,12.7062,ms
usage_prompt_cache_read_tokens_max,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
usage_prompt_cache_read_tokens_p95,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_chunks_sent_min,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
decode_duration_p10,4505.28,4.05,4502.41,4508.14,0.0009,2.8639,4468.89,4541.67,12.7062,ms
active_decode_throughput_per_user_p50,88.99,0.76,88.45,89.53,0.0086,0.5404,82.12,95.86,12.7062,tokens/sec/user
active_prefill_throughput_p99,90395.56,383.41,90124.44,90666.67,0.0042,271.1138,86950.73,93840.39,12.7062,tokens/sec
effective_latency_max,5696.93,48.13,5662.89,5730.96,0.0084,34.0353,5264.47,6129.39,12.7062,ms
http_req_connecting_p5,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
effective_prefill_throughput_per_user_max,3333.23,103.55,3260.01,3406.46,0.0311,73.2226,2402.85,4263.62,12.7062,tokens/sec/user
effective_latency_p95,5640.82,5.89,5636.65,5644.99,0.0010,4.1676,5587.87,5693.78,12.7062,ms
output_token_count_max,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
effective_decode_throughput_per_user_p90,174.80,0.86,174.19,175.40,0.0049,0.6055,167.10,182.49,12.7062,tokens/sec/user
effective_prefill_throughput_per_user_p95,1374.86,1.57,1373.75,1375.97,0.0011,1.1080,1360.78,1388.94,12.7062,tokens/sec/user
output_token_count_p95,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
decode_duration_p95,5100.34,4.01,5097.51,5103.17,0.0008,2.8320,5064.36,5136.32,12.7062,ms
effective_concurrency_std,1.31,0.03,1.29,1.34,0.0237,0.0220,1.03,1.59,12.7062,requests
prefill_throughput_per_user_p99,2972.97,1.57,2971.86,2974.08,0.0005,1.1114,2958.85,2987.09,12.7062,tokens/sec/user
http_req_data_sent_min,4.14,0.00,4.14,4.14,0.0000,0.0000,4.14,4.14,12.7062,KB
