Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1789586562788228352,1789586572788228352,Active Decode Throughput,tokens/sec,avg,923.52
0,1789586562788228352,1789586572788228352,Active Decode Throughput,tokens/sec,min,231.34
0,1789586562788228352,1789586572788228352,Active Decode Throughput,tokens/sec,max,3324.63
0,1789586562788228352,1789586572788228352,Active Decode Throughput,tokens/sec,p50,923.93
0,1789586562788228352,1789586572788228352,Active Decode Throughput,tokens/sec,p90,964.48
0,1789586562788228352,1789586572788228352,Active Decode Throughput,tokens/sec,p95,972.09
0,1789586562788228352,1789586572788228352,Active Decode Throughput,tokens/sec,p99,998.76
0,1789586562788228352,1789586572788228352,Active Decode Throughput,tokens/sec,std,79.50
0,1789586562788228352,1789586572788228352,Active Decode Throughput Per User,tokens/sec/user,avg,231.34
0,1789586562788228352,1789586572788228352,Active Decode Throughput Per User,tokens/sec/user,min,114.74
0,1789586562788228352,1789586572788228352,Active Decode Throughput Per User,tokens/sec/user,max,831.16
0,1789586562788228352,1789586572788228352,Active Decode Throughput Per User,tokens/sec/user,p50,231.03
0,1789586562788228352,1789586572788228352,Active Decode Throughput Per User,tokens/sec/user,p90,241.19
0,1789586562788228352,1789586572788228352,Active Decode Throughput Per User,tokens/sec/user,p95,243.08
0,1789586562788228352,1789586572788228352,Active Decode Throughput Per User,tokens/sec/user,p99,250.73
0,1789586562788228352,1789586572788228352,Active Decode Throughput Per User,tokens/sec/user,std,18.45
0,1789586562788228352,1789586572788228352,Active Prefill Throughput,tokens/sec,avg,17251.65
0,1789586562788228352,1789586572788228352,Active Prefill Throughput,tokens/sec,min,4028.03
0,1789586562788228352,1789586572788228352,Active Prefill Throughput,tokens/sec,max,18010.81
0,1789586562788228352,1789586572788228352,Active Prefill Throughput,tokens/sec,p50,17851.84
0,1789586562788228352,1789586572788228352,Active Prefill Throughput,tokens/sec,p90,18010.81
0,1789586562788228352,1789586572788228352,Active Prefill Throughput,tokens/sec,p95,18010.81
0,1789586562788228352,1789586572788228352,Active Prefill Throughput,tokens/sec,p99,18010.81
0,1789586562788228352,1789586572788228352,Active Prefill Throughput,tokens/sec,std,1728.53
0,1789586562788228352,1789586572788228352,Active Prefill Throughput Per User,tokens/sec/user,avg,4373.62
0,1789586562788228352,1789586572788228352,Active Prefill Throughput Per User,tokens/sec/user,min,4028.03
