metric,mean,std,min,max,cv,se,ci_low,ci_high,t_critical,unit
http_req_connecting_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_duration_p95,7204.34,1.00,7203.63,7205.04,0.0001,0.7039,7195.39,7213.28,12.7062,ms
time_to_first_token_p75,632.07,0.18,631.95,632.20,0.0003,0.1282,630.44,633.70,12.7062,ms
time_to_first_output_token_std,81.77,0.58,81.36,82.17,0.0071,0.4080,76.58,86.95,12.7062,ms
prefill_throughput_per_user_p99,3574.55,6.05,3570.27,3578.83,0.0017,4.2779,3520.19,3628.91,12.7062,tokens/sec/user
inter_chunk_latency_std,3.82,0.03,3.80,3.84,0.0078,0.0211,3.55,4.09,12.7062,ms
usage_prompt_tokens_p5,1036.00,0.00,1036.00,1036.00,0.0000,0.0000,1036.00,1036.00,12.7062,tokens
credit_to_start_latency_p25,1.05,0.01,1.04,1.06,0.0115,0.0085,0.94,1.16,12.7062,ms
output_sequence_length_sum,344064.00,0.00,344064.00,344064.00,0.0000,0.0000,344064.00,344064.00,12.7062,tokens
http_req_duration_std,4.45,0.08,4.39,4.51,0.0184,0.0578,3.71,5.18,12.7062,ms
effective_latency_p95,7205.68,0.92,7205.03,7206.33,0.0001,0.6527,7197.39,7213.97,12.7062,ms
active_prefill_throughput_per_user_p95,1774.57,4.08,1771.68,1777.45,0.0023,2.8844,1737.92,1811.22,12.7062,tokens/sec/user
time_to_second_token_sum,17705.97,231.87,17542.01,17869.92,0.0131,163.9534,15622.74,19789.19,12.7062,ms
inter_token_latency_p1,12.85,0.00,12.85,12.85,0.0001,0.0005,12.84,12.85,12.7062,ms
total_token_throughput_avg,3439.48,0.52,3439.11,3439.84,0.0002,0.3674,3434.81,3444.14,12.7062,tokens/sec
effective_total_throughput_avg,3437.26,0.52,3436.89,3437.62,0.0002,0.3671,3432.59,3441.92,12.7062,tokens/sec
request_latency_p95,7204.38,1.00,7203.68,7205.09,0.0001,0.7043,7195.44,7213.33,12.7062,ms
inter_token_latency_avg,12.89,0.00,12.89,12.90,0.0003,0.0024,12.86,12.92,12.7062,ms
usage_prompt_cache_read_tokens_max,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
request_latency_std,4.61,0.15,4.51,4.71,0.0316,0.1030,3.30,5.92,12.7062,ms
http_req_waiting_min,281.21,3.06,279.05,283.38,0.0109,2.1635,253.72,308.70,12.7062,ms
http_req_chunks_received_p95,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,count
http_req_data_received_sum,83721.83,14.48,83711.59,83732.07,0.0002,10.2393,83591.73,83851.93,12.7062,KB
e2e_output_token_throughput_p90,71.16,0.01,71.15,71.17,0.0002,0.0083,71.06,71.27,12.7062,tokens/sec/user
output_token_throughput_per_user_p75,77.82,0.02,77.81,77.83,0.0002,0.0119,77.67,77.97,12.7062,tokens/sec/user
input_sequence_length_p95,1037.00,0.00,1037.00,1037.00,0.0000,0.0000,1037.00,1037.00,12.7062,tokens
http_req_receiving_max,6910.28,2.12,6908.79,6911.78,0.0003,1.4960,6891.27,6929.29,12.7062,ms
prefill_throughput_per_user_p75,1649.11,1.15,1648.30,1649.92,0.0007,0.8134,1638.77,1659.45,12.7062,tokens/sec/user
http_req_connecting_p50,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
usage_reasoning_tokens_p95,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_duration_p1,7187.23,5.43,7183.39,7191.07,0.0008,3.8386,7138.45,7236.00,12.7062,ms
http_req_receiving_std,81.55,0.63,81.11,82.00,0.0077,0.4433,75.92,87.18,12.7062,ms
http_req_connection_overhead_p10,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
effective_concurrency_p95,16.00,0.00,16.00,16.00,0.0000,0.0000,16.00,16.00,12.7062,requests
effective_decode_throughput_per_user_avg,71.10,0.01,71.09,71.10,0.0002,0.0076,71.00,71.19,12.7062,tokens/sec/user
effective_decode_throughput_p99,1302.99,3.39,1300.59,1305.38,0.0026,2.3942,1272.56,1333.41,12.7062,tokens/sec
http_req_sending_sum,109.71,0.36,109.46,109.97,0.0033,0.2533,106.49,112.93,12.7062,ms
effective_latency_p1,7188.42,5.40,7184.60,7192.23,0.0008,3.8149,7139.94,7236.89,12.7062,ms
http_req_duration_avg,7198.31,1.06,7197.56,7199.06,0.0001,0.7507,7188.77,7207.84,12.7062,ms
http_req_connection_overhead_p5,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
reasoning_token_count_p10,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
output_sequence_length_p25,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
usage_completion_tokens_p95,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
effective_latency_avg,7199.62,1.09,7198.85,7200.39,0.0002,0.7685,7189.85,7209.38,12.7062,ms
request_latency_p1,7187.25,5.42,7183.41,7191.08,0.0008,3.8354,7138.51,7235.98,12.7062,ms
effective_prefill_throughput_per_user_p95,1649.40,1.11,1648.62,1650.18,0.0007,0.7820,1639.47,1659.34,12.7062,tokens/sec/user
active_prefill_throughput_per_user_avg,1736.89,2.25,1735.30,1738.49,0.0013,1.5942,1716.63,1757.15,12.7062,tokens/sec/user
time_to_second_token_p25,4.64,0.04,4.61,4.67,0.0088,0.0290,4.27,5.01,12.7062,ms
http_req_connection_overhead_p99,2.52,0.03,2.50,2.54,0.0135,0.0240,2.21,2.82,12.7062,ms
effective_prefill_throughput_per_user_std,503.68,0.60,503.26,504.10,0.0012,0.4220,498.32,509.04,12.7062,tokens/sec/user
http_req_chunks_received_p1,499.21,2.53,497.42,501.00,0.0051,1.7900,476.47,521.95,12.7062,count
request_latency_avg,7198.28,1.04,7197.54,7199.02,0.0001,0.7386,7188.89,7207.66,12.7062,ms
credit_to_start_latency_p95,1.53,0.01,1.52,1.53,0.0043,0.0046,1.47,1.59,12.7062,ms
http_req_data_sent_max,4.93,0.00,4.93,4.93,0.0000,0.0000,4.93,4.93,12.7062,KB
active_decode_throughput_per_user_p90,79.03,0.02,79.01,79.05,0.0003,0.0155,78.83,79.23,12.7062,tokens/sec/user
e2e_output_token_throughput_p50,71.13,0.01,71.12,71.14,0.0002,0.0097,71.01,71.26,12.7062,tokens/sec/user
input_sequence_length_p1,1036.00,0.00,1036.00,1036.00,0.0000,0.0000,1036.00,1036.00,12.7062,tokens
e2e_output_token_throughput_min,70.93,0.03,70.91,70.95,0.0004,0.0211,70.66,71.20,12.7062,tokens/sec/user
effective_prefill_throughput_p99,28284.91,10.35,28277.60,28292.23,0.0004,7.3187,28191.92,28377.91,12.7062,tokens/sec
http_req_chunks_received_avg,511.26,0.06,511.22,511.31,0.0001,0.0446,510.70,511.83,12.7062,count
reasoning_token_count_p99,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
input_sequence_length_avg,1036.15,0.00,1036.15,1036.15,0.0000,0.0000,1036.15,1036.15,12.7062,tokens
http_req_chunks_sent_p10,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
usage_reasoning_tokens_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
