Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1789595396300544256,1789595406300544256,Active Decode Throughput,tokens/sec,avg,3910.12
0,1789595396300544256,1789595406300544256,Active Decode Throughput,tokens/sec,min,8.85
0,1789595396300544256,1789595406300544256,Active Decode Throughput,tokens/sec,max,13851.60
0,1789595396300544256,1789595406300544256,Active Decode Throughput,tokens/sec,p50,4544.98
0,1789595396300544256,1789595406300544256,Active Decode Throughput,tokens/sec,p90,4900.52
0,1789595396300544256,1789595406300544256,Active Decode Throughput,tokens/sec,p95,5033.88
0,1789595396300544256,1789595406300544256,Active Decode Throughput,tokens/sec,p99,5594.33
0,1789595396300544256,1789595406300544256,Active Decode Throughput,tokens/sec,std,1387.00
0,1789595396300544256,1789595406300544256,Active Decode Throughput Per User,tokens/sec/user,avg,122.74
0,1789595396300544256,1789595406300544256,Active Decode Throughput Per User,tokens/sec/user,min,8.85
0,1789595396300544256,1789595406300544256,Active Decode Throughput Per User,tokens/sec/user,max,432.86
0,1789595396300544256,1789595406300544256,Active Decode Throughput Per User,tokens/sec/user,p50,142.03
0,1789595396300544256,1789595406300544256,Active Decode Throughput Per User,tokens/sec/user,p90,153.14
0,1789595396300544256,1789595406300544256,Active Decode Throughput Per User,tokens/sec/user,p95,157.31
0,1789595396300544256,1789595406300544256,Active Decode Throughput Per User,tokens/sec/user,p99,174.82
0,1789595396300544256,1789595406300544256,Active Decode Throughput Per User,tokens/sec/user,std,41.93
0,1789595396300544256,1789595406300544256,Active Prefill Throughput,tokens/sec,avg,66547.11
0,1789595396300544256,1789595406300544256,Active Prefill Throughput,tokens/sec,min,2150.66
0,1789595396300544256,1789595406300544256,Active Prefill Throughput,tokens/sec,max,81456.98
0,1789595396300544256,1789595406300544256,Active Prefill Throughput,tokens/sec,p50,77412.92
0,1789595396300544256,1789595406300544256,Active Prefill Throughput,tokens/sec,p90,81456.98
0,1789595396300544256,1789595406300544256,Active Prefill Throughput,tokens/sec,p95,81456.98
0,1789595396300544256,1789595406300544256,Active Prefill Throughput,tokens/sec,p99,81456.98
0,1789595396300544256,1789595406300544256,Active Prefill Throughput,tokens/sec,std,22120.58
0,1789595396300544256,1789595406300544256,Active Prefill Throughput Per User,tokens/sec/user,avg,2460.06
0,1789595396300544256,1789595406300544256,Active Prefill Throughput Per User,tokens/sec/user,min,2121.50
0,1789595396300544256,1789595406300544256,Active Prefill Throughput Per User,tokens/sec/user,max,3962.22
0,1789595396300544256,1789595406300544256,Active Prefill Throughput Per User,tokens/sec/user,p50,2488.81
0,1789595396300544256,1789595406300544256,Active Prefill Throughput Per User,tokens/sec/user,p90,2545.53
0,1789595396300544256,1789595406300544256,Active Prefill Throughput Per User,tokens/sec/user,p95,2545.53
0,1789595396300544256,1789595406300544256,Active Prefill Throughput Per User,tokens/sec/user,p99,3962.22
0,1789595396300544256,1789595406300544256,Active Prefill Throughput Per User,tokens/sec/user,std,282.76
0,1789595396300544256,1789595406300544256,Active Total Throughput,tokens/sec,avg,13546.56
0,1789595396300544256,1789595406300544256,Active Total Throughput,tokens/sec,min,2831.85
0,1789595396300544256,1789595406300544256,Active Total Throughput,tokens/sec,max,81456.98
0,1789595396300544256,1789595406300544256,Active Total Throughput,tokens/sec,p50,4133.43
0,1789595396300544256,1789595406300544256,Active Total Throughput,tokens/sec,p90,75566.30
0,1789595396300544256,1789595406300544256,Active Total Throughput,tokens/sec,p95,79321.05
0,1789595396300544256,1789595406300544256,Active Total Throughput,tokens/sec,p99,81456.98
