Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1789599016038947328,1789599026038947328,Active Decode Throughput,tokens/sec,avg,1149.92
0,1789599016038947328,1789599026038947328,Active Decode Throughput,tokens/sec,min,2.78
0,1789599016038947328,1789599026038947328,Active Decode Throughput,tokens/sec,max,2289.00
0,1789599016038947328,1789599026038947328,Active Decode Throughput,tokens/sec,p50,1251.85
0,1789599016038947328,1789599026038947328,Active Decode Throughput,tokens/sec,p90,1259.33
0,1789599016038947328,1789599026038947328,Active Decode Throughput,tokens/sec,p95,1269.04
0,1789599016038947328,1789599026038947328,Active Decode Throughput,tokens/sec,p99,1328.81
0,1789599016038947328,1789599026038947328,Active Decode Throughput,tokens/sec,std,335.12
0,1789599016038947328,1789599026038947328,Active Decode Throughput Per User,tokens/sec/user,avg,72.08
0,1789599016038947328,1789599026038947328,Active Decode Throughput Per User,tokens/sec/user,min,2.78
0,1789599016038947328,1789599026038947328,Active Decode Throughput Per User,tokens/sec/user,max,143.06
0,1789599016038947328,1789599026038947328,Active Decode Throughput Per User,tokens/sec/user,p50,78.24
0,1789599016038947328,1789599026038947328,Active Decode Throughput Per User,tokens/sec/user,p90,78.71
0,1789599016038947328,1789599026038947328,Active Decode Throughput Per User,tokens/sec/user,p95,79.32
0,1789599016038947328,1789599026038947328,Active Decode Throughput Per User,tokens/sec/user,p99,83.05
0,1789599016038947328,1789599026038947328,Active Decode Throughput Per User,tokens/sec/user,std,20.26
0,1789599016038947328,1789599026038947328,Active Prefill Throughput,tokens/sec,avg,25804.53
0,1789599016038947328,1789599026038947328,Active Prefill Throughput,tokens/sec,min,1600.70
0,1789599016038947328,1789599026038947328,Active Prefill Throughput,tokens/sec,max,28687.69
0,1789599016038947328,1789599026038947328,Active Prefill Throughput,tokens/sec,p50,25070.72
0,1789599016038947328,1789599026038947328,Active Prefill Throughput,tokens/sec,p90,28687.69
0,1789599016038947328,1789599026038947328,Active Prefill Throughput,tokens/sec,p95,28687.69
0,1789599016038947328,1789599026038947328,Active Prefill Throughput,tokens/sec,p99,28687.69
0,1789599016038947328,1789599026038947328,Active Prefill Throughput,tokens/sec,std,3003.28
0,1789599016038947328,1789599026038947328,Active Prefill Throughput Per User,tokens/sec/user,avg,1711.35
0,1789599016038947328,1789599026038947328,Active Prefill Throughput Per User,tokens/sec/user,min,1600.56
0,1789599016038947328,1789599026038947328,Active Prefill Throughput Per User,tokens/sec/user,max,3616.97
0,1789599016038947328,1789599026038947328,Active Prefill Throughput Per User,tokens/sec/user,p50,1671.38
0,1789599016038947328,1789599026038947328,Active Prefill Throughput Per User,tokens/sec/user,p90,1792.98
0,1789599016038947328,1789599026038947328,Active Prefill Throughput Per User,tokens/sec/user,p95,1792.98
0,1789599016038947328,1789599026038947328,Active Prefill Throughput Per User,tokens/sec/user,p99,3616.97
0,1789599016038947328,1789599026038947328,Active Prefill Throughput Per User,tokens/sec/user,std,215.33
0,1789599016038947328,1789599026038947328,Active Total Throughput,tokens/sec,avg,4488.77
0,1789599016038947328,1789599026038947328,Active Total Throughput,tokens/sec,min,1166.83
0,1789599016038947328,1789599026038947328,Active Total Throughput,tokens/sec,max,28687.69
0,1789599016038947328,1789599026038947328,Active Total Throughput,tokens/sec,p50,1240.74
0,1789599016038947328,1789599026038947328,Active Total Throughput,tokens/sec,p90,24092.48
0,1789599016038947328,1789599026038947328,Active Total Throughput,tokens/sec,p95,27508.27
0,1789599016038947328,1789599026038947328,Active Total Throughput,tokens/sec,p99,28687.69
0,1789599016038947328,1789599026038947328,Active Total Throughput,tokens/sec,std,8397.87
0,1789599016038947328,1789599026038947328,Benchmark Duration,sec,avg,14.45
0,1789599016038947328,1789599026038947328,Decode Duration,ms,avg,6592.39
0,1789599016038947328,1789599026038947328,Decode Duration,ms,min,6553.96
0,1789599016038947328,1789599026038947328,Decode Duration,ms,max,6918.99
0,1789599016038947328,1789599026038947328,Decode Duration,ms,sum,210956.57
0,1789599016038947328,1789599026038947328,Decode Duration,ms,p1,6558.62
0,1789599016038947328,1789599026038947328,Decode Duration,ms,p5,6569.02
0,1789599016038947328,1789599026038947328,Decode Duration,ms,p10,6569.05
0,1789599016038947328,1789599026038947328,Decode Duration,ms,p25,6569.07
0,1789599016038947328,1789599026038947328,Decode Duration,ms,p50,6573.49
0,1789599016038947328,1789599026038947328,Decode Duration,ms,p75,6573.51
0,1789599016038947328,1789599026038947328,Decode Duration,ms,p90,6573.55
0,1789599016038947328,1789599026038947328,Decode Duration,ms,p95,6726.73
0,1789599016038947328,1789599026038947328,Decode Duration,ms,p99,6917.43
0,1789599016038947328,1789599026038947328,Decode Duration,ms,std,83.76
0,1789599016038947328,1789599026038947328,E2E Output Token Throughput,tokens/sec/user,avg,70.90
0,1789599016038947328,1789599026038947328,E2E Output Token Throughput,tokens/sec/user,min,70.78
0,1789599016038947328,1789599026038947328,E2E Output Token Throughput,tokens/sec/user,max,71.19
0,1789599016038947328,1789599026038947328,E2E Output Token Throughput,tokens/sec/user,sum,2268.90
0,1789599016038947328,1789599026038947328,E2E Output Token Throughput,tokens/sec/user,p1,70.78
0,1789599016038947328,1789599026038947328,E2E Output Token Throughput,tokens/sec/user,p5,70.78
0,1789599016038947328,1789599026038947328,E2E Output Token Throughput,tokens/sec/user,p10,70.78
0,1789599016038947328,1789599026038947328,E2E Output Token Throughput,tokens/sec/user,p25,70.78
0,1789599016038947328,1789599026038947328,E2E Output Token Throughput,tokens/sec/user,p50,70.95
0,1789599016038947328,1789599026038947328,E2E Output Token Throughput,tokens/sec/user,p75,70.98
0,1789599016038947328,1789599026038947328,E2E Output Token Throughput,tokens/sec/user,p90,70.98
0,1789599016038947328,1789599026038947328,E2E Output Token Throughput,tokens/sec/user,p95,71.08
0,1789599016038947328,1789599026038947328,E2E Output Token Throughput,tokens/sec/user,p99,71.19
0,1789599016038947328,1789599026038947328,E2E Output Token Throughput,tokens/sec/user,std,0.12
0,1789599016038947328,1789599026038947328,Effective Concurrency,requests,avg,15.99
0,1789599016038947328,1789599026038947328,Effective Concurrency,requests,min,1.00
0,1789599016038947328,1789599026038947328,Effective Concurrency,requests,max,16.00
0,1789599016038947328,1789599026038947328,Effective Concurrency,requests,p50,16.00
0,1789599016038947328,1789599026038947328,Effective Concurrency,requests,p90,16.00
0,1789599016038947328,1789599026038947328,Effective Concurrency,requests,p95,16.00
0,1789599016038947328,1789599026038947328,Effective Concurrency,requests,p99,16.00
0,1789599016038947328,1789599026038947328,Effective Concurrency,requests,std,0.33
0,1789599016038947328,1789599026038947328,Effective Decode Concurrency,requests,avg,13.98
0,1789599016038947328,1789599026038947328,Effective Decode Concurrency,requests,min,0.00
0,1789599016038947328,1789599026038947328,Effective Decode Concurrency,requests,max,16.00
0,1789599016038947328,1789599026038947328,Effective Decode Concurrency,requests,p50,16.00
0,1789599016038947328,1789599026038947328,Effective Decode Concurrency,requests,p90,16.00
0,1789599016038947328,1789599026038947328,Effective Decode Concurrency,requests,p95,16.00
0,1789599016038947328,1789599026038947328,Effective Decode Concurrency,requests,p99,16.00
0,1789599016038947328,1789599026038947328,Effective Decode Concurrency,requests,std,5.21
0,1789599016038947328,1789599026038947328,Effective Decode Throughput,tokens/sec,avg,1082.25
0,1789599016038947328,1789599026038947328,Effective Decode Throughput,tokens/sec,min,0.00
0,1789599016038947328,1789599026038947328,Effective Decode Throughput,tokens/sec,max,2289.00
0,1789599016038947328,1789599026038947328,Effective Decode Throughput,tokens/sec,p50,1251.53
0,1789599016038947328,1789599026038947328,Effective Decode Throughput,tokens/sec,p90,1258.89
0,1789599016038947328,1789599026038947328,Effective Decode Throughput,tokens/sec,p95,1268.51
0,1789599016038947328,1789599026038947328,Effective Decode Throughput,tokens/sec,p99,1328.81
0,1789599016038947328,1789599026038947328,Effective Decode Throughput,tokens/sec,std,423.00
0,1789599016038947328,1789599026038947328,Effective Decode Throughput Per User,tokens/sec/user,avg,67.84
0,1789599016038947328,1789599026038947328,Effective Decode Throughput Per User,tokens/sec/user,min,0.00
0,1789599016038947328,1789599026038947328,Effective Decode Throughput Per User,tokens/sec/user,max,143.06
0,1789599016038947328,1789599026038947328,Effective Decode Throughput Per User,tokens/sec/user,p50,78.22
0,1789599016038947328,1789599026038947328,Effective Decode Throughput Per User,tokens/sec/user,p90,78.68
0,1789599016038947328,1789599026038947328,Effective Decode Throughput Per User,tokens/sec/user,p95,79.28
0,1789599016038947328,1789599026038947328,Effective Decode Throughput Per User,tokens/sec/user,p99,83.05
0,1789599016038947328,1789599026038947328,Effective Decode Throughput Per User,tokens/sec/user,std,25.96
0,1789599016038947328,1789599026038947328,Effective Prefill Concurrency,requests,avg,2.01
0,1789599016038947328,1789599026038947328,Effective Prefill Concurrency,requests,min,0.00
0,1789599016038947328,1789599026038947328,Effective Prefill Concurrency,requests,max,16.00
0,1789599016038947328,1789599026038947328,Effective Prefill Concurrency,requests,p50,0.00
0,1789599016038947328,1789599026038947328,Effective Prefill Concurrency,requests,p90,15.00
0,1789599016038947328,1789599026038947328,Effective Prefill Concurrency,requests,p95,16.00
0,1789599016038947328,1789599026038947328,Effective Prefill Concurrency,requests,p99,16.00
0,1789599016038947328,1789599026038947328,Effective Prefill Concurrency,requests,std,5.19
0,1789599016038947328,1789599026038947328,Effective Prefill Throughput,tokens/sec,avg,3405.40
