metric,mean,std,min,max,cv,se,ci_low,ci_high,t_critical,unit
http_req_connecting_p75,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
request_latency_p1,4652.92,1.64,4651.76,4654.08,0.0004,1.1577,4638.21,4667.63,12.7062,ms
http_req_connecting_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
time_to_second_token_std,0.45,0.18,0.32,0.58,0.4079,0.1298,-1.20,2.10,12.7062,ms
http_req_data_sent_min,4.18,0.00,4.18,4.18,0.0000,0.0000,4.18,4.18,12.7062,KB
time_to_first_token_max,151.06,0.72,150.55,151.57,0.0048,0.5112,144.56,157.56,12.7062,ms
http_req_data_sent_p75,4.59,0.00,4.59,4.59,0.0000,0.0000,4.59,4.59,12.7062,KB
total_usage_prompt_cache_read_tokens_avg,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
inter_token_latency_max,8.97,0.00,8.97,8.97,0.0001,0.0003,8.97,8.98,12.7062,ms
usage_reasoning_tokens_std,116.81,15.05,106.17,127.45,0.1288,10.6410,-18.40,252.01,12.7062,tokens
prefill_throughput_per_user_sum,849945.90,1132.49,849145.11,850746.69,0.0013,800.7913,839770.88,860120.92,12.7062,tokens/sec/user
http_req_data_received_sum,8215.48,1.59,8214.36,8216.60,0.0002,1.1240,8201.20,8229.76,12.7062,KB
effective_prefill_concurrency_avg,0.02,0.00,0.02,0.02,0.0011,0.0000,0.02,0.02,12.7062,requests
active_total_throughput_p99,13968.10,245.53,13794.48,14141.71,0.0176,173.6162,11762.10,16174.10,12.7062,tokens/sec
reasoning_token_count_p99,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_dns_lookup_p99,0.29,0.18,0.16,0.41,0.6206,0.1251,-1.30,1.88,12.7062,ms
usage_prompt_tokens_avg,1064.18,0.00,1064.18,1064.18,0.0000,0.0000,1064.18,1064.18,12.7062,tokens
effective_concurrency_std,0.03,0.00,0.03,0.03,0.0004,0.0000,0.03,0.03,12.7062,requests
http_req_chunks_received_sum,33051.50,6.36,33047.00,33056.00,0.0002,4.5000,32994.32,33108.68,12.7062,count
output_token_count_max,433.50,13.44,424.00,443.00,0.0310,9.5000,312.79,554.21,12.7062,tokens
output_sequence_length_p5,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_connection_overhead_p50,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
usage_prompt_tokens_p25,1064.00,0.00,1064.00,1064.00,0.0000,0.0000,1064.00,1064.00,12.7062,tokens
usage_total_tokens_max,1578.00,0.00,1578.00,1578.00,0.0000,0.0000,1578.00,1578.00,12.7062,tokens
prefill_throughput_per_user_p10,7121.32,6.16,7116.96,7125.68,0.0009,4.3583,7065.94,7176.70,12.7062,tokens/sec/user
osl_mismatch_diff_pct_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
http_req_data_sent_std,0.15,0.00,0.15,0.15,0.0000,0.0000,0.15,0.15,12.7062,KB
output_token_throughput_per_user_p50,111.51,0.00,111.50,111.51,0.0000,0.0023,111.48,111.53,12.7062,tokens/sec/user
effective_decode_throughput_max,278.29,0.07,278.25,278.34,0.0002,0.0462,277.71,278.88,12.7062,tokens/sec
effective_decode_concurrency_p50,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,requests
active_decode_throughput_p90,114.30,0.00,114.30,114.31,0.0000,0.0024,114.27,114.33,12.7062,tokens/sec
nvidia_output_tokens_per_joule_avg,0.17,0.00,0.17,0.17,0.0004,0.0001,0.17,0.17,12.7062,tokens/J
http_req_connection_reused_p5,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,ratio
effective_latency_p50,4659.91,1.12,4659.12,4660.71,0.0002,0.7940,4649.83,4670.00,12.7062,ms
decode_duration_p95,4583.77,0.39,4583.50,4584.05,0.0001,0.2756,4580.27,4587.27,12.7062,ms
prefill_throughput_per_user_p75,14478.27,181.63,14349.84,14606.70,0.0125,128.4311,12846.39,16110.14,12.7062,tokens/sec/user
prefill_throughput_per_user_min,7053.58,38.44,7026.40,7080.76,0.0054,27.1795,6708.23,7398.93,12.7062,tokens/sec/user
http_req_data_received_p75,126.84,0.01,126.84,126.85,0.0001,0.0078,126.75,126.94,12.7062,KB
http_req_data_received_min,122.06,1.66,120.89,123.23,0.0136,1.1738,107.15,136.98,12.7062,KB
active_prefill_throughput_p90,14567.73,224.26,14409.16,14726.31,0.0154,158.5741,12552.86,16582.61,12.7062,tokens/sec
credit_to_start_latency_p90,1.44,0.02,1.43,1.46,0.0136,0.0138,1.27,1.62,12.7062,ms
usage_prompt_cache_read_tokens_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
usage_completion_tokens_p90,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_sending_p95,0.10,0.01,0.10,0.11,0.0711,0.0051,0.04,0.17,12.7062,ms
