Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1789604533705082880,1789604543705082880,Active Decode Throughput,tokens/sec,avg,10.68
0,1789604533705082880,1789604543705082880,Active Decode Throughput,tokens/sec,min,0.59
0,1789604533705082880,1789604543705082880,Active Decode Throughput,tokens/sec,max,35.83
0,1789604533705082880,1789604543705082880,Active Decode Throughput,tokens/sec,p50,10.66
0,1789604533705082880,1789604543705082880,Active Decode Throughput,tokens/sec,p90,25.29
0,1789604533705082880,1789604543705082880,Active Decode Throughput,tokens/sec,p95,25.29
0,1789604533705082880,1789604543705082880,Active Decode Throughput,tokens/sec,p99,35.83
0,1789604533705082880,1789604543705082880,Active Decode Throughput,tokens/sec,std,9.04
0,1789604533705082880,1789604543705082880,Active Decode Throughput Per User,tokens/sec/user,avg,0.43
0,1789604533705082880,1789604543705082880,Active Decode Throughput Per User,tokens/sec/user,min,0.26
0,1789604533705082880,1789604543705082880,Active Decode Throughput Per User,tokens/sec/user,max,0.59
0,1789604533705082880,1789604543705082880,Active Decode Throughput Per User,tokens/sec/user,p50,0.34
0,1789604533705082880,1789604543705082880,Active Decode Throughput Per User,tokens/sec/user,p90,0.59
0,1789604533705082880,1789604543705082880,Active Decode Throughput Per User,tokens/sec/user,p95,0.59
0,1789604533705082880,1789604543705082880,Active Decode Throughput Per User,tokens/sec/user,p99,0.59
0,1789604533705082880,1789604543705082880,Active Decode Throughput Per User,tokens/sec/user,std,0.11
0,1789604533705082880,1789604543705082880,Active Prefill Throughput,tokens/sec,avg,15621.35
0,1789604533705082880,1789604543705082880,Active Prefill Throughput,tokens/sec,min,212.42
0,1789604533705082880,1789604543705082880,Active Prefill Throughput,tokens/sec,max,26516.36
0,1789604533705082880,1789604543705082880,Active Prefill Throughput,tokens/sec,p50,15966.86
0,1789604533705082880,1789604543705082880,Active Prefill Throughput,tokens/sec,p90,23635.42
0,1789604533705082880,1789604543705082880,Active Prefill Throughput,tokens/sec,p95,23635.42
0,1789604533705082880,1789604543705082880,Active Prefill Throughput,tokens/sec,p99,26516.36
0,1789604533705082880,1789604543705082880,Active Prefill Throughput,tokens/sec,std,4799.26
0,1789604533705082880,1789604543705082880,Active Prefill Throughput Per User,tokens/sec/user,avg,66.35
0,1789604533705082880,1789604543705082880,Active Prefill Throughput Per User,tokens/sec/user,min,46.85
0,1789604533705082880,1789604543705082880,Active Prefill Throughput Per User,tokens/sec/user,max,294.34
0,1789604533705082880,1789604543705082880,Active Prefill Throughput Per User,tokens/sec/user,p50,66.53
0,1789604533705082880,1789604543705082880,Active Prefill Throughput Per User,tokens/sec/user,p90,92.69
0,1789604533705082880,1789604543705082880,Active Prefill Throughput Per User,tokens/sec/user,p95,92.69
0,1789604533705082880,1789604543705082880,Active Prefill Throughput Per User,tokens/sec/user,p99,103.58
0,1789604533705082880,1789604543705082880,Active Prefill Throughput Per User,tokens/sec/user,std,16.04
0,1789604533705082880,1789604543705082880,Active Total Throughput,tokens/sec,avg,15880.04
0,1789604533705082880,1789604543705082880,Active Total Throughput,tokens/sec,min,212.42
0,1789604533705082880,1789604543705082880,Active Total Throughput,tokens/sec,max,26516.36
0,1789604533705082880,1789604543705082880,Active Total Throughput,tokens/sec,p50,16135.37
0,1789604533705082880,1789604543705082880,Active Total Throughput,tokens/sec,p90,23645.63
0,1789604533705082880,1789604543705082880,Active Total Throughput,tokens/sec,p95,23645.63
0,1789604533705082880,1789604543705082880,Active Total Throughput,tokens/sec,p99,26516.36
0,1789604533705082880,1789604543705082880,Active Total Throughput,tokens/sec,std,4632.33
0,1789604533705082880,1789604543705082880,Benchmark Duration,sec,avg,88.00
0,1789604533705082880,1789604543705082880,Decode Duration,ms,avg,45948.36
0,1789604533705082880,1789604543705082880,Decode Duration,ms,min,41302.41
0,1789604533705082880,1789604543705082880,Decode Duration,ms,max,51740.48
0,1789604533705082880,1789604543705082880,Decode Duration,ms,sum,11762779.29
0,1789604533705082880,1789604543705082880,Decode Duration,ms,p1,41682.75
