metric,mean,std,min,max,cv,se,ci_low,ci_high,t_critical,unit
e2e_output_token_throughput_p25,40.07,0.23,39.91,40.24,0.0058,0.1632,38.00,42.15,12.7062,tokens/sec/user
http_req_data_sent_sum,7452.01,25.63,7433.89,7470.13,0.0034,18.1230,7221.73,7682.28,12.7062,KB
credit_to_start_latency_sum,3420.50,41.00,3391.51,3449.49,0.0120,28.9924,3052.12,3788.88,12.7062,ms
inter_token_latency_p99,22.35,0.18,22.22,22.48,0.0082,0.1293,20.71,24.00,12.7062,ms
time_to_first_output_token_max,17087.79,225.63,16928.25,17247.34,0.0132,159.5477,15060.55,19115.04,12.7062,ms
active_decode_throughput_std,2010.99,10.08,2003.86,2018.12,0.0050,7.1280,1920.42,2101.56,12.7062,tokens/sec
http_req_chunks_received_std,6.87,0.03,6.85,6.89,0.0039,0.0190,6.63,7.11,12.7062,count
total_usage_prompt_tokens_avg,1715346.50,6019.60,1711090.00,1719603.00,0.0035,4256.5000,1661262.54,1769430.46,12.7062,tokens
input_sequence_length_std,0.37,0.00,0.37,0.37,0.0004,0.0001,0.37,0.37,12.7062,tokens
http_req_receiving_p99,11424.51,96.36,11356.38,11492.65,0.0084,68.1359,10558.76,12290.26,12.7062,ms
decode_duration_min,6176.66,102.16,6104.42,6248.90,0.0165,72.2381,5258.79,7094.53,12.7062,ms
http_req_waiting_min,292.87,0.23,292.71,293.03,0.0008,0.1594,290.84,294.89,12.7062,ms
http_req_connecting_p25,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
effective_latency_min,7576.81,833.01,6987.78,8165.84,0.1099,589.0268,92.51,15061.10,12.7062,ms
credit_to_start_latency_p90,4.48,0.06,4.44,4.53,0.0141,0.0447,3.92,5.05,12.7062,ms
inter_chunk_latency_p25,13.01,0.01,13.00,13.02,0.0010,0.0089,12.90,13.12,12.7062,ms
total_usage_prompt_cache_read_tokens_avg,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_blocked_p75,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_data_sent_std,0.15,0.00,0.15,0.15,0.0001,0.0000,0.15,0.15,12.7062,KB
time_to_first_token_sum,2967867.83,1137.65,2967063.39,2968672.28,0.0004,804.4421,2957646.43,2978089.24,12.7062,ms
http_req_chunks_sent_p1,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
e2e_output_token_throughput_p50,44.63,0.33,44.39,44.87,0.0075,0.2368,41.62,47.64,12.7062,tokens/sec/user
total_usage_reasoning_tokens_avg,313173.00,2561.14,311362.00,314984.00,0.0082,1811.0000,290162.06,336183.94,12.7062,tokens
credit_to_start_latency_avg,2.12,0.02,2.11,2.13,0.0085,0.0127,1.96,2.28,12.7062,ms
effective_decode_throughput_avg,2677.91,0.18,2677.78,2678.04,0.0001,0.1308,2676.25,2679.57,12.7062,tokens/sec
http_req_connection_overhead_p10,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
tokens_in_flight_p99,95954.00,55.28,95914.91,95993.09,0.0006,39.0886,95457.33,96450.67,12.7062,tokens
time_to_first_token_p90,6215.10,4.79,6211.71,6218.49,0.0008,3.3892,6172.04,6258.17,12.7062,ms
