Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1789608641052129280,1789608651052129280,Active Decode Throughput,tokens/sec,avg,2984.80
0,1789608641052129280,1789608651052129280,Active Decode Throughput,tokens/sec,min,4.16
0,1789608641052129280,1789608651052129280,Active Decode Throughput,tokens/sec,max,8737.89
0,1789608641052129280,1789608651052129280,Active Decode Throughput,tokens/sec,p50,4199.51
0,1789608641052129280,1789608651052129280,Active Decode Throughput,tokens/sec,p90,4418.33
0,1789608641052129280,1789608651052129280,Active Decode Throughput,tokens/sec,p95,4498.66
0,1789608641052129280,1789608651052129280,Active Decode Throughput,tokens/sec,p99,4912.74
0,1789608641052129280,1789608651052129280,Active Decode Throughput,tokens/sec,std,1910.39
0,1789608641052129280,1789608651052129280,Active Decode Throughput Per User,tokens/sec/user,avg,53.80
0,1789608641052129280,1789608651052129280,Active Decode Throughput Per User,tokens/sec/user,min,3.24
0,1789608641052129280,1789608651052129280,Active Decode Throughput Per User,tokens/sec/user,max,156.03
0,1789608641052129280,1789608651052129280,Active Decode Throughput Per User,tokens/sec/user,p50,74.99
0,1789608641052129280,1789608651052129280,Active Decode Throughput Per User,tokens/sec/user,p90,78.90
0,1789608641052129280,1789608651052129280,Active Decode Throughput Per User,tokens/sec/user,p95,80.33
0,1789608641052129280,1789608651052129280,Active Decode Throughput Per User,tokens/sec/user,p99,87.73
0,1789608641052129280,1789608651052129280,Active Decode Throughput Per User,tokens/sec/user,std,33.41
0,1789608641052129280,1789608651052129280,Active Prefill Throughput,tokens/sec,avg,11765.32
0,1789608641052129280,1789608651052129280,Active Prefill Throughput,tokens/sec,min,971.33
0,1789608641052129280,1789608651052129280,Active Prefill Throughput,tokens/sec,max,81221.60
0,1789608641052129280,1789608651052129280,Active Prefill Throughput,tokens/sec,p50,971.33
0,1789608641052129280,1789608651052129280,Active Prefill Throughput,tokens/sec,p90,48105.11
0,1789608641052129280,1789608651052129280,Active Prefill Throughput,tokens/sec,p95,77635.45
0,1789608641052129280,1789608651052129280,Active Prefill Throughput,tokens/sec,p99,81221.60
0,1789608641052129280,1789608651052129280,Active Prefill Throughput,tokens/sec,std,21404.40
0,1789608641052129280,1789608651052129280,Active Prefill Throughput Per User,tokens/sec/user,avg,417.52
0,1789608641052129280,1789608651052129280,Active Prefill Throughput Per User,tokens/sec/user,min,121.42
0,1789608641052129280,1789608651052129280,Active Prefill Throughput Per User,tokens/sec/user,max,1965.58
0,1789608641052129280,1789608651052129280,Active Prefill Throughput Per User,tokens/sec/user,p50,121.42
