Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1789612005686288896,1789612015686288896,Active Decode Throughput,tokens/sec,avg,150.02
0,1789612005686288896,1789612015686288896,Active Decode Throughput,tokens/sec,min,0.00
0,1789612005686288896,1789612015686288896,Active Decode Throughput,tokens/sec,max,339.79
0,1789612005686288896,1789612015686288896,Active Decode Throughput,tokens/sec,p50,150.70
0,1789612005686288896,1789612015686288896,Active Decode Throughput,tokens/sec,p90,154.94
0,1789612005686288896,1789612015686288896,Active Decode Throughput,tokens/sec,p95,155.61
0,1789612005686288896,1789612015686288896,Active Decode Throughput,tokens/sec,p99,156.24
0,1789612005686288896,1789612015686288896,Active Decode Throughput,tokens/sec,std,11.64
0,1789612005686288896,1789612015686288896,Active Decode Throughput Per User,tokens/sec/user,avg,150.02
0,1789612005686288896,1789612015686288896,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1789612005686288896,1789612015686288896,Active Decode Throughput Per User,tokens/sec/user,max,339.79
0,1789612005686288896,1789612015686288896,Active Decode Throughput Per User,tokens/sec/user,p50,150.70
0,1789612005686288896,1789612015686288896,Active Decode Throughput Per User,tokens/sec/user,p90,154.94
0,1789612005686288896,1789612015686288896,Active Decode Throughput Per User,tokens/sec/user,p95,155.61
0,1789612005686288896,1789612015686288896,Active Decode Throughput Per User,tokens/sec/user,p99,156.24
0,1789612005686288896,1789612015686288896,Active Decode Throughput Per User,tokens/sec/user,std,11.64
0,1789612005686288896,1789612015686288896,Active Prefill Throughput,tokens/sec,avg,10515.15
0,1789612005686288896,1789612015686288896,Active Prefill Throughput,tokens/sec,min,10124.97
0,1789612005686288896,1789612015686288896,Active Prefill Throughput,tokens/sec,max,11200.78
0,1789612005686288896,1789612015686288896,Active Prefill Throughput,tokens/sec,p50,10282.00
0,1789612005686288896,1789612015686288896,Active Prefill Throughput,tokens/sec,p90,11200.78
0,1789612005686288896,1789612015686288896,Active Prefill Throughput,tokens/sec,p95,11200.78
0,1789612005686288896,1789612015686288896,Active Prefill Throughput,tokens/sec,p99,11200.78
0,1789612005686288896,1789612015686288896,Active Prefill Throughput,tokens/sec,std,467.26
0,1789612005686288896,1789612015686288896,Active Prefill Throughput Per User,tokens/sec/user,avg,10515.15
0,1789612005686288896,1789612015686288896,Active Prefill Throughput Per User,tokens/sec/user,min,10124.97
0,1789612005686288896,1789612015686288896,Active Prefill Throughput Per User,tokens/sec/user,max,11200.78
0,1789612005686288896,1789612015686288896,Active Prefill Throughput Per User,tokens/sec/user,p50,10282.00
0,1789612005686288896,1789612015686288896,Active Prefill Throughput Per User,tokens/sec/user,p90,11200.78
0,1789612005686288896,1789612015686288896,Active Prefill Throughput Per User,tokens/sec/user,p95,11200.78
0,1789612005686288896,1789612015686288896,Active Prefill Throughput Per User,tokens/sec/user,p99,11200.78
0,1789612005686288896,1789612015686288896,Active Prefill Throughput Per User,tokens/sec/user,std,467.26
0,1789612005686288896,1789612015686288896,Active Total Throughput,tokens/sec,avg,464.93
0,1789612005686288896,1789612015686288896,Active Total Throughput,tokens/sec,min,150.04
0,1789612005686288896,1789612015686288896,Active Total Throughput,tokens/sec,max,11200.78
0,1789612005686288896,1789612015686288896,Active Total Throughput,tokens/sec,p50,150.05
0,1789612005686288896,1789612015686288896,Active Total Throughput,tokens/sec,p90,150.06
0,1789612005686288896,1789612015686288896,Active Total Throughput,tokens/sec,p95,150.06
0,1789612005686288896,1789612015686288896,Active Total Throughput,tokens/sec,p99,10282.00
0,1789612005686288896,1789612015686288896,Active Total Throughput,tokens/sec,std,1780.79
0,1789612005686288896,1789612015686288896,Benchmark Duration,sec,avg,10.53
0,1789612005686288896,1789612015686288896,Decode Duration,ms,avg,3405.53
0,1789612005686288896,1789612015686288896,Decode Duration,ms,min,3405.28
0,1789612005686288896,1789612015686288896,Decode Duration,ms,max,3405.79
0,1789612005686288896,1789612015686288896,Decode Duration,ms,sum,10216.60
0,1789612005686288896,1789612015686288896,Decode Duration,ms,p1,3405.29
0,1789612005686288896,1789612015686288896,Decode Duration,ms,p5,3405.31
0,1789612005686288896,1789612015686288896,Decode Duration,ms,p10,3405.33
0,1789612005686288896,1789612015686288896,Decode Duration,ms,p25,3405.40
0,1789612005686288896,1789612015686288896,Decode Duration,ms,p50,3405.53
0,1789612005686288896,1789612015686288896,Decode Duration,ms,p75,3405.66
0,1789612005686288896,1789612015686288896,Decode Duration,ms,p90,3405.74
0,1789612005686288896,1789612015686288896,Decode Duration,ms,p95,3405.77
0,1789612005686288896,1789612015686288896,Decode Duration,ms,p99,3405.79
0,1789612005686288896,1789612015686288896,Decode Duration,ms,std,0.21
0,1789612005686288896,1789612015686288896,E2E Output Token Throughput,tokens/sec/user,avg,146.01
0,1789612005686288896,1789612015686288896,E2E Output Token Throughput,tokens/sec/user,min,145.85
0,1789612005686288896,1789612015686288896,E2E Output Token Throughput,tokens/sec/user,max,146.25
0,1789612005686288896,1789612015686288896,E2E Output Token Throughput,tokens/sec/user,sum,438.02
0,1789612005686288896,1789612015686288896,E2E Output Token Throughput,tokens/sec/user,p1,145.85
0,1789612005686288896,1789612015686288896,E2E Output Token Throughput,tokens/sec/user,p5,145.86
0,1789612005686288896,1789612015686288896,E2E Output Token Throughput,tokens/sec/user,p10,145.86
0,1789612005686288896,1789612015686288896,E2E Output Token Throughput,tokens/sec/user,p25,145.88
0,1789612005686288896,1789612015686288896,E2E Output Token Throughput,tokens/sec/user,p50,145.91
0,1789612005686288896,1789612015686288896,E2E Output Token Throughput,tokens/sec/user,p75,146.08
0,1789612005686288896,1789612015686288896,E2E Output Token Throughput,tokens/sec/user,p90,146.18
0,1789612005686288896,1789612015686288896,E2E Output Token Throughput,tokens/sec/user,p95,146.22
0,1789612005686288896,1789612015686288896,E2E Output Token Throughput,tokens/sec/user,p99,146.25
0,1789612005686288896,1789612015686288896,E2E Output Token Throughput,tokens/sec/user,std,0.18
0,1789612005686288896,1789612015686288896,Effective Concurrency,requests,avg,1.00
0,1789612005686288896,1789612015686288896,Effective Concurrency,requests,min,0.00
0,1789612005686288896,1789612015686288896,Effective Concurrency,requests,max,1.00
0,1789612005686288896,1789612015686288896,Effective Concurrency,requests,p50,1.00
0,1789612005686288896,1789612015686288896,Effective Concurrency,requests,p90,1.00
0,1789612005686288896,1789612015686288896,Effective Concurrency,requests,p95,1.00
0,1789612005686288896,1789612015686288896,Effective Concurrency,requests,p99,1.00
0,1789612005686288896,1789612015686288896,Effective Concurrency,requests,std,0.03
0,1789612005686288896,1789612015686288896,Effective Decode Concurrency,requests,avg,0.97
0,1789612005686288896,1789612015686288896,Effective Decode Concurrency,requests,min,0.00
0,1789612005686288896,1789612015686288896,Effective Decode Concurrency,requests,max,1.00
0,1789612005686288896,1789612015686288896,Effective Decode Concurrency,requests,p50,1.00
0,1789612005686288896,1789612015686288896,Effective Decode Concurrency,requests,p90,1.00
0,1789612005686288896,1789612015686288896,Effective Decode Concurrency,requests,p95,1.00
0,1789612005686288896,1789612015686288896,Effective Decode Concurrency,requests,p99,1.00
0,1789612005686288896,1789612015686288896,Effective Decode Concurrency,requests,std,0.17
0,1789612005686288896,1789612015686288896,Effective Decode Throughput,tokens/sec,avg,145.36
0,1789612005686288896,1789612015686288896,Effective Decode Throughput,tokens/sec,min,0.00
0,1789612005686288896,1789612015686288896,Effective Decode Throughput,tokens/sec,max,339.79
0,1789612005686288896,1789612015686288896,Effective Decode Throughput,tokens/sec,p50,150.67
0,1789612005686288896,1789612015686288896,Effective Decode Throughput,tokens/sec,p90,154.92
0,1789612005686288896,1789612015686288896,Effective Decode Throughput,tokens/sec,p95,155.60
0,1789612005686288896,1789612015686288896,Effective Decode Throughput,tokens/sec,p99,156.17
0,1789612005686288896,1789612015686288896,Effective Decode Throughput,tokens/sec,std,28.45
0,1789612005686288896,1789612015686288896,Effective Decode Throughput Per User,tokens/sec/user,avg,145.36
0,1789612005686288896,1789612015686288896,Effective Decode Throughput Per User,tokens/sec/user,min,0.00
0,1789612005686288896,1789612015686288896,Effective Decode Throughput Per User,tokens/sec/user,max,339.79
0,1789612005686288896,1789612015686288896,Effective Decode Throughput Per User,tokens/sec/user,p50,150.67
0,1789612005686288896,1789612015686288896,Effective Decode Throughput Per User,tokens/sec/user,p90,154.92
0,1789612005686288896,1789612015686288896,Effective Decode Throughput Per User,tokens/sec/user,p95,155.60
0,1789612005686288896,1789612015686288896,Effective Decode Throughput Per User,tokens/sec/user,p99,156.17
0,1789612005686288896,1789612015686288896,Effective Decode Throughput Per User,tokens/sec/user,std,28.45
0,1789612005686288896,1789612015686288896,Effective Prefill Concurrency,requests,avg,0.03
0,1789612005686288896,1789612015686288896,Effective Prefill Concurrency,requests,min,0.00
0,1789612005686288896,1789612015686288896,Effective Prefill Concurrency,requests,max,1.00
0,1789612005686288896,1789612015686288896,Effective Prefill Concurrency,requests,p50,0.00
0,1789612005686288896,1789612015686288896,Effective Prefill Concurrency,requests,p90,0.00
0,1789612005686288896,1789612015686288896,Effective Prefill Concurrency,requests,p95,0.00
0,1789612005686288896,1789612015686288896,Effective Prefill Concurrency,requests,p99,1.00
0,1789612005686288896,1789612015686288896,Effective Prefill Concurrency,requests,std,0.17
0,1789612005686288896,1789612015686288896,Effective Prefill Throughput,tokens/sec,avg,319.20
0,1789612005686288896,1789612015686288896,Effective Prefill Throughput,tokens/sec,min,0.00
0,1789612005686288896,1789612015686288896,Effective Prefill Throughput,tokens/sec,max,11200.78
0,1789612005686288896,1789612015686288896,Effective Prefill Throughput,tokens/sec,p50,0.00
