metric,mean,std,min,max,cv,se,ci_low,ci_high,t_critical,unit
http_req_receiving_avg,8992.40,4.69,8989.08,8995.71,0.0005,3.3156,8950.27,9034.52,12.7062,ms
effective_concurrency_p50,4.00,0.00,4.00,4.00,0.0000,0.0000,4.00,4.00,12.7062,requests
effective_decode_throughput_per_user_p95,60.06,0.07,60.01,60.11,0.0012,0.0508,59.41,60.71,12.7062,tokens/sec/user
http_req_waiting_p95,344.02,0.16,343.91,344.14,0.0005,0.1144,342.57,345.48,12.7062,ms
http_req_duration_p25,9229.86,2.69,9227.95,9231.76,0.0003,1.9040,9205.66,9254.05,12.7062,ms
active_prefill_throughput_avg,14142.13,111.01,14063.63,14220.62,0.0078,78.4958,13144.74,15139.51,12.7062,tokens/sec
http_req_chunks_sent_p95,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
http_req_sending_std,0.30,0.01,0.29,0.30,0.0312,0.0065,0.21,0.38,12.7062,ms
http_req_waiting_p90,343.76,0.16,343.64,343.87,0.0005,0.1120,342.33,345.18,12.7062,ms
output_token_count_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
inter_chunk_latency_p25,17.34,0.02,17.33,17.35,0.0011,0.0129,17.17,17.50,12.7062,ms
credit_to_start_latency_sum,206.36,3.07,204.19,208.53,0.0149,2.1708,178.78,233.94,12.7062,ms
http_req_duration_p10,9056.57,15.11,9045.88,9067.25,0.0017,10.6862,8920.79,9192.35,12.7062,ms
http_req_dns_lookup_p99,1.12,0.02,1.10,1.13,0.0158,0.0125,0.96,1.27,12.7062,ms
http_req_total_std,117.56,1.34,116.61,118.51,0.0114,0.9495,105.50,129.63,12.7062,ms
reasoning_token_count_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
usage_prompt_tokens_p10,1062.00,0.00,1062.00,1062.00,0.0000,0.0000,1062.00,1062.00,12.7062,tokens
effective_latency_p95,9400.72,19.01,9387.28,9414.16,0.0020,13.4393,9229.96,9571.48,12.7062,ms
http_req_connection_overhead_p10,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
effective_prefill_throughput_per_user_max,20901.10,262.09,20715.77,21086.42,0.0125,185.3242,18546.33,23255.87,12.7062,tokens/sec/user
inter_chunk_latency_p10,16.93,0.03,16.91,16.95,0.0017,0.0202,16.68,17.19,12.7062,ms
http_req_receiving_p50,8991.41,9.05,8985.01,8997.81,0.0010,6.3998,8910.09,9072.72,12.7062,ms
http_req_blocked_p5,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_sending_p99,1.85,0.05,1.82,1.88,0.0247,0.0323,1.44,2.26,12.7062,ms
http_req_connection_reused_p95,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,ratio
effective_latency_p90,9381.09,0.18,9380.96,9381.22,0.0000,0.1296,9379.44,9382.74,12.7062,ms
active_prefill_throughput_p50,12869.82,2.62,12867.96,12871.67,0.0002,1.8528,12846.27,12893.36,12.7062,tokens/sec
time_to_second_token_p95,65.01,0.04,64.98,65.04,0.0006,0.0281,64.65,65.37,12.7062,ms
output_token_count_p99,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_chunks_received_p50,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,count
usage_reasoning_tokens_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_blocked_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_total_p99,9421.70,10.33,9414.39,9429.01,0.0011,7.3076,9328.85,9514.55,12.7062,ms
osl_mismatch_diff_pct_max,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
