Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1789641869937101312,1789641879937101312,Active Decode Throughput,tokens/sec,avg,108.55
0,1789641869937101312,1789641879937101312,Active Decode Throughput,tokens/sec,min,0.00
0,1789641869937101312,1789641879937101312,Active Decode Throughput,tokens/sec,max,244.70
0,1789641869937101312,1789641879937101312,Active Decode Throughput,tokens/sec,p50,108.54
0,1789641869937101312,1789641879937101312,Active Decode Throughput,tokens/sec,p90,110.61
0,1789641869937101312,1789641879937101312,Active Decode Throughput,tokens/sec,p95,110.79
0,1789641869937101312,1789641879937101312,Active Decode Throughput,tokens/sec,p99,111.23
0,1789641869937101312,1789641879937101312,Active Decode Throughput,tokens/sec,std,2.59
0,1789641869937101312,1789641879937101312,Active Decode Throughput Per User,tokens/sec/user,avg,108.55
0,1789641869937101312,1789641879937101312,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1789641869937101312,1789641879937101312,Active Decode Throughput Per User,tokens/sec/user,max,244.70
0,1789641869937101312,1789641879937101312,Active Decode Throughput Per User,tokens/sec/user,p50,108.54
0,1789641869937101312,1789641879937101312,Active Decode Throughput Per User,tokens/sec/user,p90,110.61
0,1789641869937101312,1789641879937101312,Active Decode Throughput Per User,tokens/sec/user,p95,110.79
0,1789641869937101312,1789641879937101312,Active Decode Throughput Per User,tokens/sec/user,p99,111.23
0,1789641869937101312,1789641879937101312,Active Decode Throughput Per User,tokens/sec/user,std,2.59
0,1789641869937101312,1789641879937101312,Active Prefill Throughput,tokens/sec,avg,7043.49
0,1789641869937101312,1789641879937101312,Active Prefill Throughput,tokens/sec,min,6407.90
0,1789641869937101312,1789641879937101312,Active Prefill Throughput,tokens/sec,max,7434.04
0,1789641869937101312,1789641879937101312,Active Prefill Throughput,tokens/sec,p50,7388.16
0,1789641869937101312,1789641879937101312,Active Prefill Throughput,tokens/sec,p90,7434.04
0,1789641869937101312,1789641879937101312,Active Prefill Throughput,tokens/sec,p95,7434.04
0,1789641869937101312,1789641879937101312,Active Prefill Throughput,tokens/sec,p99,7434.04
0,1789641869937101312,1789641879937101312,Active Prefill Throughput,tokens/sec,std,483.67
0,1789641869937101312,1789641879937101312,Active Prefill Throughput Per User,tokens/sec/user,avg,7043.49
0,1789641869937101312,1789641879937101312,Active Prefill Throughput Per User,tokens/sec/user,min,6407.90
0,1789641869937101312,1789641879937101312,Active Prefill Throughput Per User,tokens/sec/user,max,7434.04
0,1789641869937101312,1789641879937101312,Active Prefill Throughput Per User,tokens/sec/user,p50,7388.16
0,1789641869937101312,1789641879937101312,Active Prefill Throughput Per User,tokens/sec/user,p90,7434.04
0,1789641869937101312,1789641879937101312,Active Prefill Throughput Per User,tokens/sec/user,p95,7434.04
