metric,mean,std,min,max,cv,se,ci_low,ci_high,t_critical,unit
decode_duration_p10,3764.66,4.51,3761.47,3767.85,0.0012,3.1895,3724.14,3805.19,12.7062,ms
effective_concurrency_max,4.00,0.00,4.00,4.00,0.0000,0.0000,4.00,4.00,12.7062,requests
output_sequence_length_p10,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
usage_prompt_cache_read_tokens_sum,241664.00,98474.52,172032.00,311296.00,0.4075,69632.0000,-643094.45,1126422.45,12.7062,tokens
effective_prefill_throughput_per_user_p99,6178.24,76.10,6124.43,6232.05,0.0123,53.8084,5494.54,6861.94,12.7062,tokens/sec/user
prefill_throughput_per_user_std,745.50,899.03,109.79,1381.21,1.2059,635.7085,-7331.94,8822.94,12.7062,tokens/sec/user
time_to_first_output_token_max,nan,nan,2046.62,2046.62,nan,nan,nan,nan,nan,ms
http_req_data_received_p50,125.59,0.04,125.56,125.62,0.0003,0.0300,125.21,125.97,12.7062,KB
http_req_data_received_p90,131.57,0.33,131.34,131.80,0.0025,0.2314,128.63,134.51,12.7062,KB
osl_mismatch_diff_pct_p75,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
effective_decode_throughput_per_user_p95,151.94,0.97,151.26,152.63,0.0064,0.6846,143.25,160.64,12.7062,tokens/sec/user
effective_prefill_throughput_p95,154.04,217.85,0.00,308.09,1.4142,154.0446,-1803.28,2111.37,12.7062,tokens/sec
decode_duration_p1,3754.98,3.60,3752.43,3757.52,0.0010,2.5455,3722.63,3787.32,12.7062,ms
credit_to_start_latency_p5,1.28,0.01,1.27,1.28,0.0045,0.0041,1.23,1.33,12.7062,ms
http_req_duration_max,14614.09,15033.84,3983.55,25244.62,1.0287,10630.5324,-120459.63,149687.81,12.7062,ms
total_isl_avg,316602.00,28179.62,296676.00,336528.00,0.0890,19926.0000,63418.16,569785.84,12.7062,tokens
usage_total_tokens_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_total_p99,14612.81,15032.37,3983.31,25242.30,1.0287,10629.4927,-120447.70,149673.32,12.7062,ms
osl_mismatch_diff_pct_avg,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
input_sequence_length_p10,1107.00,0.00,1107.00,1107.00,0.0000,0.0000,1107.00,1107.00,12.7062,tokens
http_req_blocked_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
tokens_in_flight_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
output_sequence_length_p1,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
decode_duration_min,3751.16,5.05,3747.59,3754.73,0.0013,3.5692,3705.81,3796.51,12.7062,ms
http_req_dns_lookup_p75,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_receiving_p50,3778.09,0.16,3777.98,3778.20,0.0000,0.1134,3776.65,3779.53,12.7062,ms
effective_total_throughput_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens/sec
http_req_receiving_p90,3791.23,1.22,3790.36,3792.09,0.0003,0.8652,3780.23,3802.22,12.7062,ms
time_to_second_token_p10,3.43,0.12,3.35,3.51,0.0336,0.0815,2.39,4.46,12.7062,ms
http_req_dns_lookup_avg,0.02,0.00,0.01,0.02,0.1181,0.0013,-0.00,0.03,12.7062,ms
output_sequence_length_min,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
effective_decode_concurrency_p99,4.00,0.00,4.00,4.00,0.0000,0.0000,4.00,4.00,12.7062,requests
e2e_output_token_throughput_sum,36411.13,4123.42,33495.43,39326.83,0.1132,2915.7012,-636.37,73458.63,12.7062,tokens/sec/user
effective_prefill_throughput_per_user_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens/sec/user
inter_token_latency_sum,2114.73,187.52,1982.14,2247.33,0.0887,132.5951,429.95,3799.51,12.7062,ms
http_req_data_received_max,135.78,0.56,135.39,136.17,0.0041,0.3926,130.79,140.77,12.7062,KB
time_to_second_token_p1,3.01,0.18,2.89,3.13,0.0585,0.1245,1.43,4.59,12.7062,ms
usage_total_tokens_max,1619.00,0.00,1619.00,1619.00,0.0000,0.0000,1619.00,1619.00,12.7062,tokens
http_req_connection_overhead_p50,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_chunks_received_p5,451.00,1.41,450.00,452.00,0.0031,1.0000,438.29,463.71,12.7062,count
http_req_connection_overhead_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
output_token_count_p99,nan,nan,273.00,273.00,nan,nan,nan,nan,nan,tokens
time_to_second_token_min,2.37,0.26,2.18,2.55,0.1114,0.1864,-0.00,4.73,12.7062,ms
active_total_throughput_p95,544.42,0.52,544.06,544.79,0.0010,0.3674,539.76,549.09,12.7062,tokens/sec
decode_duration_p75,3785.62,0.13,3785.53,3785.71,0.0000,0.0903,3784.47,3786.77,12.7062,ms
tokens_in_flight_avg,5342.11,86.91,5280.66,5403.56,0.0163,61.4543,4561.26,6122.96,12.7062,tokens
usage_completion_tokens_p50,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_receiving_max,3806.88,2.59,3805.05,3808.72,0.0007,1.8349,3783.57,3830.20,12.7062,ms
