Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1789645458149370368,1789645468149370368,Active Decode Throughput,tokens/sec,avg,0.00
0,1789645458149370368,1789645468149370368,Active Decode Throughput,tokens/sec,min,0.00
0,1789645458149370368,1789645468149370368,Active Decode Throughput,tokens/sec,max,0.00
0,1789645458149370368,1789645468149370368,Active Decode Throughput,tokens/sec,p50,0.00
0,1789645458149370368,1789645468149370368,Active Decode Throughput,tokens/sec,p90,0.00
0,1789645458149370368,1789645468149370368,Active Decode Throughput,tokens/sec,p95,0.00
0,1789645458149370368,1789645468149370368,Active Decode Throughput,tokens/sec,p99,0.00
0,1789645458149370368,1789645468149370368,Active Decode Throughput,tokens/sec,std,0.00
0,1789645458149370368,1789645468149370368,Active Decode Throughput Per User,tokens/sec/user,avg,0.00
0,1789645458149370368,1789645468149370368,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1789645458149370368,1789645468149370368,Active Decode Throughput Per User,tokens/sec/user,max,0.00
0,1789645458149370368,1789645468149370368,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1789645458149370368,1789645468149370368,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1789645458149370368,1789645468149370368,Active Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1789645458149370368,1789645468149370368,Active Decode Throughput Per User,tokens/sec/user,p99,0.00
0,1789645458149370368,1789645468149370368,Active Decode Throughput Per User,tokens/sec/user,std,0.00
0,1789645458149370368,1789645468149370368,Active Prefill Throughput,tokens/sec,avg,75.32
0,1789645458149370368,1789645468149370368,Active Prefill Throughput,tokens/sec,min,75.32
0,1789645458149370368,1789645468149370368,Active Prefill Throughput,tokens/sec,max,75.32
0,1789645458149370368,1789645468149370368,Active Prefill Throughput,tokens/sec,p50,75.32
0,1789645458149370368,1789645468149370368,Active Prefill Throughput,tokens/sec,p90,75.32
0,1789645458149370368,1789645468149370368,Active Prefill Throughput,tokens/sec,p95,75.32
0,1789645458149370368,1789645468149370368,Active Prefill Throughput,tokens/sec,p99,75.32
0,1789645458149370368,1789645468149370368,Active Prefill Throughput,tokens/sec,std,0.00
0,1789645458149370368,1789645468149370368,Active Prefill Throughput Per User,tokens/sec/user,avg,75.32
0,1789645458149370368,1789645468149370368,Active Prefill Throughput Per User,tokens/sec/user,min,75.32
0,1789645458149370368,1789645468149370368,Active Prefill Throughput Per User,tokens/sec/user,max,75.32
0,1789645458149370368,1789645468149370368,Active Prefill Throughput Per User,tokens/sec/user,p50,75.32
0,1789645458149370368,1789645468149370368,Active Prefill Throughput Per User,tokens/sec/user,p90,75.32
0,1789645458149370368,1789645468149370368,Active Prefill Throughput Per User,tokens/sec/user,p95,75.32
0,1789645458149370368,1789645468149370368,Active Prefill Throughput Per User,tokens/sec/user,p99,75.32
0,1789645458149370368,1789645468149370368,Active Prefill Throughput Per User,tokens/sec/user,std,0.00
0,1789645458149370368,1789645468149370368,Active Total Throughput,tokens/sec,avg,75.32
0,1789645458149370368,1789645468149370368,Active Total Throughput,tokens/sec,min,75.32
0,1789645458149370368,1789645468149370368,Active Total Throughput,tokens/sec,max,75.32
0,1789645458149370368,1789645468149370368,Active Total Throughput,tokens/sec,p50,75.32
0,1789645458149370368,1789645468149370368,Active Total Throughput,tokens/sec,p90,75.32
0,1789645458149370368,1789645468149370368,Active Total Throughput,tokens/sec,p95,75.32
0,1789645458149370368,1789645468149370368,Active Total Throughput,tokens/sec,p99,75.32
0,1789645458149370368,1789645468149370368,Active Total Throughput,tokens/sec,std,0.00
0,1789645458149370368,1789645468149370368,Benchmark Duration,sec,avg,17.74
0,1789645458149370368,1789645468149370368,Decode Duration,ms,avg,3045.01
0,1789645458149370368,1789645468149370368,Decode Duration,ms,min,3045.01
0,1789645458149370368,1789645468149370368,Decode Duration,ms,max,3045.01
0,1789645458149370368,1789645468149370368,Decode Duration,ms,sum,3045.01
0,1789645458149370368,1789645468149370368,Decode Duration,ms,p1,3045.01
0,1789645458149370368,1789645468149370368,Decode Duration,ms,p5,3045.01
0,1789645458149370368,1789645468149370368,Decode Duration,ms,p10,3045.01
0,1789645458149370368,1789645468149370368,Decode Duration,ms,p25,3045.01
0,1789645458149370368,1789645468149370368,Decode Duration,ms,p50,3045.01
0,1789645458149370368,1789645468149370368,Decode Duration,ms,p75,3045.01
0,1789645458149370368,1789645468149370368,Decode Duration,ms,p90,3045.01
0,1789645458149370368,1789645468149370368,Decode Duration,ms,p95,3045.01
0,1789645458149370368,1789645468149370368,Decode Duration,ms,p99,3045.01
0,1789645458149370368,1789645468149370368,Decode Duration,ms,std,0.00
0,1789645458149370368,1789645468149370368,E2E Output Token Throughput,tokens/sec/user,avg,28.86
0,1789645458149370368,1789645468149370368,E2E Output Token Throughput,tokens/sec/user,min,28.86
0,1789645458149370368,1789645468149370368,E2E Output Token Throughput,tokens/sec/user,max,28.86
0,1789645458149370368,1789645468149370368,E2E Output Token Throughput,tokens/sec/user,sum,28.86
0,1789645458149370368,1789645468149370368,E2E Output Token Throughput,tokens/sec/user,p1,28.86
0,1789645458149370368,1789645468149370368,E2E Output Token Throughput,tokens/sec/user,p5,28.86
0,1789645458149370368,1789645468149370368,E2E Output Token Throughput,tokens/sec/user,p10,28.86
0,1789645458149370368,1789645468149370368,E2E Output Token Throughput,tokens/sec/user,p25,28.86
0,1789645458149370368,1789645468149370368,E2E Output Token Throughput,tokens/sec/user,p50,28.86
0,1789645458149370368,1789645468149370368,E2E Output Token Throughput,tokens/sec/user,p75,28.86
0,1789645458149370368,1789645468149370368,E2E Output Token Throughput,tokens/sec/user,p90,28.86
0,1789645458149370368,1789645468149370368,E2E Output Token Throughput,tokens/sec/user,p95,28.86
0,1789645458149370368,1789645468149370368,E2E Output Token Throughput,tokens/sec/user,p99,28.86
0,1789645458149370368,1789645468149370368,E2E Output Token Throughput,tokens/sec/user,std,0.00
0,1789645458149370368,1789645468149370368,Effective Concurrency,requests,avg,1.00
0,1789645458149370368,1789645468149370368,Effective Concurrency,requests,min,1.00
0,1789645458149370368,1789645468149370368,Effective Concurrency,requests,max,1.00
0,1789645458149370368,1789645468149370368,Effective Concurrency,requests,p50,1.00
0,1789645458149370368,1789645468149370368,Effective Concurrency,requests,p90,1.00
0,1789645458149370368,1789645468149370368,Effective Concurrency,requests,p95,1.00
0,1789645458149370368,1789645468149370368,Effective Concurrency,requests,p99,1.00
0,1789645458149370368,1789645468149370368,Effective Concurrency,requests,std,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Concurrency,requests,avg,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Concurrency,requests,min,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Concurrency,requests,max,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Concurrency,requests,p50,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Concurrency,requests,p90,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Concurrency,requests,p95,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Concurrency,requests,p99,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Concurrency,requests,std,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Throughput,tokens/sec,avg,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Throughput,tokens/sec,min,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Throughput,tokens/sec,max,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Throughput,tokens/sec,p50,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Throughput,tokens/sec,p90,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Throughput,tokens/sec,p95,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Throughput,tokens/sec,p99,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Throughput,tokens/sec,std,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Throughput Per User,tokens/sec/user,avg,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Throughput Per User,tokens/sec/user,min,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Throughput Per User,tokens/sec/user,max,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Throughput Per User,tokens/sec/user,p99,0.00
0,1789645458149370368,1789645468149370368,Effective Decode Throughput Per User,tokens/sec/user,std,0.00
0,1789645458149370368,1789645468149370368,Effective Prefill Concurrency,requests,avg,1.00
0,1789645458149370368,1789645468149370368,Effective Prefill Concurrency,requests,min,1.00
0,1789645458149370368,1789645468149370368,Effective Prefill Concurrency,requests,max,1.00
0,1789645458149370368,1789645468149370368,Effective Prefill Concurrency,requests,p50,1.00
0,1789645458149370368,1789645468149370368,Effective Prefill Concurrency,requests,p90,1.00
0,1789645458149370368,1789645468149370368,Effective Prefill Concurrency,requests,p95,1.00
0,1789645458149370368,1789645468149370368,Effective Prefill Concurrency,requests,p99,1.00
0,1789645458149370368,1789645468149370368,Effective Prefill Concurrency,requests,std,0.00
0,1789645458149370368,1789645468149370368,Effective Prefill Throughput,tokens/sec,avg,75.32
0,1789645458149370368,1789645468149370368,Effective Prefill Throughput,tokens/sec,min,75.32
0,1789645458149370368,1789645468149370368,Effective Prefill Throughput,tokens/sec,max,75.32
0,1789645458149370368,1789645468149370368,Effective Prefill Throughput,tokens/sec,p50,75.32
0,1789645458149370368,1789645468149370368,Effective Prefill Throughput,tokens/sec,p90,75.32
0,1789645458149370368,1789645468149370368,Effective Prefill Throughput,tokens/sec,p95,75.32
0,1789645458149370368,1789645468149370368,Effective Prefill Throughput,tokens/sec,p99,75.32
0,1789645458149370368,1789645468149370368,Effective Prefill Throughput,tokens/sec,std,0.00
0,1789645458149370368,1789645468149370368,Effective Prefill Throughput Per User,tokens/sec/user,avg,75.32
0,1789645458149370368,1789645468149370368,Effective Prefill Throughput Per User,tokens/sec/user,min,75.32
