Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1789649535445145856,1789649545445145856,Active Decode Throughput,tokens/sec,avg,138.19
0,1789649535445145856,1789649545445145856,Active Decode Throughput,tokens/sec,min,0.00
0,1789649535445145856,1789649545445145856,Active Decode Throughput,tokens/sec,max,352.67
0,1789649535445145856,1789649545445145856,Active Decode Throughput,tokens/sec,p50,138.73
0,1789649535445145856,1789649545445145856,Active Decode Throughput,tokens/sec,p90,141.38
0,1789649535445145856,1789649545445145856,Active Decode Throughput,tokens/sec,p95,142.27
0,1789649535445145856,1789649545445145856,Active Decode Throughput,tokens/sec,p99,145.56
0,1789649535445145856,1789649545445145856,Active Decode Throughput,tokens/sec,std,8.04
0,1789649535445145856,1789649545445145856,Active Decode Throughput Per User,tokens/sec/user,avg,138.19
0,1789649535445145856,1789649545445145856,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1789649535445145856,1789649545445145856,Active Decode Throughput Per User,tokens/sec/user,max,352.67
0,1789649535445145856,1789649545445145856,Active Decode Throughput Per User,tokens/sec/user,p50,138.73
0,1789649535445145856,1789649545445145856,Active Decode Throughput Per User,tokens/sec/user,p90,141.38
0,1789649535445145856,1789649545445145856,Active Decode Throughput Per User,tokens/sec/user,p95,142.27
0,1789649535445145856,1789649545445145856,Active Decode Throughput Per User,tokens/sec/user,p99,145.56
0,1789649535445145856,1789649545445145856,Active Decode Throughput Per User,tokens/sec/user,std,8.04
0,1789649535445145856,1789649545445145856,Active Prefill Throughput,tokens/sec,avg,8074.73
0,1789649535445145856,1789649545445145856,Active Prefill Throughput,tokens/sec,min,7793.23
0,1789649535445145856,1789649545445145856,Active Prefill Throughput,tokens/sec,max,8443.44
0,1789649535445145856,1789649545445145856,Active Prefill Throughput,tokens/sec,p50,8014.23
0,1789649535445145856,1789649545445145856,Active Prefill Throughput,tokens/sec,p90,8443.44
0,1789649535445145856,1789649545445145856,Active Prefill Throughput,tokens/sec,p95,8443.44
0,1789649535445145856,1789649545445145856,Active Prefill Throughput,tokens/sec,p99,8443.44
0,1789649535445145856,1789649545445145856,Active Prefill Throughput,tokens/sec,std,268.21
0,1789649535445145856,1789649545445145856,Active Prefill Throughput Per User,tokens/sec/user,avg,8074.73
0,1789649535445145856,1789649545445145856,Active Prefill Throughput Per User,tokens/sec/user,min,7793.23
0,1789649535445145856,1789649545445145856,Active Prefill Throughput Per User,tokens/sec/user,max,8443.44
0,1789649535445145856,1789649545445145856,Active Prefill Throughput Per User,tokens/sec/user,p50,8014.23
0,1789649535445145856,1789649545445145856,Active Prefill Throughput Per User,tokens/sec/user,p90,8443.44
0,1789649535445145856,1789649545445145856,Active Prefill Throughput Per User,tokens/sec/user,p95,8443.44
0,1789649535445145856,1789649545445145856,Active Prefill Throughput Per User,tokens/sec/user,p99,8443.44
0,1789649535445145856,1789649545445145856,Active Prefill Throughput Per User,tokens/sec/user,std,268.21
0,1789649535445145856,1789649545445145856,Active Total Throughput,tokens/sec,avg,444.07
0,1789649535445145856,1789649545445145856,Active Total Throughput,tokens/sec,min,138.24
0,1789649535445145856,1789649545445145856,Active Total Throughput,tokens/sec,max,8443.44
0,1789649535445145856,1789649545445145856,Active Total Throughput,tokens/sec,p50,138.33
0,1789649535445145856,1789649545445145856,Active Total Throughput,tokens/sec,p90,138.50
0,1789649535445145856,1789649545445145856,Active Total Throughput,tokens/sec,p95,138.50
0,1789649535445145856,1789649545445145856,Active Total Throughput,tokens/sec,p99,8443.44
