metric,mean,std,min,max,cv,se,ci_low,ci_high,t_critical,unit
request_latency_p95,17311.20,836.71,16719.55,17902.85,0.0483,591.6468,9793.62,24828.79,12.7062,ms
decode_duration_p95,16192.71,5.13,16189.08,16196.33,0.0003,3.6253,16146.64,16238.77,12.7062,ms
output_token_throughput_per_user_max,31.64,0.00,31.64,31.65,0.0000,0.0002,31.64,31.65,12.7062,tokens/sec/user
http_req_total_min,16701.82,1.22,16700.96,16702.68,0.0001,0.8629,16690.86,16712.79,12.7062,ms
prefill_throughput_per_user_avg,1892.47,57.81,1851.60,1933.35,0.0305,40.8757,1373.10,2411.85,12.7062,tokens/sec/user
nvidia_output_tokens_per_joule_avg,0.10,0.00,0.10,0.10,0.0134,0.0009,0.09,0.11,12.7062,tokens/J
usage_completion_tokens_p99,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
tokens_in_flight_p99,1541.99,0.00,1541.99,1541.99,0.0000,0.0000,1541.99,1541.99,12.7062,tokens
reasoning_token_count_p99,247.70,263.91,61.09,434.31,1.0654,186.6100,-2123.40,2618.80,12.7062,tokens
http_req_chunks_sent_p25,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
time_to_first_token_p1,523.70,0.52,523.34,524.07,0.0010,0.3658,519.06,528.35,12.7062,ms
http_req_chunks_sent_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,count
osl_mismatch_diff_pct_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
http_req_data_received_sum,2283.12,1.31,2282.19,2284.04,0.0006,0.9253,2271.36,2294.87,12.7062,KB
time_to_second_token_p50,30.82,0.06,30.77,30.86,0.0020,0.0426,30.27,31.36,12.7062,ms
usage_prompt_tokens_p95,1036.00,0.00,1036.00,1036.00,0.0000,0.0000,1036.00,1036.00,12.7062,tokens
total_reasoning_tokens_avg,632.50,276.48,437.00,828.00,0.4371,195.5000,-1851.56,3116.56,12.7062,tokens
usage_completion_tokens_min,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
tokens_in_flight_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
reasoning_token_count_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_connection_overhead_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
effective_decode_throughput_p95,32.16,0.28,31.96,32.36,0.0088,0.2008,29.61,34.71,12.7062,tokens/sec
decode_duration_avg,16176.98,5.66,16172.98,16180.98,0.0003,4.0012,16126.14,16227.82,12.7062,ms
osl_mismatch_diff_pct_p99,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
http_req_chunks_received_min,502.50,7.78,497.00,508.00,0.0155,5.5000,432.62,572.38,12.7062,count
usage_reasoning_tokens_max,288.50,316.08,65.00,512.00,1.0956,223.5000,-2551.34,3128.34,12.7062,tokens
http_req_sending_p99,1.57,0.03,1.54,1.59,0.0203,0.0225,1.28,1.85,12.7062,ms
output_sequence_length_p50,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
usage_prompt_cache_read_tokens_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
output_token_count_p1,454.04,4.42,450.91,457.16,0.0097,3.1250,414.33,493.74,12.7062,tokens
http_req_waiting_p25,524.50,0.39,524.22,524.78,0.0007,0.2768,520.98,528.02,12.7062,ms
overall_usage_prompt_cache_read_pct_avg,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
effective_concurrency_std,0.01,0.00,0.01,0.01,0.0086,0.0001,0.01,0.02,12.7062,requests
http_req_waiting_std,903.83,1275.79,1.71,1805.95,1.4115,902.1217,-10558.71,12366.37,12.7062,ms
usage_prompt_tokens_avg,1036.00,0.00,1036.00,1036.00,0.0000,0.0000,1036.00,1036.00,12.7062,tokens
effective_total_throughput_p90,31.64,0.00,31.64,31.64,0.0001,0.0015,31.62,31.66,12.7062,tokens/sec
benchmark_duration_avg,304.79,5.60,300.82,308.75,0.0184,3.9621,254.44,355.13,12.7062,sec
http_req_blocked_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
time_to_first_token_sum,13541.99,5501.34,9651.96,17432.03,0.4062,3890.0367,-35885.61,62969.60,12.7062,ms
time_to_second_token_p95,34.06,3.24,31.77,36.35,0.0952,2.2919,4.94,63.18,12.7062,ms
http_req_blocked_p5,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
inter_chunk_latency_p99,32.41,0.17,32.29,32.53,0.0052,0.1201,30.88,33.94,12.7062,ms
effective_prefill_concurrency_std,0.20,0.04,0.18,0.23,0.1896,0.0273,-0.14,0.55,12.7062,requests
prefill_throughput_per_user_p75,1974.06,1.63,1972.91,1975.21,0.0008,1.1497,1959.45,1988.67,12.7062,tokens/sec/user
http_req_connection_reused_p99,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,ratio
http_req_connecting_p10,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
effective_total_throughput_max,1978.43,1.91,1977.08,1979.78,0.0010,1.3526,1961.24,1995.62,12.7062,tokens/sec
output_token_throughput_per_user_p50,31.58,0.01,31.57,31.58,0.0002,0.0048,31.52,31.64,12.7062,tokens/sec/user
