Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1789652406598008320,1789652416598008320,Active Decode Throughput,tokens/sec,avg,31.45
0,1789652406598008320,1789652416598008320,Active Decode Throughput,tokens/sec,min,0.00
0,1789652406598008320,1789652416598008320,Active Decode Throughput,tokens/sec,max,65.46
0,1789652406598008320,1789652416598008320,Active Decode Throughput,tokens/sec,p50,32.52
0,1789652406598008320,1789652416598008320,Active Decode Throughput,tokens/sec,p90,32.74
0,1789652406598008320,1789652416598008320,Active Decode Throughput,tokens/sec,p95,32.77
0,1789652406598008320,1789652416598008320,Active Decode Throughput,tokens/sec,p99,33.51
0,1789652406598008320,1789652416598008320,Active Decode Throughput,tokens/sec,std,4.08
0,1789652406598008320,1789652416598008320,Active Decode Throughput Per User,tokens/sec/user,avg,31.45
0,1789652406598008320,1789652416598008320,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1789652406598008320,1789652416598008320,Active Decode Throughput Per User,tokens/sec/user,max,65.46
0,1789652406598008320,1789652416598008320,Active Decode Throughput Per User,tokens/sec/user,p50,32.52
0,1789652406598008320,1789652416598008320,Active Decode Throughput Per User,tokens/sec/user,p90,32.74
0,1789652406598008320,1789652416598008320,Active Decode Throughput Per User,tokens/sec/user,p95,32.77
0,1789652406598008320,1789652416598008320,Active Decode Throughput Per User,tokens/sec/user,p99,33.51
0,1789652406598008320,1789652416598008320,Active Decode Throughput Per User,tokens/sec/user,std,4.08
0,1789652406598008320,1789652416598008320,Active Prefill Throughput,tokens/sec,avg,1949.40
0,1789652406598008320,1789652416598008320,Active Prefill Throughput,tokens/sec,min,1949.40
0,1789652406598008320,1789652416598008320,Active Prefill Throughput,tokens/sec,max,1949.40
0,1789652406598008320,1789652416598008320,Active Prefill Throughput,tokens/sec,p50,1949.40
0,1789652406598008320,1789652416598008320,Active Prefill Throughput,tokens/sec,p90,1949.40
0,1789652406598008320,1789652416598008320,Active Prefill Throughput,tokens/sec,p95,1949.40
0,1789652406598008320,1789652416598008320,Active Prefill Throughput,tokens/sec,p99,1949.40
0,1789652406598008320,1789652416598008320,Active Prefill Throughput,tokens/sec,std,0.00
0,1789652406598008320,1789652416598008320,Active Prefill Throughput Per User,tokens/sec/user,avg,1949.40
0,1789652406598008320,1789652416598008320,Active Prefill Throughput Per User,tokens/sec/user,min,1949.40
0,1789652406598008320,1789652416598008320,Active Prefill Throughput Per User,tokens/sec/user,max,1949.40
0,1789652406598008320,1789652416598008320,Active Prefill Throughput Per User,tokens/sec/user,p50,1949.40
0,1789652406598008320,1789652416598008320,Active Prefill Throughput Per User,tokens/sec/user,p90,1949.40
0,1789652406598008320,1789652416598008320,Active Prefill Throughput Per User,tokens/sec/user,p95,1949.40
0,1789652406598008320,1789652416598008320,Active Prefill Throughput Per User,tokens/sec/user,p99,1949.40
0,1789652406598008320,1789652416598008320,Active Prefill Throughput Per User,tokens/sec/user,std,0.00
0,1789652406598008320,1789652416598008320,Active Total Throughput,tokens/sec,avg,133.50
0,1789652406598008320,1789652416598008320,Active Total Throughput,tokens/sec,min,31.58
0,1789652406598008320,1789652416598008320,Active Total Throughput,tokens/sec,max,1949.40
0,1789652406598008320,1789652416598008320,Active Total Throughput,tokens/sec,p50,31.58
0,1789652406598008320,1789652416598008320,Active Total Throughput,tokens/sec,p90,31.58
0,1789652406598008320,1789652416598008320,Active Total Throughput,tokens/sec,p95,1949.40
0,1789652406598008320,1789652416598008320,Active Total Throughput,tokens/sec,p99,1949.40
0,1789652406598008320,1789652416598008320,Active Total Throughput,tokens/sec,std,430.21
0,1789652406598008320,1789652416598008320,Benchmark Duration,sec,avg,16.71
0,1789652406598008320,1789652416598008320,Decode Duration,ms,avg,16183.00
0,1789652406598008320,1789652416598008320,Decode Duration,ms,min,16183.00
0,1789652406598008320,1789652416598008320,Decode Duration,ms,max,16183.00
0,1789652406598008320,1789652416598008320,Decode Duration,ms,sum,16183.00
0,1789652406598008320,1789652416598008320,Decode Duration,ms,p1,16183.00
0,1789652406598008320,1789652416598008320,Decode Duration,ms,p5,16183.00
0,1789652406598008320,1789652416598008320,Decode Duration,ms,p10,16183.00
0,1789652406598008320,1789652416598008320,Decode Duration,ms,p25,16183.00
0,1789652406598008320,1789652416598008320,Decode Duration,ms,p50,16183.00
0,1789652406598008320,1789652416598008320,Decode Duration,ms,p75,16183.00
0,1789652406598008320,1789652416598008320,Decode Duration,ms,p90,16183.00
0,1789652406598008320,1789652416598008320,Decode Duration,ms,p95,16183.00
0,1789652406598008320,1789652416598008320,Decode Duration,ms,p99,16183.00
0,1789652406598008320,1789652416598008320,Decode Duration,ms,std,0.00
0,1789652406598008320,1789652416598008320,E2E Output Token Throughput,tokens/sec/user,avg,30.63
0,1789652406598008320,1789652416598008320,E2E Output Token Throughput,tokens/sec/user,min,30.63
0,1789652406598008320,1789652416598008320,E2E Output Token Throughput,tokens/sec/user,max,30.63
0,1789652406598008320,1789652416598008320,E2E Output Token Throughput,tokens/sec/user,sum,30.63
0,1789652406598008320,1789652416598008320,E2E Output Token Throughput,tokens/sec/user,p1,30.63
0,1789652406598008320,1789652416598008320,E2E Output Token Throughput,tokens/sec/user,p5,30.63
0,1789652406598008320,1789652416598008320,E2E Output Token Throughput,tokens/sec/user,p10,30.63
0,1789652406598008320,1789652416598008320,E2E Output Token Throughput,tokens/sec/user,p25,30.63
0,1789652406598008320,1789652416598008320,E2E Output Token Throughput,tokens/sec/user,p50,30.63
0,1789652406598008320,1789652416598008320,E2E Output Token Throughput,tokens/sec/user,p75,30.63
0,1789652406598008320,1789652416598008320,E2E Output Token Throughput,tokens/sec/user,p90,30.63
0,1789652406598008320,1789652416598008320,E2E Output Token Throughput,tokens/sec/user,p95,30.63
0,1789652406598008320,1789652416598008320,E2E Output Token Throughput,tokens/sec/user,p99,30.63
0,1789652406598008320,1789652416598008320,E2E Output Token Throughput,tokens/sec/user,std,0.00
0,1789652406598008320,1789652416598008320,Effective Concurrency,requests,avg,1.00
0,1789652406598008320,1789652416598008320,Effective Concurrency,requests,min,1.00
0,1789652406598008320,1789652416598008320,Effective Concurrency,requests,max,1.00
0,1789652406598008320,1789652416598008320,Effective Concurrency,requests,p50,1.00
0,1789652406598008320,1789652416598008320,Effective Concurrency,requests,p90,1.00
0,1789652406598008320,1789652416598008320,Effective Concurrency,requests,p95,1.00
0,1789652406598008320,1789652416598008320,Effective Concurrency,requests,p99,1.00
0,1789652406598008320,1789652416598008320,Effective Concurrency,requests,std,0.00
0,1789652406598008320,1789652416598008320,Effective Decode Concurrency,requests,avg,0.95
0,1789652406598008320,1789652416598008320,Effective Decode Concurrency,requests,min,0.00
0,1789652406598008320,1789652416598008320,Effective Decode Concurrency,requests,max,1.00
0,1789652406598008320,1789652416598008320,Effective Decode Concurrency,requests,p50,1.00
0,1789652406598008320,1789652416598008320,Effective Decode Concurrency,requests,p90,1.00
0,1789652406598008320,1789652416598008320,Effective Decode Concurrency,requests,p95,1.00
0,1789652406598008320,1789652416598008320,Effective Decode Concurrency,requests,p99,1.00
0,1789652406598008320,1789652416598008320,Effective Decode Concurrency,requests,std,0.22
0,1789652406598008320,1789652416598008320,Effective Decode Throughput,tokens/sec,avg,29.78
0,1789652406598008320,1789652416598008320,Effective Decode Throughput,tokens/sec,min,0.00
0,1789652406598008320,1789652416598008320,Effective Decode Throughput,tokens/sec,max,65.46
0,1789652406598008320,1789652416598008320,Effective Decode Throughput,tokens/sec,p50,32.51
0,1789652406598008320,1789652416598008320,Effective Decode Throughput,tokens/sec,p90,32.73
0,1789652406598008320,1789652416598008320,Effective Decode Throughput,tokens/sec,p95,32.77
0,1789652406598008320,1789652416598008320,Effective Decode Throughput,tokens/sec,p99,33.51
0,1789652406598008320,1789652416598008320,Effective Decode Throughput,tokens/sec,std,8.09
0,1789652406598008320,1789652416598008320,Effective Decode Throughput Per User,tokens/sec/user,avg,29.78
0,1789652406598008320,1789652416598008320,Effective Decode Throughput Per User,tokens/sec/user,min,0.00
0,1789652406598008320,1789652416598008320,Effective Decode Throughput Per User,tokens/sec/user,max,65.46
0,1789652406598008320,1789652416598008320,Effective Decode Throughput Per User,tokens/sec/user,p50,32.51
0,1789652406598008320,1789652416598008320,Effective Decode Throughput Per User,tokens/sec/user,p90,32.73
0,1789652406598008320,1789652416598008320,Effective Decode Throughput Per User,tokens/sec/user,p95,32.77
0,1789652406598008320,1789652416598008320,Effective Decode Throughput Per User,tokens/sec/user,p99,33.51
0,1789652406598008320,1789652416598008320,Effective Decode Throughput Per User,tokens/sec/user,std,8.09
0,1789652406598008320,1789652416598008320,Effective Prefill Concurrency,requests,avg,0.05
0,1789652406598008320,1789652416598008320,Effective Prefill Concurrency,requests,min,0.00
0,1789652406598008320,1789652416598008320,Effective Prefill Concurrency,requests,max,1.00
0,1789652406598008320,1789652416598008320,Effective Prefill Concurrency,requests,p50,0.00
0,1789652406598008320,1789652416598008320,Effective Prefill Concurrency,requests,p90,0.00
0,1789652406598008320,1789652416598008320,Effective Prefill Concurrency,requests,p95,1.00
0,1789652406598008320,1789652416598008320,Effective Prefill Concurrency,requests,p99,1.00
0,1789652406598008320,1789652416598008320,Effective Prefill Concurrency,requests,std,0.22
0,1789652406598008320,1789652416598008320,Effective Prefill Throughput,tokens/sec,avg,103.60
0,1789652406598008320,1789652416598008320,Effective Prefill Throughput,tokens/sec,min,0.00
0,1789652406598008320,1789652416598008320,Effective Prefill Throughput,tokens/sec,max,1949.40
0,1789652406598008320,1789652416598008320,Effective Prefill Throughput,tokens/sec,p50,0.00
0,1789652406598008320,1789652416598008320,Effective Prefill Throughput,tokens/sec,p90,0.00
0,1789652406598008320,1789652416598008320,Effective Prefill Throughput,tokens/sec,p95,1949.40
0,1789652406598008320,1789652416598008320,Effective Prefill Throughput,tokens/sec,p99,1949.40
0,1789652406598008320,1789652416598008320,Effective Prefill Throughput,tokens/sec,std,437.29
0,1789652406598008320,1789652416598008320,Effective Prefill Throughput Per User,tokens/sec/user,avg,103.60
0,1789652406598008320,1789652416598008320,Effective Prefill Throughput Per User,tokens/sec/user,min,0.00
0,1789652406598008320,1789652416598008320,Effective Prefill Throughput Per User,tokens/sec/user,max,1949.40
0,1789652406598008320,1789652416598008320,Effective Prefill Throughput Per User,tokens/sec/user,p50,0.00
0,1789652406598008320,1789652416598008320,Effective Prefill Throughput Per User,tokens/sec/user,p90,0.00
0,1789652406598008320,1789652416598008320,Effective Prefill Throughput Per User,tokens/sec/user,p95,1949.40
0,1789652406598008320,1789652416598008320,Effective Prefill Throughput Per User,tokens/sec/user,p99,1949.40
0,1789652406598008320,1789652416598008320,Effective Prefill Throughput Per User,tokens/sec/user,std,437.29
0,1789652406598008320,1789652416598008320,Effective Total Throughput,tokens/sec,avg,133.50
0,1789652406598008320,1789652416598008320,Effective Total Throughput,tokens/sec,min,31.58
0,1789652406598008320,1789652416598008320,Effective Total Throughput,tokens/sec,max,1949.40
0,1789652406598008320,1789652416598008320,Effective Total Throughput,tokens/sec,p50,31.58
0,1789652406598008320,1789652416598008320,Effective Total Throughput,tokens/sec,p90,31.58
0,1789652406598008320,1789652416598008320,Effective Total Throughput,tokens/sec,p95,1949.40
0,1789652406598008320,1789652416598008320,Effective Total Throughput,tokens/sec,p99,1949.40
0,1789652406598008320,1789652416598008320,Effective Total Throughput,tokens/sec,std,430.21
0,1789652406598008320,1789652416598008320,HTTP Blocked,ms,avg,0.00
0,1789652406598008320,1789652416598008320,HTTP Blocked,ms,min,0.00
0,1789652406598008320,1789652416598008320,HTTP Blocked,ms,max,0.00
0,1789652406598008320,1789652416598008320,HTTP Blocked,ms,sum,0.00
0,1789652406598008320,1789652416598008320,HTTP Blocked,ms,p1,0.00
0,1789652406598008320,1789652416598008320,HTTP Blocked,ms,p5,0.00
0,1789652406598008320,1789652416598008320,HTTP Blocked,ms,p10,0.00
0,1789652406598008320,1789652416598008320,HTTP Blocked,ms,p25,0.00
0,1789652406598008320,1789652416598008320,HTTP Blocked,ms,p50,0.00
0,1789652406598008320,1789652416598008320,HTTP Blocked,ms,p75,0.00
0,1789652406598008320,1789652416598008320,HTTP Blocked,ms,p90,0.00
0,1789652406598008320,1789652416598008320,HTTP Blocked,ms,p95,0.00
0,1789652406598008320,1789652416598008320,HTTP Blocked,ms,p99,0.00
0,1789652406598008320,1789652416598008320,HTTP Blocked,ms,std,0.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Received,count,avg,497.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Received,count,min,497.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Received,count,max,497.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Received,count,sum,497.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Received,count,p1,497.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Received,count,p5,497.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Received,count,p10,497.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Received,count,p25,497.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Received,count,p50,497.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Received,count,p75,497.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Received,count,p90,497.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Received,count,p95,497.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Received,count,p99,497.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Received,count,std,0.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Sent,count,avg,1.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Sent,count,min,1.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Sent,count,max,1.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Sent,count,sum,1.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Sent,count,p1,1.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Sent,count,p5,1.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Sent,count,p10,1.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Sent,count,p25,1.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Sent,count,p50,1.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Sent,count,p75,1.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Sent,count,p90,1.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Sent,count,p95,1.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Sent,count,p99,1.00
0,1789652406598008320,1789652416598008320,HTTP Chunks Sent,count,std,0.00
0,1789652406598008320,1789652416598008320,HTTP Connecting,ms,avg,1.54
0,1789652406598008320,1789652416598008320,HTTP Connecting,ms,min,1.54
0,1789652406598008320,1789652416598008320,HTTP Connecting,ms,max,1.54
0,1789652406598008320,1789652416598008320,HTTP Connecting,ms,sum,1.54
0,1789652406598008320,1789652416598008320,HTTP Connecting,ms,p1,1.54
0,1789652406598008320,1789652416598008320,HTTP Connecting,ms,p5,1.54
0,1789652406598008320,1789652416598008320,HTTP Connecting,ms,p10,1.54
0,1789652406598008320,1789652416598008320,HTTP Connecting,ms,p25,1.54
0,1789652406598008320,1789652416598008320,HTTP Connecting,ms,p50,1.54
0,1789652406598008320,1789652416598008320,HTTP Connecting,ms,p75,1.54
0,1789652406598008320,1789652416598008320,HTTP Connecting,ms,p90,1.54
0,1789652406598008320,1789652416598008320,HTTP Connecting,ms,p95,1.54
0,1789652406598008320,1789652416598008320,HTTP Connecting,ms,p99,1.54
0,1789652406598008320,1789652416598008320,HTTP Connecting,ms,std,0.00
0,1789652406598008320,1789652416598008320,HTTP Connection Overhead,ms,avg,2.64
0,1789652406598008320,1789652416598008320,HTTP Connection Overhead,ms,min,2.64
0,1789652406598008320,1789652416598008320,HTTP Connection Overhead,ms,max,2.64
0,1789652406598008320,1789652416598008320,HTTP Connection Overhead,ms,sum,2.64
0,1789652406598008320,1789652416598008320,HTTP Connection Overhead,ms,p1,2.64
0,1789652406598008320,1789652416598008320,HTTP Connection Overhead,ms,p5,2.64
0,1789652406598008320,1789652416598008320,HTTP Connection Overhead,ms,p10,2.64
0,1789652406598008320,1789652416598008320,HTTP Connection Overhead,ms,p25,2.64
0,1789652406598008320,1789652416598008320,HTTP Connection Overhead,ms,p50,2.64
0,1789652406598008320,1789652416598008320,HTTP Connection Overhead,ms,p75,2.64
0,1789652406598008320,1789652416598008320,HTTP Connection Overhead,ms,p90,2.64
0,1789652406598008320,1789652416598008320,HTTP Connection Overhead,ms,p95,2.64
0,1789652406598008320,1789652416598008320,HTTP Connection Overhead,ms,p99,2.64
0,1789652406598008320,1789652416598008320,HTTP Connection Overhead,ms,std,0.00
0,1789652406598008320,1789652416598008320,HTTP Connection Reused,ratio,avg,0.00
0,1789652406598008320,1789652416598008320,HTTP Connection Reused,ratio,min,0.00
0,1789652406598008320,1789652416598008320,HTTP Connection Reused,ratio,max,0.00
0,1789652406598008320,1789652416598008320,HTTP Connection Reused,ratio,sum,0.00
0,1789652406598008320,1789652416598008320,HTTP Connection Reused,ratio,p1,0.00
0,1789652406598008320,1789652416598008320,HTTP Connection Reused,ratio,p5,0.00
0,1789652406598008320,1789652416598008320,HTTP Connection Reused,ratio,p10,0.00
0,1789652406598008320,1789652416598008320,HTTP Connection Reused,ratio,p25,0.00
0,1789652406598008320,1789652416598008320,HTTP Connection Reused,ratio,p50,0.00
0,1789652406598008320,1789652416598008320,HTTP Connection Reused,ratio,p75,0.00
0,1789652406598008320,1789652416598008320,HTTP Connection Reused,ratio,p90,0.00
0,1789652406598008320,1789652416598008320,HTTP Connection Reused,ratio,p95,0.00
0,1789652406598008320,1789652416598008320,HTTP Connection Reused,ratio,p99,0.00
0,1789652406598008320,1789652416598008320,HTTP Connection Reused,ratio,std,0.00
0,1789652406598008320,1789652416598008320,HTTP Data Received,KB,avg,124.60
0,1789652406598008320,1789652416598008320,HTTP Data Received,KB,min,124.60
0,1789652406598008320,1789652416598008320,HTTP Data Received,KB,max,124.60
0,1789652406598008320,1789652416598008320,HTTP Data Received,KB,sum,124.60
0,1789652406598008320,1789652416598008320,HTTP Data Received,KB,p1,124.60
0,1789652406598008320,1789652416598008320,HTTP Data Received,KB,p5,124.60
0,1789652406598008320,1789652416598008320,HTTP Data Received,KB,p10,124.60
0,1789652406598008320,1789652416598008320,HTTP Data Received,KB,p25,124.60
0,1789652406598008320,1789652416598008320,HTTP Data Received,KB,p50,124.60
0,1789652406598008320,1789652416598008320,HTTP Data Received,KB,p75,124.60
0,1789652406598008320,1789652416598008320,HTTP Data Received,KB,p90,124.60
0,1789652406598008320,1789652416598008320,HTTP Data Received,KB,p95,124.60
0,1789652406598008320,1789652416598008320,HTTP Data Received,KB,p99,124.60
0,1789652406598008320,1789652416598008320,HTTP Data Received,KB,std,0.00
0,1789652406598008320,1789652416598008320,HTTP Data Sent,KB,avg,4.25
0,1789652406598008320,1789652416598008320,HTTP Data Sent,KB,min,4.25
0,1789652406598008320,1789652416598008320,HTTP Data Sent,KB,max,4.25
0,1789652406598008320,1789652416598008320,HTTP Data Sent,KB,sum,4.25
0,1789652406598008320,1789652416598008320,HTTP Data Sent,KB,p1,4.25
0,1789652406598008320,1789652416598008320,HTTP Data Sent,KB,p5,4.25
0,1789652406598008320,1789652416598008320,HTTP Data Sent,KB,p10,4.25
0,1789652406598008320,1789652416598008320,HTTP Data Sent,KB,p25,4.25
0,1789652406598008320,1789652416598008320,HTTP Data Sent,KB,p50,4.25
0,1789652406598008320,1789652416598008320,HTTP Data Sent,KB,p75,4.25
0,1789652406598008320,1789652416598008320,HTTP Data Sent,KB,p90,4.25
0,1789652406598008320,1789652416598008320,HTTP Data Sent,KB,p95,4.25
0,1789652406598008320,1789652416598008320,HTTP Data Sent,KB,p99,4.25
0,1789652406598008320,1789652416598008320,HTTP Data Sent,KB,std,0.00
0,1789652406598008320,1789652416598008320,HTTP DNS Lookup,ms,avg,1.10
0,1789652406598008320,1789652416598008320,HTTP DNS Lookup,ms,min,1.10
0,1789652406598008320,1789652416598008320,HTTP DNS Lookup,ms,max,1.10
0,1789652406598008320,1789652416598008320,HTTP DNS Lookup,ms,sum,1.10
0,1789652406598008320,1789652416598008320,HTTP DNS Lookup,ms,p1,1.10
0,1789652406598008320,1789652416598008320,HTTP DNS Lookup,ms,p5,1.10
