Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1789659731183780352,1789659741183780352,Active Decode Throughput,tokens/sec,avg,50.67
0,1789659731183780352,1789659741183780352,Active Decode Throughput,tokens/sec,min,0.52
0,1789659731183780352,1789659741183780352,Active Decode Throughput,tokens/sec,max,3990.19
0,1789659731183780352,1789659741183780352,Active Decode Throughput,tokens/sec,p50,4.19
0,1789659731183780352,1789659741183780352,Active Decode Throughput,tokens/sec,p90,201.20
0,1789659731183780352,1789659741183780352,Active Decode Throughput,tokens/sec,p95,230.11
0,1789659731183780352,1789659741183780352,Active Decode Throughput,tokens/sec,p99,267.89
0,1789659731183780352,1789659741183780352,Active Decode Throughput,tokens/sec,std,141.73
0,1789659731183780352,1789659741183780352,Active Decode Throughput Per User,tokens/sec/user,avg,1.93
0,1789659731183780352,1789659741183780352,Active Decode Throughput Per User,tokens/sec/user,min,0.49
0,1789659731183780352,1789659741183780352,Active Decode Throughput Per User,tokens/sec/user,max,166.26
0,1789659731183780352,1789659741183780352,Active Decode Throughput Per User,tokens/sec/user,p50,0.52
0,1789659731183780352,1789659741183780352,Active Decode Throughput Per User,tokens/sec/user,p90,6.29
0,1789659731183780352,1789659741183780352,Active Decode Throughput Per User,tokens/sec/user,p95,7.19
0,1789659731183780352,1789659741183780352,Active Decode Throughput Per User,tokens/sec/user,p99,8.37
0,1789659731183780352,1789659741183780352,Active Decode Throughput Per User,tokens/sec/user,std,5.37
0,1789659731183780352,1789659741183780352,Active Prefill Throughput,tokens/sec,avg,3906.71
0,1789659731183780352,1789659741183780352,Active Prefill Throughput,tokens/sec,min,122.10
0,1789659731183780352,1789659741183780352,Active Prefill Throughput,tokens/sec,max,5077.75
0,1789659731183780352,1789659741183780352,Active Prefill Throughput,tokens/sec,p50,4716.32
0,1789659731183780352,1789659741183780352,Active Prefill Throughput,tokens/sec,p90,5077.75
0,1789659731183780352,1789659741183780352,Active Prefill Throughput,tokens/sec,p95,5077.75
0,1789659731183780352,1789659741183780352,Active Prefill Throughput,tokens/sec,p99,5077.75
0,1789659731183780352,1789659741183780352,Active Prefill Throughput,tokens/sec,std,1241.46
0,1789659731183780352,1789659741183780352,Active Prefill Throughput Per User,tokens/sec/user,avg,143.70
0,1789659731183780352,1789659741183780352,Active Prefill Throughput Per User,tokens/sec/user,min,122.10
0,1789659731183780352,1789659741183780352,Active Prefill Throughput Per User,tokens/sec/user,max,265.25
0,1789659731183780352,1789659741183780352,Active Prefill Throughput Per User,tokens/sec/user,p50,152.14
0,1789659731183780352,1789659741183780352,Active Prefill Throughput Per User,tokens/sec/user,p90,158.68
0,1789659731183780352,1789659741183780352,Active Prefill Throughput Per User,tokens/sec/user,p95,158.68
0,1789659731183780352,1789659741183780352,Active Prefill Throughput Per User,tokens/sec/user,p99,158.68
0,1789659731183780352,1789659741183780352,Active Prefill Throughput Per User,tokens/sec/user,std,14.71
0,1789659731183780352,1789659741183780352,Active Total Throughput,tokens/sec,avg,3363.25
0,1789659731183780352,1789659741183780352,Active Total Throughput,tokens/sec,min,120.33
0,1789659731183780352,1789659741183780352,Active Total Throughput,tokens/sec,max,5077.75
0,1789659731183780352,1789659741183780352,Active Total Throughput,tokens/sec,p50,3226.18
0,1789659731183780352,1789659741183780352,Active Total Throughput,tokens/sec,p90,5077.75
0,1789659731183780352,1789659741183780352,Active Total Throughput,tokens/sec,p95,5077.75
0,1789659731183780352,1789659741183780352,Active Total Throughput,tokens/sec,p99,5077.75
0,1789659731183780352,1789659741183780352,Active Total Throughput,tokens/sec,std,1758.45
0,1789659731183780352,1789659741183780352,Benchmark Duration,sec,avg,145.56
0,1789659731183780352,1789659741183780352,Decode Duration,ms,avg,135892.68
0,1789659731183780352,1789659741183780352,Decode Duration,ms,min,135137.70
0,1789659731183780352,1789659741183780352,Decode Duration,ms,max,137582.58
0,1789659731183780352,1789659741183780352,Decode Duration,ms,sum,4348565.82
0,1789659731183780352,1789659741183780352,Decode Duration,ms,p1,135137.71
0,1789659731183780352,1789659741183780352,Decode Duration,ms,p5,135137.72
0,1789659731183780352,1789659741183780352,Decode Duration,ms,p10,135137.74
0,1789659731183780352,1789659741183780352,Decode Duration,ms,p25,135212.07
0,1789659731183780352,1789659741183780352,Decode Duration,ms,p50,135593.21
0,1789659731183780352,1789659741183780352,Decode Duration,ms,p75,137042.30
0,1789659731183780352,1789659741183780352,Decode Duration,ms,p90,137042.46
0,1789659731183780352,1789659741183780352,Decode Duration,ms,p95,137042.48
0,1789659731183780352,1789659741183780352,Decode Duration,ms,p99,137415.15
0,1789659731183780352,1789659741183780352,Decode Duration,ms,std,818.78
0,1789659731183780352,1789659741183780352,E2E Output Token Throughput,tokens/sec/user,avg,3.58
0,1789659731183780352,1789659741183780352,E2E Output Token Throughput,tokens/sec/user,min,3.52
0,1789659731183780352,1789659741183780352,E2E Output Token Throughput,tokens/sec/user,max,3.65
0,1789659731183780352,1789659741183780352,E2E Output Token Throughput,tokens/sec/user,sum,114.62
0,1789659731183780352,1789659741183780352,E2E Output Token Throughput,tokens/sec/user,p1,3.52
0,1789659731183780352,1789659741183780352,E2E Output Token Throughput,tokens/sec/user,p5,3.52
0,1789659731183780352,1789659741183780352,E2E Output Token Throughput,tokens/sec/user,p10,3.52
0,1789659731183780352,1789659741183780352,E2E Output Token Throughput,tokens/sec/user,p25,3.55
0,1789659731183780352,1789659741183780352,E2E Output Token Throughput,tokens/sec/user,p50,3.59
0,1789659731183780352,1789659741183780352,E2E Output Token Throughput,tokens/sec/user,p75,3.61
0,1789659731183780352,1789659741183780352,E2E Output Token Throughput,tokens/sec/user,p90,3.64
0,1789659731183780352,1789659741183780352,E2E Output Token Throughput,tokens/sec/user,p95,3.64
0,1789659731183780352,1789659741183780352,E2E Output Token Throughput,tokens/sec/user,p99,3.64
0,1789659731183780352,1789659741183780352,E2E Output Token Throughput,tokens/sec/user,std,0.05
0,1789659731183780352,1789659741183780352,Effective Concurrency,requests,avg,32.00
0,1789659731183780352,1789659741183780352,Effective Concurrency,requests,min,1.00
0,1789659731183780352,1789659741183780352,Effective Concurrency,requests,max,32.00
0,1789659731183780352,1789659741183780352,Effective Concurrency,requests,p50,32.00
0,1789659731183780352,1789659741183780352,Effective Concurrency,requests,p90,32.00
0,1789659731183780352,1789659741183780352,Effective Concurrency,requests,p95,32.00
0,1789659731183780352,1789659741183780352,Effective Concurrency,requests,p99,32.00
0,1789659731183780352,1789659741183780352,Effective Concurrency,requests,std,0.21
0,1789659731183780352,1789659741183780352,Effective Decode Concurrency,requests,avg,9.37
0,1789659731183780352,1789659741183780352,Effective Decode Concurrency,requests,min,0.00
0,1789659731183780352,1789659741183780352,Effective Decode Concurrency,requests,max,32.00
0,1789659731183780352,1789659741183780352,Effective Decode Concurrency,requests,p50,8.00
0,1789659731183780352,1789659741183780352,Effective Decode Concurrency,requests,p90,32.00
0,1789659731183780352,1789659741183780352,Effective Decode Concurrency,requests,p95,32.00
0,1789659731183780352,1789659741183780352,Effective Decode Concurrency,requests,p99,32.00
0,1789659731183780352,1789659741183780352,Effective Decode Concurrency,requests,std,11.09
0,1789659731183780352,1789659741183780352,Effective Decode Throughput,tokens/sec,avg,36.09
0,1789659731183780352,1789659741183780352,Effective Decode Throughput,tokens/sec,min,0.00
0,1789659731183780352,1789659741183780352,Effective Decode Throughput,tokens/sec,max,3990.19
0,1789659731183780352,1789659741183780352,Effective Decode Throughput,tokens/sec,p50,4.19
0,1789659731183780352,1789659741183780352,Effective Decode Throughput,tokens/sec,p90,200.04
0,1789659731183780352,1789659741183780352,Effective Decode Throughput,tokens/sec,p95,215.88
0,1789659731183780352,1789659741183780352,Effective Decode Throughput,tokens/sec,p99,267.89
0,1789659731183780352,1789659741183780352,Effective Decode Throughput,tokens/sec,std,121.79
0,1789659731183780352,1789659741183780352,Effective Decode Throughput Per User,tokens/sec/user,avg,1.38
0,1789659731183780352,1789659741183780352,Effective Decode Throughput Per User,tokens/sec/user,min,0.00
0,1789659731183780352,1789659741183780352,Effective Decode Throughput Per User,tokens/sec/user,max,166.26
0,1789659731183780352,1789659741183780352,Effective Decode Throughput Per User,tokens/sec/user,p50,0.52
0,1789659731183780352,1789659741183780352,Effective Decode Throughput Per User,tokens/sec/user,p90,6.25
0,1789659731183780352,1789659741183780352,Effective Decode Throughput Per User,tokens/sec/user,p95,6.75
0,1789659731183780352,1789659741183780352,Effective Decode Throughput Per User,tokens/sec/user,p99,8.37
0,1789659731183780352,1789659741183780352,Effective Decode Throughput Per User,tokens/sec/user,std,4.62
0,1789659731183780352,1789659741183780352,Effective Prefill Concurrency,requests,avg,22.62
0,1789659731183780352,1789659741183780352,Effective Prefill Concurrency,requests,min,0.00
0,1789659731183780352,1789659741183780352,Effective Prefill Concurrency,requests,max,32.00
0,1789659731183780352,1789659741183780352,Effective Prefill Concurrency,requests,p50,24.00
0,1789659731183780352,1789659741183780352,Effective Prefill Concurrency,requests,p90,32.00
0,1789659731183780352,1789659741183780352,Effective Prefill Concurrency,requests,p95,32.00
0,1789659731183780352,1789659741183780352,Effective Prefill Concurrency,requests,p99,32.00
0,1789659731183780352,1789659741183780352,Effective Prefill Concurrency,requests,std,11.09
0,1789659731183780352,1789659741183780352,Effective Prefill Throughput,tokens/sec,avg,3328.00
0,1789659731183780352,1789659741183780352,Effective Prefill Throughput,tokens/sec,min,0.00
0,1789659731183780352,1789659741183780352,Effective Prefill Throughput,tokens/sec,max,5077.75
0,1789659731183780352,1789659741183780352,Effective Prefill Throughput,tokens/sec,p50,3196.16
0,1789659731183780352,1789659741183780352,Effective Prefill Throughput,tokens/sec,p90,5077.75
0,1789659731183780352,1789659741183780352,Effective Prefill Throughput,tokens/sec,p95,5077.75
0,1789659731183780352,1789659741183780352,Effective Prefill Throughput,tokens/sec,p99,5077.75
0,1789659731183780352,1789659741183780352,Effective Prefill Throughput,tokens/sec,std,1799.69
0,1789659731183780352,1789659741183780352,Effective Prefill Throughput Per User,tokens/sec/user,avg,122.41
0,1789659731183780352,1789659741183780352,Effective Prefill Throughput Per User,tokens/sec/user,min,0.00
0,1789659731183780352,1789659741183780352,Effective Prefill Throughput Per User,tokens/sec/user,max,265.25
0,1789659731183780352,1789659741183780352,Effective Prefill Throughput Per User,tokens/sec/user,p50,133.17
0,1789659731183780352,1789659741183780352,Effective Prefill Throughput Per User,tokens/sec/user,p90,158.68
0,1789659731183780352,1789659741183780352,Effective Prefill Throughput Per User,tokens/sec/user,p95,158.68
0,1789659731183780352,1789659741183780352,Effective Prefill Throughput Per User,tokens/sec/user,p99,158.68
0,1789659731183780352,1789659741183780352,Effective Prefill Throughput Per User,tokens/sec/user,std,52.82
0,1789659731183780352,1789659741183780352,Effective Total Throughput,tokens/sec,avg,3363.25
0,1789659731183780352,1789659741183780352,Effective Total Throughput,tokens/sec,min,120.33
0,1789659731183780352,1789659741183780352,Effective Total Throughput,tokens/sec,max,5077.75
0,1789659731183780352,1789659741183780352,Effective Total Throughput,tokens/sec,p50,3226.18
0,1789659731183780352,1789659741183780352,Effective Total Throughput,tokens/sec,p90,5077.75
0,1789659731183780352,1789659741183780352,Effective Total Throughput,tokens/sec,p95,5077.75
0,1789659731183780352,1789659741183780352,Effective Total Throughput,tokens/sec,p99,5077.75
0,1789659731183780352,1789659741183780352,Effective Total Throughput,tokens/sec,std,1758.45
0,1789659731183780352,1789659741183780352,HTTP Blocked,ms,avg,0.00
0,1789659731183780352,1789659741183780352,HTTP Blocked,ms,min,0.00
0,1789659731183780352,1789659741183780352,HTTP Blocked,ms,max,0.00
0,1789659731183780352,1789659741183780352,HTTP Blocked,ms,sum,0.00
0,1789659731183780352,1789659741183780352,HTTP Blocked,ms,p1,0.00
0,1789659731183780352,1789659741183780352,HTTP Blocked,ms,p5,0.00
0,1789659731183780352,1789659741183780352,HTTP Blocked,ms,p10,0.00
0,1789659731183780352,1789659741183780352,HTTP Blocked,ms,p25,0.00
0,1789659731183780352,1789659741183780352,HTTP Blocked,ms,p50,0.00
0,1789659731183780352,1789659741183780352,HTTP Blocked,ms,p75,0.00
0,1789659731183780352,1789659741183780352,HTTP Blocked,ms,p90,0.00
0,1789659731183780352,1789659741183780352,HTTP Blocked,ms,p95,0.00
0,1789659731183780352,1789659741183780352,HTTP Blocked,ms,p99,0.00
0,1789659731183780352,1789659741183780352,HTTP Blocked,ms,std,0.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Received,count,avg,512.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Received,count,min,512.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Received,count,max,512.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Received,count,sum,16384.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Received,count,p1,512.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Received,count,p5,512.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Received,count,p10,512.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Received,count,p25,512.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Received,count,p50,512.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Received,count,p75,512.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Received,count,p90,512.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Received,count,p95,512.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Received,count,p99,512.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Received,count,std,0.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Sent,count,avg,1.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Sent,count,min,1.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Sent,count,max,1.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Sent,count,sum,32.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Sent,count,p1,1.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Sent,count,p5,1.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Sent,count,p10,1.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Sent,count,p25,1.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Sent,count,p50,1.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Sent,count,p75,1.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Sent,count,p90,1.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Sent,count,p95,1.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Sent,count,p99,1.00
0,1789659731183780352,1789659741183780352,HTTP Chunks Sent,count,std,0.00
0,1789659731183780352,1789659741183780352,HTTP Connecting,ms,avg,2.07
0,1789659731183780352,1789659741183780352,HTTP Connecting,ms,min,1.44
0,1789659731183780352,1789659741183780352,HTTP Connecting,ms,max,18.00
0,1789659731183780352,1789659741183780352,HTTP Connecting,ms,sum,66.26
0,1789659731183780352,1789659741183780352,HTTP Connecting,ms,p1,1.45
0,1789659731183780352,1789659741183780352,HTTP Connecting,ms,p5,1.46
0,1789659731183780352,1789659741183780352,HTTP Connecting,ms,p10,1.49
0,1789659731183780352,1789659741183780352,HTTP Connecting,ms,p25,1.50
0,1789659731183780352,1789659741183780352,HTTP Connecting,ms,p50,1.54
0,1789659731183780352,1789659741183780352,HTTP Connecting,ms,p75,1.57
0,1789659731183780352,1789659741183780352,HTTP Connecting,ms,p90,1.71
0,1789659731183780352,1789659741183780352,HTTP Connecting,ms,p95,1.80
0,1789659731183780352,1789659741183780352,HTTP Connecting,ms,p99,12.98
0,1789659731183780352,1789659741183780352,HTTP Connecting,ms,std,2.86
0,1789659731183780352,1789659741183780352,HTTP Connection Overhead,ms,avg,3.68
0,1789659731183780352,1789659741183780352,HTTP Connection Overhead,ms,min,2.45
0,1789659731183780352,1789659741183780352,HTTP Connection Overhead,ms,max,35.54
